Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,884.50,887.50,879.50,884.50,1269100,884.50
2013-11-18,884.00,890.50,876.50,888.50,1784500,888.50
2013-11-15,881.50,890.00,880.50,888.00,1704500,888.00
2013-11-14,880.50,887.00,879.50,881.50,2248500,881.50
2013-11-13,886.50,889.50,871.00,873.50,3023300,873.50
2013-11-12,885.00,889.50,883.50,888.00,1754300,888.00
2013-11-11,887.00,887.50,878.50,885.50,1395600,885.50
2013-11-08,873.00,886.00,871.00,884.50,2284700,884.50
2013-11-07,875.50,889.00,869.00,878.50,3303100,878.50
2013-11-06,876.50,885.00,874.50,877.00,2995900,877.00
2013-11-05,876.50,876.50,867.50,876.00,2150100,876.00
2013-11-04,867.00,876.00,866.00,876.00,1743400,876.00
2013-11-01,874.50,877.00,864.00,867.50,2231400,867.50
2013-10-31,866.50,874.00,866.50,874.00,3002300,874.00
2013-10-30,870.00,875.00,868.50,869.00,2308500,869.00
2013-10-29,875.00,878.50,867.50,871.50,2093900,871.50
2013-10-28,865.00,875.50,864.50,873.00,1461000,873.00
2013-10-25,862.50,868.00,862.00,866.50,1549600,866.50
2013-10-24,866.50,872.50,861.50,866.00,1799100,866.00
2013-10-23,856.50,866.00,855.50,866.00,2846300,866.00
2013-10-22,862.00,865.50,855.50,857.00,3453000,857.00
2013-10-21,852.50,865.50,852.50,864.50,3236700,864.50
2013-10-18,855.00,855.50,846.50,853.50,3746900,853.50
2013-10-17,842.00,852.00,842.00,851.50,3739600,851.50
2013-10-16,844.00,848.75,839.50,843.00,2376700,843.00
2013-10-15,844.50,849.00,843.50,845.50,2663800,845.50
2013-10-14,836.00,842.00,835.00,840.50,2295900,840.50
2013-10-11,826.50,838.50,823.00,838.50,2218500,838.50
2013-10-10,824.50,830.50,819.00,826.50,3438600,826.50
2013-10-09,836.00,836.00,819.50,821.50,2487000,821.50
2013-10-08,832.50,844.50,832.50,839.00,3483200,839.00
2013-10-07,831.50,835.50,829.00,835.00,1491600,835.00
2013-10-04,827.00,835.50,825.50,835.00,2427700,835.00
2013-10-03,829.00,834.00,824.00,825.50,1620800,825.50
2013-10-02,834.50,835.00,822.50,827.50,2579500,827.50
2013-10-01,833.50,838.50,831.00,836.00,1985400,836.00
2013-09-30,828.50,834.00,824.00,833.00,2280100,833.00
