Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,505.00,505.00,499.10,503.50,876400,503.50
2013-11-18,503.00,507.07,498.30,506.00,1270300,506.00
2013-11-15,506.00,510.00,494.00,504.50,2423100,504.50
2013-11-14,516.00,519.00,502.00,506.50,3214300,506.50
2013-11-13,525.50,530.50,517.00,518.50,1144700,518.50
2013-11-12,528.50,532.00,525.00,527.00,1247400,527.00
2013-11-11,527.00,532.00,524.50,528.00,2225900,528.00
2013-11-08,518.50,526.50,517.00,525.50,1437100,525.50
2013-11-07,521.00,529.00,519.50,521.00,1000300,521.00
2013-11-06,520.50,523.50,519.50,522.50,907900,522.50
2013-11-05,523.00,525.00,518.00,520.50,1186400,520.50
2013-11-04,516.50,526.00,516.50,523.50,1057900,523.50
2013-11-01,521.50,521.64,514.00,517.50,1709800,517.50
2013-10-31,522.50,523.50,514.00,519.50,1379900,519.50
2013-10-30,523.50,533.50,520.00,522.00,1373500,522.00
2013-10-29,515.00,521.05,514.00,521.00,1402000,521.00
2013-10-28,511.50,516.00,509.50,515.50,1084300,515.50
2013-10-25,508.00,515.50,506.50,511.00,1736500,511.00
2013-10-24,501.00,508.50,500.00,508.50,1481400,508.50
2013-10-23,503.00,503.00,494.00,501.00,1913500,501.00
2013-10-22,503.50,506.50,500.50,502.50,1244900,502.50
2013-10-21,494.60,504.50,494.03,504.00,1470500,504.00
2013-10-18,482.50,492.60,481.40,492.30,2263700,492.30
2013-10-17,480.10,481.50,477.80,480.00,2003500,480.00
2013-10-16,484.60,486.10,479.40,481.00,1700400,481.00
2013-10-15,481.20,486.40,480.14,486.20,1351600,486.20
2013-10-14,478.90,479.80,476.10,478.00,1103600,478.00
2013-10-11,478.00,483.70,475.80,478.00,1665700,478.00
2013-10-10,476.40,478.50,475.60,477.00,2216900,477.00
2013-10-09,478.20,479.06,473.80,475.80,1070800,475.80
2013-10-08,483.70,486.10,479.50,479.80,1399600,479.80
2013-10-07,482.50,485.40,479.60,484.90,1266800,484.90
2013-10-04,481.00,486.00,480.60,484.50,1462900,484.50
2013-10-03,476.20,481.20,474.10,481.00,1334200,481.00
2013-10-02,481.40,483.80,477.40,478.10,1362700,478.10
2013-10-01,483.80,486.90,480.10,484.30,1569200,484.30
2013-09-30,478.80,483.00,478.70,481.60,2334900,481.60
2013-09-27,486.30,487.53,479.20,484.60,1564900,484.60
2013-09-26,485.00,486.80,484.40,486.50,1027900,486.50
2013-09-25,483.50,486.10,478.30,485.40,1458200,485.40
2013-09-24,487.60,491.20,486.50,489.10,1338600,489.10
2013-09-23,489.90,489.90,484.70,488.10,920100,488.10
2013-09-20,490.10,491.60,487.40,489.80,2882300,489.80
2013-09-19,504.00,504.00,489.90,491.60,1601800,491.60
2013-09-18,498.60,498.60,494.10,495.50,1124800,495.50
2013-09-17,501.00,502.00,497.10,497.10,1813200,497.10
2013-09-16,506.50,508.50,497.73,500.50,1150500,500.50
2013-09-13,503.50,505.00,500.00,502.00,668600,502.00
2013-09-12,509.00,511.00,502.00,505.00,1135700,505.00
2013-09-11,514.50,515.00,507.00,509.50,733500,509.50
2013-09-10,504.00,515.50,501.50,513.50,1909600,513.50
2013-09-09,504.00,504.00,493.50,501.00,1340900,501.00
2013-09-06,500.00,506.00,500.00,503.00,1168900,503.00
2013-09-05,499.80,506.50,497.20,498.50,1074300,498.50
2013-09-04,500.50,501.50,492.40,499.40,1038400,499.40
2013-09-03,496.70,502.00,495.60,499.80,1373900,499.80
2013-09-02,488.90,498.60,488.30,496.80,945900,496.80
2013-08-30,492.60,495.30,487.00,487.90,3811600,487.90
