Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3247.00,3279.50,3201.00,3259.00,2471000,3259.00
2013-11-18,3292.00,3293.60,3223.50,3264.50,3105200,3264.50
2013-11-15,3241.00,3270.50,3212.00,3253.50,3114300,3253.50
2013-11-14,3247.00,3262.00,3190.00,3229.00,2760800,3229.00
2013-11-13,3242.50,3253.00,3162.50,3194.50,4129100,3194.50
2013-11-12,3274.00,3278.00,3241.50,3267.00,2588300,3267.00
2013-11-11,3276.00,3289.50,3243.00,3274.00,2643900,3274.00
2013-11-08,3246.50,3321.00,3240.00,3319.00,2594500,3319.00
2013-11-07,3308.50,3381.00,3273.00,3294.00,3302500,3294.00
2013-11-06,3342.50,3380.50,3294.23,3325.00,3077600,3325.00
2013-11-05,3299.00,3379.50,3259.92,3330.50,5642800,3330.50
2013-11-04,3206.50,3295.00,3206.50,3289.50,3679300,3289.50
2013-11-01,3159.00,3220.00,3138.50,3184.00,3082400,3184.00
2013-10-31,3192.00,3210.00,3153.00,3158.00,3224700,3158.00
2013-10-30,3205.50,3237.00,3191.00,3200.50,1857600,3200.50
2013-10-29,3171.50,3219.50,3147.50,3193.50,2332700,3193.50
2013-10-28,3247.00,3251.00,3178.50,3192.50,2471600,3192.50
2013-10-25,3214.00,3243.50,3188.00,3222.50,2489700,3222.50
2013-10-24,3221.00,3252.50,3209.00,3235.00,2250500,3235.00
2013-10-23,3243.50,3257.00,3184.50,3220.00,4228300,3220.00
2013-10-22,3227.00,3294.69,3222.00,3261.50,3327100,3261.50
2013-10-21,3224.50,3255.50,3210.99,3242.00,2414600,3242.00
2013-10-18,3203.00,3241.50,3190.50,3220.00,2930100,3220.00
2013-10-17,3196.50,3215.50,3168.00,3191.50,2291600,3191.50
2013-10-16,3204.50,3229.00,3177.00,3215.00,4142100,3215.00
2013-10-15,3160.00,3220.00,3149.50,3215.00,5378800,3215.00
2013-10-14,3062.00,3090.50,3050.50,3084.00,2102400,3084.00
2013-10-11,3053.00,3085.00,3019.50,3079.50,2295600,3079.50
2013-10-10,2969.00,3034.50,2958.00,3015.00,2884300,3015.00
2013-10-09,2980.00,3000.50,2937.50,2957.50,3198000,2957.50
2013-10-08,2996.00,2996.50,2935.00,2976.50,3844800,2976.50
2013-10-07,2992.50,3005.00,2952.50,3000.00,2167600,3000.00
2013-10-04,3005.00,3024.00,2969.00,3010.00,1976800,3010.00
2013-10-03,3022.00,3062.50,2988.00,3000.00,2342600,3000.00
2013-10-02,2971.50,3036.00,2942.50,3028.00,2844800,3028.00
2013-10-01,3024.00,3032.50,2963.00,2996.00,2683700,2996.00
2013-09-30,3016.00,3031.50,2976.50,3023.00,3463600,3023.00
2013-09-27,3134.00,3137.94,3045.00,3067.00,3222600,3067.00
2013-09-26,3129.00,3166.00,3118.50,3140.50,2248100,3140.50
2013-09-25,3095.00,3146.00,3086.00,3139.00,3145200,3139.00
2013-09-24,3090.50,3117.50,3062.00,3106.50,2704400,3106.50
2013-09-23,3105.00,3117.50,3074.00,3100.00,1878100,3100.00
2013-09-20,3145.00,3166.50,3096.50,3102.50,3445200,3102.50
2013-09-19,3221.50,3229.00,3141.50,3141.50,4402500,3141.50
2013-09-18,3130.00,3135.50,3086.00,3111.50,3373100,3111.50
2013-09-17,3152.00,3177.00,3133.00,3151.00,3354600,3151.00
2013-09-16,3190.00,3206.00,3154.31,3182.50,2328500,3182.50
2013-09-13,3170.00,3174.00,3105.50,3143.00,3317100,3143.00
2013-09-12,3203.00,3227.00,3152.00,3186.50,3625800,3186.50
2013-09-11,3222.00,3259.50,3186.00,3207.00,3662800,3207.00
