Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1226.00,1242.00,1223.00,1235.00,3628000,1235.00
2013-11-18,1245.00,1245.00,1221.00,1233.00,4867000,1233.00
2013-11-15,1235.00,1238.00,1212.00,1224.00,3049700,1224.00
2013-11-14,1217.00,1238.00,1214.00,1235.00,3773600,1235.00
2013-11-13,1212.00,1216.00,1199.00,1210.00,2941800,1210.00
2013-11-12,1208.00,1219.00,1203.00,1213.00,2314400,1213.00
2013-11-11,1210.00,1215.00,1151.29,1210.00,4159500,1210.00
2013-11-08,1175.00,1225.00,1170.00,1210.00,6536800,1210.00
2013-11-07,1153.00,1171.00,1147.10,1170.00,5316700,1170.00
2013-11-06,1153.00,1158.00,1143.00,1150.00,3378400,1150.00
2013-11-05,1141.00,1149.00,1129.00,1146.00,3862900,1146.00
2013-11-04,1142.00,1150.00,1134.00,1136.00,2971900,1136.00
2013-11-01,1153.00,1162.00,1139.95,1143.00,3115500,1143.00
2013-10-31,1150.00,1157.00,1141.00,1150.00,4699200,1150.00
2013-10-30,1165.00,1167.00,1144.00,1151.00,3029200,1151.00
2013-10-29,1154.00,1164.00,1151.00,1160.00,2269500,1160.00
2013-10-28,1175.00,1175.00,1153.10,1159.00,2386300,1159.00
2013-10-25,1171.00,1175.00,1165.00,1171.00,3141800,1171.00
2013-10-24,1147.00,1178.00,1145.25,1174.00,5423300,1174.00
2013-10-23,1134.00,1145.00,1129.83,1144.00,3685500,1144.00
2013-10-22,1125.00,1146.00,1121.00,1137.00,4785800,1128.40
2013-10-21,1095.00,1124.00,1093.00,1123.00,3437100,1114.51
2013-10-18,1103.00,1104.00,1086.00,1092.00,6384900,1083.74
2013-10-17,1097.00,1107.50,1092.00,1097.00,2947400,1088.70
2013-10-16,1115.00,1116.04,1089.31,1102.00,3634800,1093.66
2013-10-15,1131.00,1137.00,1111.00,1115.00,3340600,1106.57
2013-10-14,1117.00,1125.26,1116.00,1125.00,1414700,1116.49
2013-10-11,1120.00,1124.89,1111.50,1120.00,3033000,1111.53
2013-10-10,1085.00,1119.00,1084.00,1115.00,3218400,1106.57
2013-10-09,1095.00,1101.00,1081.00,1082.00,3555300,1073.82
2013-10-08,1117.00,1126.00,1098.00,1099.00,3267900,1090.69
2013-10-07,1120.00,1122.00,1112.00,1119.00,1931800,1110.54
2013-10-04,1109.00,1120.73,1100.86,1115.00,4222300,1106.57
2013-10-03,1120.00,1125.00,1104.00,1105.00,3162200,1096.64
2013-10-02,1130.00,1132.00,1104.10,1120.00,4418500,1111.53
2013-10-01,1118.00,1144.00,1118.00,1134.00,5226600,1125.42
2013-09-30,1116.00,1119.00,1104.00,1112.00,3192900,1103.59
2013-09-27,1135.00,1138.00,1120.00,1125.00,3609600,1116.49
2013-09-26,1127.00,1139.41,1125.00,1129.00,2475000,1120.46
2013-09-25,1116.00,1127.28,1113.00,1122.00,2762600,1113.51
2013-09-24,1114.00,1136.00,1111.83,1132.00,5192300,1123.44
2013-09-23,1110.00,1115.00,1100.00,1115.00,2795800,1106.57
2013-09-20,1107.00,1114.00,1105.00,1106.00,5082400,1097.63
2013-09-19,1109.00,1115.28,1097.35,1112.00,5310900,1103.59
2013-09-18,1095.00,1105.00,1093.00,1096.00,6335000,1087.71
2013-09-17,1107.00,1119.00,1088.00,1089.00,4460100,1080.76
2013-09-16,1135.00,1136.00,1106.00,1106.00,6839100,1097.63
2013-09-13,1135.00,1140.00,1121.00,1125.00,2168100,1116.49
2013-09-12,1129.00,1136.00,1119.26,1135.00,2984500,1126.42
2013-09-11,1128.00,1139.00,1120.00,1125.00,2134100,1116.49
2013-09-10,1140.00,1148.00,1131.00,1131.00,2879600,1122.45
2013-09-09,1145.00,1147.00,1129.00,1134.00,1628800,1125.42
2013-09-06,1151.00,1155.00,1132.00,1142.00,2940600,1133.36
2013-09-05,1118.00,1148.00,1117.66,1147.00,3488000,1138.32
2013-09-04,1128.00,1129.00,1114.00,1119.00,3130100,1110.54
2013-09-03,1129.00,1132.00,1121.00,1128.00,3482900,1119.47
2013-09-02,1120.00,1132.00,1119.00,1128.00,1419900,1119.47
2013-08-30,1119.00,1129.00,1112.00,1112.00,3292800,1103.59
2013-08-29,1099.00,1122.00,1098.92,1116.00,2730700,1107.56
2013-08-28,1110.00,1110.00,1077.75,1092.00,3615400,1083.74
2013-08-27,1136.00,1141.00,1113.00,1114.00,2706500,1105.57
2013-08-26,1138.00,1138.00,1138.00,1138.00,000,1129.39
2013-08-23,1134.00,1147.00,1128.00,1138.00,1721900,1129.39
2013-08-22,1124.00,1139.86,1124.00,1132.00,2278400,1123.44
2013-08-21,1128.00,1140.00,1123.00,1124.00,2879500,1115.50
2013-08-20,1119.00,1133.00,1114.64,1126.00,2196100,1117.48
2013-08-19,1124.00,1136.00,1122.50,1127.00,2115000,1118.48
2013-08-16,1120.00,1127.87,1112.00,1121.00,4586700,1112.52
2013-08-15,1144.00,1150.28,1116.75,1123.00,2230600,1114.51
2013-08-14,1145.00,1155.28,1139.50,1147.00,2573900,1138.32
2013-08-13,1160.00,1164.00,1140.52,1142.00,3817000,1133.36
2013-08-12,1189.00,1190.00,1150.00,1157.00,3023500,1148.25
2013-08-09,1190.00,1194.00,1178.00,1184.00,1597900,1175.04
2013-08-08,1197.00,1199.00,1181.00,1185.00,3576400,1176.04
2013-08-07,1187.00,1203.00,1184.00,1194.00,2982800,1184.97
2013-08-06,1184.00,1197.00,1184.00,1190.00,3770200,1181.00
2013-08-05,1190.00,1199.00,1179.00,1185.00,2388800,1176.04
2013-08-02,1195.00,1200.00,1185.00,1189.00,1464300,1180.01
2013-08-01,1184.00,1197.00,1184.00,1192.00,3083200,1182.98
2013-07-31,1181.00,1195.00,1170.00,1175.00,3563300,1166.11
2013-07-30,1192.00,1201.90,1184.00,1186.00,2346100,1177.03
2013-07-29,1204.00,1214.00,1190.00,1197.00,2431000,1187.95
2013-07-26,1208.00,1229.00,1177.00,1200.00,5775200,1190.92
2013-07-25,1230.00,1248.00,1206.00,1240.00,6843200,1230.62
2013-07-24,1175.00,1199.00,1155.00,1180.00,2957600,1171.07
2013-07-23,1188.00,1194.00,1178.00,1180.00,4909800,1171.07
2013-07-22,1199.00,1199.00,1181.00,1189.00,1382300,1180.01
2013-07-19,1195.00,1200.00,1189.71,1196.00,2240800,1186.95
2013-07-18,1178.00,1203.00,1172.70,1200.00,3027500,1190.92
2013-07-17,1190.00,1198.00,1166.00,1182.00,3542900,1173.06
2013-07-16,1208.00,1216.00,1190.00,1190.00,7591200,1181.00
2013-07-15,1205.00,1223.00,1202.00,1208.00,5669900,1198.86
2013-07-12,1204.00,1209.00,1195.00,1203.00,4688500,1193.90
2013-07-11,1212.00,1215.00,1183.00,1202.00,2411200,1192.91
2013-07-10,1199.00,1208.00,1183.00,1196.00,2095000,1186.95
2013-07-09,1210.00,1226.00,1193.00,1204.00,2781400,1194.89
2013-07-08,1209.00,1217.00,1201.00,1203.00,3798300,1193.90
2013-07-05,1197.00,1211.00,1187.00,1193.00,3661900,1183.98
2013-07-04,1147.00,1194.00,1145.00,1191.00,4557400,1181.99
2013-07-03,1140.00,1146.00,1130.88,1138.00,2607000,1129.39
2013-07-02,1160.00,1162.00,1141.00,1161.00,2486100,1152.22
2013-07-01,1146.00,1164.00,1139.00,1164.00,2452300,1155.20
2013-06-28,1153.00,1170.00,1134.00,1134.00,6781400,1125.42
2013-06-27,1129.00,1150.00,1122.00,1146.00,7514200,1137.33
2013-06-26,1126.00,1140.00,1115.00,1133.00,2521200,1124.43
2013-06-25,1126.00,1135.00,1118.00,1125.00,4081600,1116.49
2013-06-24,1153.00,1156.00,1112.00,1113.00,5556600,1104.58
2013-06-21,1159.00,1185.00,1154.22,1155.00,6445900,1146.26
2013-06-20,1178.00,1182.00,1148.00,1154.00,4284100,1145.27
2013-06-19,1191.00,1204.00,1170.00,1192.00,2970700,1182.98
2013-06-18,1167.00,1192.00,1165.00,1188.00,3270600,1179.01
2013-06-17,1176.00,1181.61,1158.00,1167.00,4174000,1158.17
2013-06-14,1190.00,1195.00,1168.00,1169.00,2699300,1160.16
2013-06-13,1171.00,1173.00,1153.00,1167.00,4208000,1158.17
2013-06-12,1191.00,1196.00,1184.00,1190.00,2749500,1181.00
2013-06-11,1185.00,1205.00,1169.00,1187.00,3782400,1178.02
2013-06-10,1169.00,1196.00,1169.00,1181.00,2657200,1172.07
2013-06-07,1168.00,1188.56,1149.00,1174.00,3849900,1165.12
2013-06-06,1190.00,1196.00,1162.00,1163.00,2536100,1154.20
2013-06-05,1184.00,1195.00,1180.00,1190.00,4341900,1181.00
2013-06-04,1193.00,1195.00,1172.00,1190.00,3292300,1181.00
2013-06-03,1203.00,1203.00,1183.00,1187.00,2177100,1178.02
