Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,345.00,353.40,345.00,348.20,2346000,348.20
2013-11-18,347.00,349.00,345.94,346.80,2361400,346.80
2013-11-15,346.70,350.40,346.30,348.20,1614500,348.20
2013-11-14,348.40,348.40,343.90,346.20,1825900,346.20
2013-11-13,347.50,349.30,343.10,344.10,2666800,344.10
2013-11-12,347.50,353.30,343.20,349.00,1492500,349.00
2013-11-11,347.20,350.90,345.60,350.90,1842800,350.90
2013-11-08,346.90,347.00,343.50,346.00,2050800,346.00
2013-11-07,352.10,353.70,344.36,348.00,2106800,348.00
2013-11-06,352.80,355.00,351.70,352.40,2887100,352.40
2013-11-05,360.40,360.51,351.10,351.80,1764900,351.80
2013-11-04,360.00,360.70,357.80,359.50,1410300,359.50
2013-11-01,358.70,359.66,357.10,359.00,1424500,359.00
2013-10-31,351.00,357.70,350.70,357.40,4034100,357.40
2013-10-30,350.10,352.00,349.00,350.70,2085300,350.70
2013-10-29,347.70,350.30,347.10,350.20,1871900,350.20
2013-10-28,348.60,349.80,344.80,347.20,1889100,347.20
2013-10-25,350.30,351.60,347.90,348.30,1744800,348.30
2013-10-24,351.20,354.40,350.60,351.10,2442700,351.10
2013-10-23,346.70,355.80,345.96,350.00,3304900,350.00
2013-10-22,347.70,350.80,346.66,347.40,2022800,347.40
2013-10-21,347.90,349.10,345.00,347.60,1342600,347.60
2013-10-18,346.90,352.00,345.97,346.70,2727800,346.70
2013-10-17,339.40,345.10,337.10,344.40,1696300,344.40
2013-10-16,334.80,343.40,334.70,341.00,2019500,341.00
2013-10-15,336.80,339.11,333.30,336.80,2482300,336.80
2013-10-14,324.40,337.70,323.00,336.00,2213700,336.00
2013-10-11,326.10,327.40,324.50,325.10,1164900,325.10
2013-10-10,321.00,327.00,319.90,326.00,3816000,326.00
2013-10-09,319.10,322.30,317.50,320.50,2823700,320.50
2013-10-08,323.40,323.40,319.70,320.10,3312200,320.10
2013-10-07,322.60,324.65,320.30,323.30,1583100,323.30
2013-10-04,321.20,324.80,321.10,323.20,1993800,323.20
2013-10-03,319.20,322.60,319.20,321.70,1136800,321.70
2013-10-02,320.80,322.60,318.40,320.30,2376700,320.30
2013-10-01,318.60,322.40,316.50,322.00,3682700,322.00
2013-09-30,318.30,320.20,315.70,317.80,2581000,317.80
2013-09-27,325.50,326.80,321.40,323.30,1218900,323.30
2013-09-26,325.10,327.10,322.70,324.60,1765000,324.60
2013-09-25,323.60,327.40,322.40,325.00,2781500,325.00
2013-09-24,318.70,325.40,318.70,324.50,2462300,324.50
2013-09-23,326.60,327.10,317.80,319.70,1621600,319.70
2013-09-20,328.90,335.00,325.70,325.70,5120100,325.70
2013-09-19,327.60,328.00,325.00,327.00,2259700,327.00
2013-09-18,324.20,324.70,322.00,324.10,1489300,324.10
2013-09-17,321.00,326.60,320.42,323.80,2551000,323.80
2013-09-16,327.30,327.41,324.00,324.60,1789700,324.60
2013-09-13,322.80,324.10,321.40,323.00,1185200,323.00
2013-09-12,327.20,328.06,322.05,323.40,1938300,323.40
2013-09-11,325.30,327.70,323.70,327.10,1677800,327.10
2013-09-10,320.10,333.96,320.10,325.20,2045400,325.20
2013-09-09,317.80,321.00,317.08,319.10,2245000,319.10
2013-09-06,317.50,319.50,313.80,317.70,2311400,317.70
2013-09-05,314.80,319.60,313.30,317.60,1922400,317.60
2013-09-04,318.50,318.80,311.60,314.80,3436000,314.80
2013-09-03,326.80,330.30,325.10,325.40,2250900,318.35
2013-09-02,320.80,328.86,320.80,326.90,2192900,319.82
