Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3212.50,3234.50,3211.50,3228.00,2284800,3228.00
2013-11-18,3238.00,3238.00,3180.00,3229.00,1478000,3229.00
2013-11-15,3192.50,3201.00,3166.50,3197.50,1496300,3197.50
2013-11-14,3193.00,3208.00,3168.50,3179.50,1250700,3179.50
2013-11-13,3207.50,3220.00,3160.50,3167.50,1480700,3167.50
2013-11-12,3216.00,3223.50,3194.00,3215.00,1448200,3215.00
2013-11-11,3211.00,3227.50,3197.50,3216.00,1258200,3216.00
2013-11-08,30.00,30.00,30.00,30.00,000,30.00
2013-11-07,30.00,30.00,30.00,30.00,000,30.00
2013-11-06,3253.50,3254.50,3219.00,3227.50,1759600,3227.50
2013-11-05,3269.50,3272.50,3208.50,3240.00,1962700,3240.00
2013-11-04,30.00,30.00,30.00,30.00,000,30.00
2013-11-01,30.00,30.00,30.00,30.00,000,30.00
2013-10-31,30.00,30.00,30.00,30.00,000,30.00
2013-10-30,30.00,30.00,30.00,30.00,000,30.00
2013-10-29,30.00,30.00,30.00,30.00,000,30.00
2013-10-28,30.00,30.00,30.00,30.00,000,30.00
2013-10-25,30.00,30.00,30.00,30.00,000,30.00
2013-10-24,30.00,30.00,30.00,30.00,000,30.00
2013-10-23,30.00,30.00,30.00,30.00,000,30.00
2013-10-22,30.00,30.00,30.00,30.00,000,30.00
2013-10-21,30.00,30.00,30.00,30.00,000,30.00
2013-10-18,30.00,30.00,30.00,30.00,000,30.00
2013-10-17,30.00,30.00,30.00,30.00,000,30.00
2013-10-16,30.00,30.00,30.00,30.00,000,30.00
2013-10-15,30.00,30.00,30.00,30.00,000,30.00
2013-10-14,30.00,30.00,30.00,30.00,000,30.00
2013-10-11,3017.50,3036.50,3006.50,3014.00,1171700,3014.00
2013-10-10,29.81,30.16,29.65,30.00,543700,30.00
2013-10-09,29.93,30.00,29.63,29.67,867300,29.67
2013-10-08,30.34,30.38,29.83,29.92,642300,29.92
2013-10-07,30.00,30.41,29.94,30.38,543200,30.38
2013-10-04,29.91,30.30,29.91,30.15,780500,30.15
2013-10-03,30.11,30.25,29.84,29.87,1154000,29.87
2013-10-02,30.46,30.52,30.16,30.36,655400,30.36
2013-10-01,30.34,30.98,30.30,30.58,1473100,30.58
2013-09-30,31.25,31.60,31.10,31.45,559400,31.45
2013-09-27,32.31,32.31,31.42,31.58,922200,31.58
2013-09-26,32.30,32.60,32.09,32.31,540200,32.31
2013-09-25,32.29,32.46,32.07,32.26,553400,32.26
2013-09-24,32.54,32.60,32.15,32.28,433200,32.28
2013-09-23,32.81,32.93,32.37,32.48,636500,32.48
2013-09-20,32.92,33.08,32.69,32.74,529100,32.74
2013-09-19,32.87,33.32,32.74,33.05,1276200,33.05
2013-09-18,31.97,32.15,31.59,31.84,521300,31.84
2013-09-17,31.85,32.15,31.73,31.91,565300,31.91
2013-09-16,31.65,31.99,31.57,31.93,727300,31.93
2013-09-13,31.17,31.42,31.11,31.36,331700,31.36
2013-09-12,30.95,31.22,30.82,31.13,801400,31.13
2013-09-11,31.82,31.82,31.02,31.33,562700,31.33
2013-09-10,31.60,31.86,31.16,31.85,684300,31.85
2013-09-09,31.10,31.10,30.65,30.82,271400,30.82
2013-09-06,30.57,31.05,30.53,30.98,846300,30.98
2013-09-05,30.71,30.95,30.34,30.51,536300,30.51
2013-09-04,30.95,30.95,30.33,30.61,468000,30.61
2013-09-03,31.18,31.18,30.86,30.90,543500,30.90
2013-09-02,30.90,31.29,30.90,31.08,362900,31.08
2013-08-30,31.39,31.41,30.75,30.77,930800,30.77
2013-08-29,31.13,31.34,30.91,31.27,673000,31.27
2013-08-28,31.00,31.08,30.83,30.97,1138700,30.97
2013-08-27,31.07,31.23,30.94,31.07,1054800,31.07
2013-08-26,31.01,31.01,31.01,31.01,000,31.01
2013-08-23,30.50,31.19,30.33,31.01,1000200,31.01
2013-08-22,30.41,30.52,30.34,30.38,788600,30.38
2013-08-21,30.72,30.75,30.25,30.39,458100,30.39
2013-08-20,30.66,30.75,30.42,30.65,812400,30.65
2013-08-19,31.00,31.15,30.70,30.78,662500,30.78
2013-08-16,31.25,31.28,30.84,30.91,646800,30.91
2013-08-15,31.84,31.84,30.98,31.17,1143700,31.17
2013-08-14,31.56,31.94,31.42,31.82,1028500,31.82
2013-08-13,31.78,31.90,31.56,31.90,705000,31.90
2013-08-12,31.65,31.79,31.53,31.69,610700,31.69
2013-08-09,31.38,31.72,31.00,31.63,639600,31.63
2013-08-08,31.44,31.80,31.25,31.27,580900,31.27
2013-08-07,31.98,31.99,31.44,31.44,929600,31.44
2013-08-06,32.53,32.85,31.84,32.07,1440200,32.07
2013-08-05,32.66,32.96,32.44,32.56,364200,32.56
2013-08-02,32.90,32.90,32.42,32.58,613300,32.58
2013-08-01,32.38,32.83,32.38,32.79,556200,32.79
2013-07-31,31.47,32.39,31.35,32.15,883000,32.15
2013-07-30,31.49,31.57,31.28,31.41,441600,31.41
2013-07-29,31.38,31.61,31.19,31.30,462400,31.30
2013-07-26,31.52,31.65,31.10,31.30,661800,31.30
2013-07-25,32.39,32.39,31.05,31.62,1277500,31.62
2013-07-24,32.58,32.90,32.15,32.37,576100,32.37
2013-07-23,32.67,32.78,32.51,32.60,665300,32.60
2013-07-22,32.50,32.67,32.33,32.56,483000,32.56
2013-07-19,32.67,32.76,32.10,32.44,631800,32.44
2013-07-18,32.33,32.71,32.10,32.58,704000,32.58
2013-07-17,32.12,32.58,31.90,32.42,620000,32.42
2013-07-16,32.81,32.87,31.92,32.13,955900,32.13
2013-07-15,32.65,32.92,32.49,32.57,453800,32.57
2013-07-12,32.65,32.93,32.49,32.52,469900,32.52
2013-07-11,32.46,32.76,32.37,32.71,696200,32.71
2013-07-10,32.56,32.88,31.95,31.95,934200,31.95
2013-07-09,32.53,32.96,32.53,32.62,534300,32.62
2013-07-08,32.38,32.68,32.14,32.56,451200,32.56
2013-07-05,32.58,33.06,31.94,32.18,759400,32.18
2013-07-04,31.35,32.56,31.35,32.51,601200,32.51
2013-07-03,31.19,31.25,30.65,31.19,825800,31.19
2013-07-02,31.97,32.00,31.49,31.63,761100,31.63
2013-07-01,32.04,32.17,31.44,31.92,706500,31.92
2013-06-28,32.28,32.42,31.54,31.58,795800,31.58
2013-06-27,31.84,32.41,31.42,32.22,1025900,32.22
2013-06-26,31.01,31.63,30.85,31.59,1197900,31.59
2013-06-25,30.47,31.04,30.16,30.92,1064900,30.92
2013-06-24,30.92,31.03,30.08,30.10,947900,30.10
2013-06-21,31.41,32.19,31.01,31.04,1395600,31.04
2013-06-20,32.21,32.29,31.03,31.22,1065300,31.22
2013-06-19,32.72,32.86,32.39,32.75,893900,32.75
2013-06-18,32.22,32.95,31.97,32.45,639900,32.45
2013-06-17,32.28,32.59,32.15,32.16,555800,32.16
2013-06-14,32.25,32.56,32.06,32.16,785300,32.16
2013-06-13,31.56,32.18,31.33,32.04,703400,32.04
2013-06-12,31.59,32.51,31.58,32.05,896700,32.05
2013-06-11,32.06,32.08,30.44,31.72,1882300,31.72
2013-06-10,32.48,32.61,32.18,32.19,645900,32.19
2013-06-07,32.60,32.81,32.26,32.58,1313600,32.58
