Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,410.40,411.70,406.50,411.70,4614900,406.70
2013-11-18,409.10,414.20,405.80,411.50,5175700,406.50
2013-11-15,416.10,417.50,407.80,409.00,8263400,404.03
2013-11-14,417.90,428.00,411.50,414.60,19757000,409.56
2013-11-13,404.40,416.70,402.30,410.70,12569700,405.71
2013-11-12,394.70,398.80,394.48,398.80,4450800,393.96
2013-11-11,396.70,396.70,392.77,394.00,2115600,389.21
2013-11-08,393.10,396.40,392.08,395.00,3434000,390.20
2013-11-07,397.00,399.10,392.46,394.20,3651600,389.41
2013-11-06,397.10,398.43,394.55,397.00,2791900,392.18
2013-11-05,396.30,396.72,393.10,395.70,2330000,390.89
2013-11-04,394.00,396.70,393.30,395.20,2630100,390.40
2013-11-01,395.70,400.90,392.90,393.90,3123600,389.12
2013-10-31,401.80,401.80,393.30,394.50,4030200,389.71
2013-10-30,399.90,400.60,397.90,400.10,3699100,395.24
2013-10-29,399.80,400.80,397.70,398.00,2874400,393.17
2013-10-28,397.40,399.50,395.54,398.80,1981100,393.96
2013-10-25,395.90,398.00,394.98,396.80,2476600,391.98
2013-10-24,395.70,398.20,393.90,396.10,2701900,391.29
2013-10-23,399.10,400.50,392.40,396.50,5084900,391.68
2013-10-22,398.70,400.90,395.10,398.50,2900600,393.66
2013-10-21,396.80,399.91,395.40,397.30,5295900,392.47
2013-10-18,397.00,398.59,394.50,395.00,5195300,390.20
2013-10-17,398.20,399.60,396.20,396.50,3530800,391.68
2013-10-16,395.90,399.75,393.30,397.60,2765500,392.77
2013-10-15,392.50,397.20,392.50,395.30,3679500,390.50
2013-10-14,388.80,392.10,386.50,390.00,2138900,385.26
2013-10-11,389.50,390.70,387.50,388.50,1947500,383.78
2013-10-10,385.60,391.00,384.80,388.70,2919600,383.98
2013-10-09,384.10,385.56,382.60,384.20,2323200,379.53
2013-10-08,388.20,388.20,384.30,384.30,2673400,379.63
2013-10-07,388.70,392.46,386.60,387.70,2055600,382.99
2013-10-04,389.10,391.30,388.80,389.80,2438100,385.07
2013-10-03,387.40,391.10,385.30,388.70,3659400,383.98
2013-10-02,392.00,393.20,378.51,385.30,5066300,380.62
2013-10-01,390.40,392.40,387.77,390.20,3540200,385.46
2013-09-30,392.90,392.90,389.40,391.50,3353900,386.75
2013-09-27,398.90,399.92,393.50,394.70,2524000,389.91
2013-09-26,395.30,401.10,395.00,398.00,3562000,393.17
2013-09-25,400.00,400.00,393.05,394.40,3385600,389.61
2013-09-24,395.90,401.90,394.53,398.00,3956900,393.17
2013-09-23,396.80,400.90,393.80,395.20,3464000,390.40
2013-09-20,395.00,400.86,393.60,396.40,9021200,391.59
2013-09-19,391.80,393.20,389.54,391.00,2515600,386.25
2013-09-18,394.30,394.74,389.26,389.50,3583500,384.77
2013-09-17,395.60,399.20,393.90,393.90,2968500,389.12
2013-09-16,400.80,403.31,396.50,396.80,4339100,391.98
2013-09-13,400.60,402.70,396.90,397.20,3016900,392.38
2013-09-12,396.50,402.05,395.80,400.80,4289500,395.93
2013-09-11,397.10,399.20,395.50,396.10,3381500,391.29
2013-09-10,395.00,399.30,394.80,396.30,3888000,391.49
2013-09-09,393.40,394.20,392.20,392.80,1531400,388.03
2013-09-06,388.90,396.00,388.45,393.50,2150100,388.72
2013-09-05,390.00,390.70,384.54,388.40,2080800,383.68
2013-09-04,387.10,389.97,382.20,388.60,3109800,383.88
2013-09-03,387.00,388.60,385.29,386.00,4719900,381.31
2013-09-02,387.10,389.30,385.90,387.00,2610200,382.30
2013-08-30,391.50,391.50,384.60,384.60,3972000,379.93
2013-08-29,393.90,393.97,388.90,390.20,3012800,385.46
2013-08-28,398.10,398.10,390.70,391.30,3344700,386.55
2013-08-27,398.20,400.32,395.40,398.70,4595600,393.86
2013-08-26,398.20,398.20,398.20,398.20,000,393.36
2013-08-23,389.50,398.60,388.39,398.20,5205600,393.36
2013-08-22,387.10,390.80,386.50,388.30,2093400,383.58
2013-08-21,388.80,389.40,384.70,386.00,2918400,381.31
2013-08-20,387.20,387.70,384.40,387.60,2522500,382.89
2013-08-19,383.00,388.80,381.70,388.40,2590500,383.68
2013-08-16,384.60,386.45,382.00,383.60,2599400,378.94
2013-08-15,390.20,391.08,380.46,384.50,2578100,379.83
2013-08-14,391.10,392.20,387.60,390.30,1844200,385.56
2013-08-13,392.00,394.51,388.50,390.80,1817100,386.05
2013-08-12,395.00,395.00,390.30,391.90,2017400,387.14
2013-08-09,393.00,395.30,391.70,395.00,2107000,390.20
2013-08-08,388.20,393.70,387.40,391.80,2282000,387.04
2013-08-07,391.20,393.60,386.00,386.30,2959400,381.61
2013-08-06,393.30,394.22,388.90,391.30,2464700,386.55
2013-08-05,393.90,395.90,391.50,393.20,2131900,388.42
2013-08-02,395.90,396.70,391.76,393.50,1895600,388.72
2013-08-01,395.00,397.00,391.50,395.30,2529600,390.50
2013-07-31,390.10,395.00,388.58,393.60,3346400,388.82
2013-07-30,389.00,392.10,388.70,390.10,2400900,385.36
2013-07-29,394.40,395.74,385.50,387.00,3296900,382.30
2013-07-26,395.80,396.52,390.90,392.00,2395900,387.24
2013-07-25,395.00,395.41,392.00,395.00,3070800,390.20
2013-07-24,397.40,398.70,393.80,394.80,3224100,390.01
2013-07-23,399.70,400.90,396.70,396.70,3479000,391.88
2013-07-22,396.00,401.20,393.10,398.50,5316400,393.66
2013-07-19,392.30,396.40,388.90,395.80,7862200,390.99
2013-07-18,380.90,393.90,380.20,391.10,5109100,386.35
2013-07-17,381.30,385.60,378.20,379.80,4033900,375.19
2013-07-16,382.70,383.80,379.10,380.80,6809600,376.18
2013-07-15,384.50,386.10,379.00,382.20,3242800,377.56
2013-07-12,377.00,385.34,376.60,382.80,4982900,378.15
2013-07-11,376.80,377.70,373.20,375.30,2979300,370.74
2013-07-10,376.10,377.60,370.50,373.80,2849000,369.26
2013-07-09,378.10,378.12,375.20,376.20,3035900,371.63
2013-07-08,373.00,375.39,370.50,375.00,2818800,370.45
2013-07-05,368.70,375.20,367.42,372.50,3179700,367.98
2013-07-04,360.70,369.80,360.40,368.60,2718900,364.12
2013-07-03,359.90,360.80,356.40,359.70,3308000,355.33
2013-07-02,359.30,362.60,356.80,361.80,2867700,357.41
2013-07-01,357.10,360.10,354.00,358.80,3301400,354.44
2013-06-28,358.60,359.20,354.40,355.30,4173700,350.98
2013-06-27,357.20,359.91,354.90,358.30,3628200,353.95
2013-06-26,354.70,361.10,353.40,356.20,5750200,351.87
2013-06-25,351.90,356.30,349.83,352.90,4102400,348.61
2013-06-24,354.10,356.80,349.40,349.40,6277600,345.16
2013-06-21,364.50,368.40,357.96,358.00,9715200,353.65
2013-06-20,372.90,373.70,364.40,364.80,5308100,360.37
2013-06-19,373.50,377.33,371.30,376.50,2918000,371.93
2013-06-18,376.70,377.20,372.00,372.70,4801300,368.17
2013-06-17,371.40,377.80,371.30,375.50,5631400,370.94
2013-06-14,369.60,371.70,366.90,369.80,3246000,365.31
2013-06-13,362.80,368.50,361.00,367.90,4812600,363.43
2013-06-12,363.90,368.90,359.20,365.10,6036700,360.67
2013-06-11,363.70,366.00,357.20,362.70,3945100,358.30
