Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2467.00,2483.00,2454.00,2475.00,146900,2475.00
2013-11-18,2475.00,2493.00,2469.00,2482.00,265600,2482.00
2013-11-15,2457.00,2497.00,2457.00,2487.00,123800,2487.00
2013-11-14,2484.00,2500.00,2455.00,2472.00,245600,2472.00
2013-11-13,2491.00,2501.48,2450.00,2468.00,231800,2468.00
2013-11-12,2555.00,2555.00,2498.99,2502.00,281000,2502.00
2013-11-11,2470.00,2547.00,2446.00,2542.00,371900,2542.00
2013-11-08,2480.00,2486.00,2373.00,2438.00,521300,2438.00
2013-11-07,2544.00,2572.80,2486.00,2491.00,772500,2491.00
2013-11-06,2592.00,2632.00,2591.00,2605.00,218400,2605.00
2013-11-05,2641.00,2641.00,2565.00,2575.00,198700,2575.00
2013-11-04,2626.00,2655.00,2626.00,2631.00,188200,2631.00
2013-11-01,2579.00,2617.00,2579.00,2617.00,204000,2617.00
2013-10-31,2620.00,2638.00,2566.00,2579.00,409900,2579.00
2013-10-30,2679.00,2679.00,2613.00,2619.00,287900,2619.00
2013-10-29,2694.00,2700.00,2673.00,2678.00,176900,2678.00
2013-10-28,2698.00,2708.00,2670.00,2684.00,100800,2684.00
2013-10-25,2687.00,2691.00,2659.00,2688.00,152000,2688.00
2013-10-24,2674.00,2696.00,2665.72,2690.00,250700,2690.00
2013-10-23,2639.00,2667.00,2631.00,2659.00,170300,2659.00
2013-10-22,2617.00,2643.00,2610.00,2637.00,120600,2637.00
2013-10-21,2613.00,2626.00,2600.00,2611.00,134000,2611.00
2013-10-18,2580.00,2621.00,2562.00,2616.00,220400,2616.00
2013-10-17,2554.00,2577.00,2539.68,2568.00,292000,2568.00
2013-10-16,2629.00,2629.00,2564.00,2568.00,451100,2568.00
2013-10-15,2650.00,2661.00,2626.00,2642.00,294200,2642.00
2013-10-14,2642.00,2665.00,2629.00,2650.00,119300,2650.00
2013-10-11,2590.00,2644.00,2577.00,2644.00,235600,2644.00
2013-10-10,2522.00,2591.00,2517.00,2584.00,316300,2584.00
2013-10-09,2517.00,2526.00,2481.00,2493.00,247200,2493.00
2013-10-08,2563.00,2574.00,2526.00,2526.00,190800,2526.00
2013-10-07,2546.00,2564.00,2530.00,2564.00,155900,2564.00
2013-10-04,2561.00,2576.00,2547.00,2559.00,197200,2559.00
2013-10-03,2571.00,2581.75,2552.25,2566.00,174700,2566.00
2013-10-02,2600.00,2619.00,2560.00,2579.00,180400,2579.00
2013-10-01,2579.00,2615.00,2575.00,2613.00,133600,2613.00
2013-09-30,2554.00,2576.00,2541.00,2576.00,220800,2576.00
2013-09-27,2623.00,2635.00,2571.66,2591.00,137700,2591.00
2013-09-26,2575.00,2624.00,2545.00,2623.00,233500,2623.00
2013-09-25,2548.00,2575.00,2528.00,2573.00,199400,2573.00
2013-09-24,2577.00,2586.00,2548.00,2549.00,253900,2549.00
2013-09-23,2639.00,2639.00,2566.00,2585.00,224200,2585.00
2013-09-20,2607.00,2635.00,2600.60,2631.00,460800,2631.00
2013-09-19,2553.00,2609.00,2553.00,2608.00,362800,2608.00
2013-09-18,2515.00,2527.00,2496.00,2518.00,234800,2518.00
2013-09-17,2515.00,2535.00,2504.00,2519.00,237500,2519.00
2013-09-16,2505.00,2506.00,2484.00,2502.00,145000,2502.00
2013-09-13,2448.00,2484.00,2448.00,2475.00,139500,2475.00
