Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,344.90,349.20,344.00,348.70,966800,348.70
2013-11-18,347.20,348.70,344.80,345.70,1939000,345.70
2013-11-15,350.00,351.76,347.60,348.70,2284900,348.70
2013-11-14,348.20,351.20,347.90,349.30,1777700,349.30
2013-11-13,343.80,348.50,343.80,346.00,1795800,346.00
2013-11-12,348.80,349.70,344.20,345.80,1927100,345.80
2013-11-11,345.40,350.20,345.40,349.00,1430400,349.00
2013-11-08,342.90,344.90,341.70,344.50,1791000,344.50
2013-11-07,346.90,349.50,344.30,345.40,2162800,345.40
2013-11-06,341.30,347.20,340.70,346.00,2490000,346.00
2013-11-05,339.10,340.83,337.90,339.70,2108000,339.70
2013-11-04,337.00,339.43,336.58,338.20,1160800,338.20
2013-11-01,339.50,339.50,335.95,337.10,1631300,337.10
2013-10-31,337.60,338.43,335.40,337.10,2445600,337.10
2013-10-30,335.50,337.50,334.10,337.50,1341600,337.50
2013-10-29,333.20,334.73,330.80,334.70,1631700,334.70
2013-10-28,335.20,337.20,333.10,334.40,2485100,334.40
2013-10-25,325.00,332.30,324.20,331.90,2539000,331.90
2013-10-24,327.00,327.60,324.20,327.00,2878200,327.00
2013-10-23,331.80,332.12,326.40,327.00,2806000,327.00
2013-10-22,332.90,333.10,331.60,333.10,1753500,333.10
2013-10-21,331.20,333.00,328.90,332.50,2371200,332.50
2013-10-18,322.70,329.50,322.30,329.30,2407200,329.30
2013-10-17,317.30,323.00,317.30,322.20,1484400,322.20
2013-10-16,318.20,321.10,317.88,320.00,2565600,320.00
2013-10-15,324.90,325.90,320.00,320.00,2141000,320.00
2013-10-14,321.00,326.26,315.80,323.70,1767600,323.70
2013-10-11,318.90,322.90,318.70,322.90,2756800,322.90
2013-10-10,314.00,320.01,311.60,318.30,3804600,318.30
2013-10-09,319.20,319.59,312.00,312.90,4198900,312.90
2013-10-08,324.60,326.10,320.60,320.60,2606500,320.60
2013-10-07,329.10,329.10,323.40,324.30,1896400,324.30
2013-10-04,333.70,333.70,328.80,329.00,1660400,329.00
2013-10-03,331.90,334.30,331.10,333.90,2004900,333.90
2013-10-02,328.90,334.70,328.00,333.20,2479000,333.20
2013-10-01,330.50,332.50,328.40,330.60,2213200,330.60
2013-09-30,328.20,329.80,327.05,329.80,2315700,329.80
2013-09-27,335.50,336.20,329.80,329.90,2149600,329.90
2013-09-26,336.10,336.60,333.30,335.90,1952800,335.90
2013-09-25,346.00,346.00,334.40,335.50,2637300,335.50
2013-09-24,347.30,349.70,346.20,347.10,1409400,347.10
2013-09-23,346.10,348.90,346.10,347.30,917500,347.30
2013-09-20,347.40,350.00,346.70,346.70,2753100,346.70
2013-09-19,352.00,352.20,348.40,349.10,1707400,349.10
2013-09-18,354.20,354.40,348.60,349.90,1974000,349.90
2013-09-17,360.90,361.50,353.00,353.00,2179000,353.00
2013-09-16,357.50,362.10,354.80,360.40,2028500,360.40
2013-09-13,349.60,351.80,349.30,350.70,1376200,350.70
2013-09-12,348.90,350.60,347.00,349.70,1770600,349.70
2013-09-11,346.70,347.50,344.70,347.50,1488200,347.50
2013-09-10,345.00,348.30,344.90,346.60,1758400,346.60
2013-09-09,345.90,346.20,342.00,344.40,2578700,344.40
2013-09-06,347.20,350.30,344.90,345.80,2835700,345.80
2013-09-05,351.70,355.10,348.60,352.10,1215000,352.10
2013-09-04,350.10,352.30,347.10,351.60,1701700,351.60
2013-09-03,349.80,352.00,347.70,350.00,1867000,350.00
2013-09-02,346.90,350.15,344.90,349.60,1483100,349.60
2013-08-30,350.30,350.80,342.90,344.10,3475000,344.10
2013-08-29,349.80,352.20,347.70,350.20,1366600,350.20
2013-08-28,349.50,350.00,346.00,349.70,1398800,349.70
2013-08-27,354.40,355.20,349.80,350.30,1644800,350.30
2013-08-26,355.20,355.20,355.20,355.20,000,355.20
2013-08-23,353.50,357.30,353.10,355.20,1227400,355.20
2013-08-22,352.20,354.80,352.00,353.40,1007900,353.40
2013-08-21,355.10,355.60,352.10,352.10,1215600,352.10
2013-08-20,355.00,355.30,352.00,355.00,1119000,355.00
2013-08-19,354.20,357.30,352.90,356.50,3124000,356.50
2013-08-16,352.00,354.50,351.20,353.00,1591100,353.00
2013-08-15,359.40,359.40,351.90,352.00,1688500,352.00
2013-08-14,359.20,362.40,359.20,359.50,1359500,359.50
2013-08-13,357.10,360.20,355.70,359.10,872200,359.10
2013-08-12,358.80,361.10,355.67,357.00,1049500,357.00
2013-08-09,357.40,360.50,356.10,358.80,1348100,358.80
2013-08-08,352.90,359.40,352.90,357.20,1685500,357.20
2013-08-07,353.90,354.70,350.70,353.20,1642100,353.20
2013-08-06,353.60,357.00,351.70,354.00,1495200,354.00
2013-08-05,352.30,355.90,351.96,353.70,1084700,353.70
2013-08-02,355.10,356.90,351.90,352.40,1135400,352.40
2013-08-01,352.50,355.50,351.70,355.00,1436400,355.00
2013-07-31,350.80,354.26,350.20,350.50,2144800,350.50
2013-07-30,351.60,355.10,351.00,353.40,1695100,353.40
2013-07-29,351.20,354.70,349.30,351.50,1388500,351.50
2013-07-26,354.30,354.30,349.70,351.10,1273600,351.10
2013-07-25,355.50,356.90,349.60,352.10,2158400,352.10
2013-07-24,358.90,358.90,354.90,356.60,1906800,356.60
2013-07-23,355.90,368.80,352.20,359.00,4226900,359.00
2013-07-22,355.70,356.00,351.40,352.80,1552800,352.80
2013-07-19,355.60,357.50,352.80,355.60,3700000,355.60
2013-07-18,362.00,362.00,355.30,357.10,2517400,357.10
2013-07-17,362.30,362.80,355.40,362.10,2448000,362.10
2013-07-16,356.30,360.30,354.30,359.80,2699200,359.80
2013-07-15,368.30,370.30,352.30,356.10,3795000,356.10
2013-07-12,364.10,368.60,364.10,366.90,1236900,366.90
2013-07-11,366.30,366.60,361.00,364.00,1374300,364.00
2013-07-10,364.50,368.43,358.60,362.20,1928400,362.20
2013-07-09,361.40,365.40,361.40,364.40,1570300,364.40
2013-07-08,360.60,363.00,358.70,360.50,1146200,360.50
2013-07-05,359.60,364.50,357.50,357.60,2251100,357.60
2013-07-04,346.20,359.80,346.20,359.40,1609700,359.40
2013-07-03,350.10,350.70,343.60,346.10,1604700,346.10
2013-07-02,351.60,352.20,349.50,351.10,1506000,351.10
2013-07-01,340.70,353.40,340.70,351.50,3470100,351.50
2013-06-28,342.40,342.80,339.40,340.20,2981200,340.20
2013-06-27,333.70,343.60,333.00,342.50,2450700,342.50
2013-06-26,335.50,338.20,330.30,333.60,3345800,333.60
2013-06-25,333.00,336.00,331.25,335.40,4253000,335.40
2013-06-24,333.30,334.20,328.80,330.60,3093200,330.60
2013-06-21,335.20,339.90,332.60,333.30,6652800,333.30
2013-06-20,336.20,354.52,333.60,335.10,3650100,335.10
2013-06-19,333.20,340.60,331.00,340.00,4718700,340.00
2013-06-18,337.80,340.60,332.80,333.20,4302200,333.20
2013-06-17,342.40,343.60,337.40,337.90,1925500,337.90
2013-06-14,339.20,340.70,336.40,339.30,2063600,339.30
2013-06-13,333.30,337.30,331.70,336.80,1941100,336.80
2013-06-12,342.90,342.90,336.30,336.80,2459300,336.80
2013-06-11,346.30,348.30,339.80,341.70,3377400,341.70
2013-06-10,348.50,349.90,345.50,346.60,1808200,346.60
2013-06-07,370.92,370.92,363.03,366.08,2330600,385.10
2013-06-06,374.91,377.76,369.55,369.86,1734700,389.08
2013-06-05,370.81,375.97,370.60,374.60,2012200,394.06
2013-06-04,375.86,378.28,372.28,372.49,1990300,391.85
2013-06-03,381.96,381.96,373.86,373.86,2336500,393.28
2013-05-31,384.80,388.06,379.96,384.07,5693600,404.02
2013-05-30,379.12,388.17,378.81,386.70,2432300,406.78
2013-05-29,385.54,385.54,377.96,380.17,2016800,399.92
2013-05-28,382.28,387.22,382.28,386.49,2570400,406.56
2013-05-27,381.02,381.02,381.02,381.02,000,400.81
2013-05-24,383.96,385.22,378.91,381.02,2879800,400.81
2013-05-23,381.54,384.28,376.39,383.12,2956500,403.02
2013-05-22,383.43,391.11,383.33,386.27,3433700,406.34
2013-05-21,387.22,388.59,383.01,384.38,3680100,404.35
2013-05-20,381.65,388.70,379.75,387.22,2440100,407.34
2013-05-17,374.18,382.80,373.65,382.38,4572600,402.25
2013-05-16,370.18,377.76,368.71,374.81,2933300,394.28
2013-05-15,370.71,373.02,368.39,370.50,2023500,389.74
2013-05-14,370.08,375.55,367.23,375.55,2955600,391.17
2013-05-13,369.55,371.55,367.97,369.23,2458200,384.60
2013-05-10,365.97,368.81,364.50,368.81,1834900,384.16
2013-05-09,357.77,366.08,352.93,366.08,2216900,381.31
2013-05-08,358.71,369.65,358.61,365.03,4048500,380.22
2013-05-07,354.40,357.66,353.14,356.93,2825300,371.78
2013-05-06,356.19,356.19,356.19,356.19,000,371.01
2013-05-03,353.14,357.87,351.88,356.19,1677700,371.01
2013-05-02,356.93,360.40,351.24,353.24,2387400,367.94
2013-05-01,356.30,359.77,356.30,358.82,1529700,373.75
2013-04-30,359.35,360.82,354.09,355.03,3022400,369.81
2013-04-29,358.92,360.71,355.45,358.19,2548400,373.09
2013-04-26,361.13,362.71,356.40,358.50,3778900,373.42
2013-04-25,363.45,364.71,360.50,361.66,2247600,376.71
2013-04-24,360.29,363.76,359.24,363.76,2630400,378.90
2013-04-23,353.88,360.71,353.88,359.66,2325400,374.63
2013-04-22,356.19,359.98,352.93,354.09,1548700,368.82
2013-04-19,352.51,359.14,352.51,358.29,2041500,373.20
2013-04-18,357.98,360.82,357.45,357.87,1453100,372.76
2013-04-17,361.55,363.34,356.08,356.30,2246100,371.12
2013-04-16,357.03,359.87,355.45,359.35,1532000,374.30
2013-04-15,359.98,360.90,357.03,358.82,1679100,373.75
2013-04-12,356.93,360.71,355.66,359.45,1570300,374.41
2013-04-11,353.24,363.45,353.24,359.24,2257900,374.19
2013-04-10,347.35,354.72,346.51,353.67,2477400,368.38
2013-04-09,349.14,351.67,346.93,347.14,2101900,361.59
2013-04-08,348.09,351.24,346.51,347.35,1459300,361.81
2013-04-05,350.40,351.46,345.77,346.83,2313900,361.26
2013-04-04,355.77,357.77,349.56,349.77,1979600,364.33
2013-04-03,359.03,359.11,355.87,356.51,2489600,371.34
2013-04-02,358.82,367.02,358.82,360.08,2165400,375.07
2013-04-01,360.50,360.50,360.50,360.50,000,375.50
2013-03-29,360.50,360.50,360.50,360.50,000,375.50
2013-03-28,355.56,361.55,353.77,360.50,2638300,375.50
2013-03-27,355.56,360.92,352.19,354.30,2248500,369.04
2013-03-26,356.40,357.45,354.09,354.72,1669000,369.48
2013-03-25,354.82,360.92,349.77,354.61,2469700,369.37
2013-03-22,352.19,358.08,351.56,354.72,2589200,369.48
2013-03-21,354.72,356.19,351.04,353.56,3594700,368.27
2013-03-20,363.03,363.87,357.56,359.24,2549900,374.19
2013-03-19,361.55,363.55,358.92,361.13,2906400,376.16
2013-03-18,355.87,362.50,326.31,361.34,3667800,376.38
2013-03-15,365.34,365.55,358.08,359.56,5410400,374.52
2013-03-14,359.87,366.92,359.87,363.97,3491900,379.12
2013-03-13,360.08,363.03,359.24,359.98,2480800,374.96
2013-03-12,358.82,363.55,357.45,360.19,3919700,375.18
2013-03-11,358.71,361.03,351.24,359.66,4052500,374.63
2013-03-08,370.71,374.81,362.71,367.55,3944500,382.85
2013-03-07,362.92,371.44,361.98,370.39,3867100,385.80
2013-03-06,363.34,363.34,359.98,361.98,1963200,377.04
2013-03-05,358.92,363.24,358.92,362.50,1703600,377.59
2013-03-04,356.72,359.77,354.19,357.14,2332600,372.00
2013-03-01,358.08,360.61,354.72,357.98,1954800,372.87
2013-02-28,357.24,361.34,356.61,357.66,3526500,372.54
2013-02-27,354.72,362.34,353.77,356.82,2217700,371.67
2013-02-26,355.03,355.03,352.09,353.56,1951300,368.27
2013-02-25,360.29,362.29,357.03,358.40,1669900,373.31
2013-02-22,349.77,361.34,349.77,360.82,2828700,375.83
2013-02-21,358.29,358.50,348.93,350.19,2257700,364.77
2013-02-20,355.14,363.55,354.51,359.77,2221200,374.74
2013-02-19,349.77,354.85,349.77,354.72,2114800,369.48
2013-02-18,355.77,356.19,349.77,349.77,2084300,364.33
2013-02-15,351.67,358.40,350.61,355.45,2958600,370.24
2013-02-14,349.77,352.82,348.09,350.93,1970700,365.53
2013-02-13,354.19,357.35,349.04,350.61,3701500,365.20
2013-02-12,351.88,361.06,349.25,361.03,3581100,369.10
2013-02-11,347.46,352.30,344.51,351.77,3852000,359.64
2013-02-08,342.20,348.62,341.46,347.77,2746900,355.55
2013-02-07,346.62,347.58,340.52,340.62,2316700,348.24
2013-02-06,346.30,349.56,344.62,346.62,3781400,354.37
2013-02-05,343.25,345.36,341.88,345.25,2381900,352.97
2013-02-04,343.36,345.85,341.15,342.41,1904700,350.07
2013-02-01,340.62,343.78,340.62,342.41,2358400,350.07
2013-01-31,349.04,349.25,339.46,339.46,4111600,347.06
2013-01-30,342.73,349.88,341.88,348.83,2998800,356.63
2013-01-29,341.36,342.83,340.41,341.88,2684500,349.53
2013-01-28,342.20,345.04,341.77,342.62,1967400,350.28
2013-01-25,335.36,342.93,334.52,342.62,2772200,350.28
2013-01-24,328.52,336.73,327.58,334.62,1849300,342.11
2013-01-23,332.73,335.78,325.37,329.26,4991100,336.62
2013-01-22,333.89,334.52,331.78,333.26,2818900,340.71
2013-01-21,335.05,336.62,330.31,333.47,2045000,340.93
2013-01-18,329.15,334.52,328.94,333.78,2167700,341.25
2013-01-17,330.63,330.94,327.37,329.15,2421000,336.52
2013-01-16,327.05,332.24,326.84,330.73,2178900,338.13
2013-01-15,325.37,328.94,324.21,327.68,2594500,335.01
2013-01-14,328.21,328.21,323.03,326.10,3038300,333.40
2013-01-11,329.05,333.05,328.52,329.89,2229100,337.27
2013-01-10,326.63,327.05,325.16,326.42,2028200,333.72
2013-01-09,324.00,326.63,323.37,325.79,1771800,333.08
2013-01-08,320.95,323.05,320.32,322.42,3093100,329.63
2013-01-07,321.05,321.90,318.60,321.90,2158800,329.10
2013-01-04,319.79,322.00,317.64,321.90,2349900,329.10
2013-01-03,317.90,320.32,316.53,319.48,2160300,326.62
2013-01-02,314.11,318.53,313.48,317.69,2012000,324.79
2013-01-01,309.59,309.59,309.59,309.59,000,316.51
2012-12-31,310.54,311.90,308.64,309.59,588100,316.51
2012-12-28,313.17,313.48,309.90,310.54,1100200,317.48
2012-12-27,310.11,313.48,310.11,312.22,1224400,319.20
2012-12-26,310.96,310.96,310.96,310.96,000,317.91
2012-12-25,310.96,310.96,310.96,310.96,000,317.91
2012-12-24,310.96,311.80,310.01,310.96,487800,317.91
2012-12-21,310.85,310.85,306.85,310.74,4693800,317.70
2012-12-20,309.69,311.38,306.01,311.38,2928600,318.34
2012-12-19,308.75,311.17,308.75,309.80,5101600,316.73
2012-12-18,307.17,309.06,305.07,307.80,4178300,314.68
2012-12-17,304.96,306.12,304.22,306.01,2476100,312.86
2012-12-14,306.12,307.38,304.22,304.33,2433900,311.14
2012-12-13,307.59,307.90,304.54,305.38,3370400,312.21
2012-12-12,308.22,309.06,306.54,306.96,1991300,313.82
2012-12-11,307.80,310.33,306.85,307.17,3535100,314.04
2012-12-10,308.85,311.27,306.01,307.27,3021800,314.15
