Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2800.00,2832.00,2784.00,2800.00,1282000,2800.00
2013-11-18,2824.00,2837.00,2808.98,2810.00,936700,2810.00
2013-11-15,2846.00,2865.00,2798.00,2829.00,1457000,2829.00
2013-11-14,2802.00,2854.00,2797.00,2840.00,1842200,2840.00
2013-11-13,2820.00,2826.00,2738.00,2761.00,1976600,2761.00
2013-11-12,2822.00,2844.99,2780.00,2820.00,2093500,2820.00
2013-11-11,2800.00,2939.00,2800.00,2822.00,3971700,2822.00
2013-11-08,2789.00,2808.00,2767.00,2796.00,1126000,2796.00
2013-11-07,2837.00,2844.00,2775.00,2784.00,1803400,2784.00
2013-11-06,2876.00,2885.00,2823.00,2830.00,1060600,2830.00
2013-11-05,2877.00,2892.00,2830.00,2858.00,2252400,2858.00
2013-11-04,2792.00,2820.00,2792.00,2820.00,1175500,2820.00
2013-11-01,2763.00,2792.00,2759.00,2778.00,1517200,2778.00
2013-10-31,2771.00,2790.00,2746.00,2751.00,2058400,2751.00
2013-10-30,2776.00,2795.00,2754.00,2762.00,1388200,2762.00
2013-10-29,2822.00,2835.00,2762.00,2773.00,1951800,2773.00
2013-10-28,2885.00,2885.00,2772.72,2814.00,2536800,2814.00
2013-10-25,2816.00,2829.00,2744.00,2776.00,2069200,2776.00
2013-10-24,2544.00,2779.00,2457.00,2760.00,4994200,2760.00
2013-10-23,2498.00,2527.00,2497.00,2525.00,1327900,2525.00
2013-10-22,2504.00,2522.00,2487.00,2493.00,1408400,2493.00
2013-10-21,2535.00,2544.00,2506.00,2515.00,1077200,2515.00
2013-10-18,2527.00,2544.00,2507.00,2537.00,1159600,2537.00
2013-10-17,2505.00,2532.90,2504.00,2514.00,1294200,2514.00
2013-10-16,2476.00,2515.00,2454.00,2513.00,1199000,2513.00
2013-10-15,2464.00,2492.00,2453.00,2490.00,1278000,2490.00
2013-10-14,2443.00,2460.00,2433.00,2456.00,760000,2456.00
2013-10-11,2385.00,2453.00,2376.00,2445.00,999600,2445.00
2013-10-10,2388.00,2403.00,2373.00,2381.00,1723400,2381.00
2013-10-09,2413.00,2417.00,2380.00,2387.00,1135100,2387.00
2013-10-08,2448.00,2459.00,2418.00,2418.00,1010100,2418.00
2013-10-07,2444.00,2450.00,2423.00,2450.00,837600,2450.00
2013-10-04,2439.00,2461.00,2436.00,2454.00,1136900,2454.00
2013-10-03,2450.00,2476.50,2440.00,2440.00,1417200,2440.00
2013-10-02,2506.00,2506.00,2446.00,2446.00,1552200,2446.00
2013-10-01,2473.00,2510.00,2459.72,2505.00,1232100,2505.00
2013-09-30,2458.00,2489.00,2456.00,2478.00,1586900,2478.00
2013-09-27,2480.00,2494.00,2445.00,2467.00,1076700,2467.00
2013-09-26,2468.00,2481.00,2445.00,2473.00,997600,2473.00
2013-09-25,2491.00,2521.00,2477.00,2477.00,1446200,2477.00
2013-09-24,2473.00,2503.00,2445.00,2489.00,2380100,2489.00
2013-09-23,2583.00,2587.00,2515.00,2520.00,1161900,2520.00
2013-09-20,2541.00,2602.00,2537.00,2593.00,2546300,2593.00
2013-09-19,2532.00,2553.00,2525.00,2542.00,1087600,2542.00
2013-09-18,2553.00,2555.00,2517.00,2526.00,1401200,2526.00
2013-09-17,2526.00,2572.00,2523.00,2551.00,1724500,2551.00
2013-09-16,2507.00,2546.00,2507.00,2533.00,1584700,2533.00
2013-09-13,2472.00,2488.00,2434.00,2477.00,812800,2477.00
2013-09-12,2479.00,2508.07,2470.00,2485.00,1298200,2485.00
2013-09-11,2464.00,2487.00,2461.00,2486.00,1157600,2486.00
2013-09-10,2459.00,2482.00,2452.00,2466.00,1687500,2466.00
2013-09-09,2467.00,2467.00,2430.00,2442.00,980000,2442.00
2013-09-06,2439.00,2445.00,2412.00,2445.00,1004700,2445.00
2013-09-05,2408.00,2433.00,2390.00,2432.00,954500,2432.00
2013-09-04,2407.00,2408.00,2389.00,2405.00,623100,2405.00
2013-09-03,2424.00,2431.00,2384.00,2387.00,959900,2385.05
2013-09-02,2395.00,2407.53,2387.00,2398.00,510700,2396.04
2013-08-30,2414.00,2414.00,2376.00,2377.00,1314400,2375.06
2013-08-29,2390.00,2411.48,2371.00,2405.00,1042300,2403.04
2013-08-28,2395.00,2410.00,2360.00,2373.00,2042300,2371.06
2013-08-27,2400.00,2435.00,2385.00,2422.00,1594300,2420.02
2013-08-26,2425.00,2425.00,2425.00,2425.00,000,2423.02
2013-08-23,2427.00,2434.00,2403.00,2425.00,1316100,2423.02
2013-08-22,2416.00,2440.00,2408.00,2435.00,1209900,2433.01
2013-08-21,2426.00,2436.00,2401.00,2405.00,1152300,2403.04
2013-08-20,2400.00,2418.21,2379.00,2417.00,1028600,2415.03
2013-08-19,2453.00,2470.00,2396.00,2409.00,2037300,2407.03
2013-08-16,2380.00,2392.00,2371.00,2385.00,1633700,2383.05
2013-08-15,2382.00,2391.10,2356.00,2370.00,1346000,2368.06
2013-08-14,2398.00,2408.00,2385.28,2387.00,1059800,2385.05
2013-08-13,2381.00,2417.00,2372.00,2393.00,1354200,2391.05
2013-08-12,2400.00,2411.00,2369.00,2373.00,892000,2371.06
2013-08-09,2380.00,2396.74,2365.00,2387.00,816400,2385.05
2013-08-08,2384.00,2394.00,2366.00,2378.00,879000,2376.06
2013-08-07,2394.00,2413.00,2373.00,2374.00,1244300,2372.06
2013-08-06,2399.00,2437.84,2381.00,2392.00,1073700,2390.05
2013-08-05,2448.00,2462.00,2398.50,2405.00,1000700,2403.04
2013-08-02,2440.00,2458.00,2426.00,2442.00,1004900,2440.01
2013-08-01,2415.00,2440.00,2400.00,2440.00,1171800,2438.01
2013-07-31,2406.00,2424.00,2397.00,2402.00,1257500,2400.04
2013-07-30,2380.00,2430.71,2375.00,2414.00,1978900,2412.03
2013-07-29,2355.00,2387.00,2349.00,2382.00,1876200,2380.05
2013-07-26,2357.00,2373.57,2305.00,2327.00,2863500,2325.10
2013-07-25,2227.00,2374.00,2175.00,2339.00,3945000,2337.09
2013-07-24,2226.00,2253.00,2207.00,2217.00,1636500,2215.19
2013-07-23,2243.00,2261.49,2116.96,2229.00,1261500,2227.18
