Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,335.00,340.40,334.76,339.90,3267800,339.90
2013-11-18,339.60,339.79,334.73,337.40,4617700,337.40
2013-11-15,340.60,341.00,337.80,339.70,3535600,339.70
2013-11-14,340.10,341.22,336.50,338.50,4095100,338.50
2013-11-13,340.00,342.30,335.61,335.80,5037500,335.80
2013-11-12,344.50,347.50,340.42,341.10,4051800,341.10
2013-11-11,348.60,348.80,343.50,344.80,5276500,344.80
2013-11-08,344.20,347.77,340.12,347.60,3503500,347.60
2013-11-07,351.40,351.43,345.30,346.20,5033000,346.20
2013-11-06,352.10,354.80,351.50,352.10,3498800,352.10
2013-11-05,355.90,356.95,349.30,351.00,3868400,351.00
2013-11-04,352.90,357.10,351.80,355.70,3427100,355.70
2013-11-01,352.00,352.70,348.50,351.10,4774900,351.10
2013-10-31,353.30,356.40,351.00,352.00,7649600,352.00
2013-10-30,358.00,364.53,353.10,354.50,12917800,354.50
2013-10-29,362.90,373.50,362.10,369.20,5505200,369.20
2013-10-28,367.10,367.50,360.10,363.10,3315700,363.10
2013-10-25,370.10,373.14,362.40,366.60,4128000,366.60
2013-10-24,366.80,372.40,366.60,371.90,3048500,371.90
2013-10-23,364.80,367.50,364.20,366.40,2937200,366.40
2013-10-22,364.80,367.00,362.50,365.90,3786000,365.90
2013-10-21,360.60,365.20,358.17,365.10,3538900,365.10
2013-10-18,362.50,363.73,358.10,359.60,5806100,359.60
2013-10-17,362.60,363.20,356.00,360.00,4937300,360.00
2013-10-16,360.60,366.60,360.20,363.30,3963100,363.30
2013-10-15,358.30,362.12,357.48,361.50,4367800,361.50
2013-10-14,355.00,356.70,352.00,356.40,3781200,356.40
2013-10-11,350.60,357.10,350.00,355.50,4828800,355.50
2013-10-10,334.60,347.55,334.10,346.40,5663800,346.40
2013-10-09,340.00,341.50,331.80,333.20,7259400,333.20
2013-10-08,350.80,351.30,340.70,341.10,4609500,341.10
2013-10-07,352.80,354.00,349.90,351.50,2892700,351.50
2013-10-04,347.20,356.60,345.98,354.10,5476600,354.10
2013-10-03,343.90,347.30,342.80,345.40,3294300,345.40
2013-10-02,345.30,346.30,340.40,344.40,2771900,344.40
2013-10-01,346.50,348.30,342.20,346.10,3139600,346.10
2013-09-30,347.30,348.17,342.78,345.40,4741500,345.40
2013-09-27,351.00,352.60,346.93,351.50,3757900,351.50
2013-09-26,348.00,352.40,345.33,350.20,3091800,350.20
2013-09-25,345.00,348.80,341.70,348.00,2825400,348.00
2013-09-24,343.70,348.02,342.60,345.50,2992100,345.50
2013-09-23,349.70,351.40,341.70,344.00,2590400,344.00
2013-09-20,345.80,352.80,345.54,348.70,5600700,348.70
2013-09-19,348.60,355.42,345.30,346.70,3921400,346.70
2013-09-18,343.90,349.20,341.70,343.70,2495500,343.70
2013-09-17,355.50,357.40,343.90,343.90,5272000,343.90
2013-09-16,348.20,356.80,347.50,354.10,5855200,354.10
2013-09-13,340.80,344.10,340.00,342.70,2771300,342.70
2013-09-12,345.00,347.00,339.40,340.60,2933600,340.60
2013-09-11,343.30,345.30,340.10,344.40,4294900,344.40
2013-09-10,344.20,349.14,343.80,347.10,3894100,341.88
2013-09-09,339.70,342.60,337.30,340.80,3824700,335.67
2013-09-06,339.60,340.60,332.10,338.00,4551100,332.92
2013-09-05,338.10,343.17,333.42,340.30,3577900,335.18
2013-09-04,341.30,341.30,330.73,336.80,4545400,331.73
2013-09-03,344.00,344.99,335.60,339.80,6492900,334.69
2013-09-02,334.50,344.90,333.00,343.50,4087600,338.33
2013-08-30,339.50,339.50,330.90,331.20,4411300,326.22
2013-08-29,337.30,340.10,334.20,338.20,3338800,333.11
2013-08-28,336.30,337.50,331.70,335.60,4814300,330.55
2013-08-27,343.20,345.20,336.52,337.10,5682000,332.03
2013-08-26,343.90,343.90,343.90,343.90,000,338.73
2013-08-23,346.00,346.00,341.42,343.90,5361000,338.73
2013-08-22,344.10,349.30,344.10,345.50,5491200,340.30
2013-08-21,345.60,359.80,344.30,344.60,9255400,339.42
2013-08-20,342.50,342.90,335.10,342.90,7946200,337.74
2013-08-19,346.30,348.13,343.10,345.30,4009100,340.11
2013-08-16,349.40,349.70,343.78,346.20,9293700,340.99
2013-08-15,365.30,365.80,347.40,349.50,6096200,344.24
2013-08-14,367.60,369.30,363.10,364.70,3449200,359.22
2013-08-13,370.90,373.80,363.20,365.70,4138400,360.20
2013-08-12,367.20,372.00,364.50,370.00,5708600,364.44
2013-08-09,376.90,377.29,361.30,365.00,7972500,359.51
