Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1419.00,1422.00,1378.00,1400.00,1279200,1400.00
2013-11-18,1429.00,1435.15,1418.00,1433.00,588700,1433.00
2013-11-15,1440.00,1442.00,1423.00,1431.00,1429400,1431.00
2013-11-14,1419.00,1441.00,1419.00,1440.00,607900,1440.00
2013-11-13,1425.00,1432.00,1407.00,1407.00,789100,1407.00
2013-11-12,1434.00,1437.00,1426.00,1428.00,1199800,1428.00
2013-11-11,1442.00,1445.00,1435.00,1437.00,396000,1437.00
2013-11-08,1422.00,1440.00,1420.00,1436.00,440400,1436.00
2013-11-07,1433.00,1454.00,1430.00,1432.00,581000,1432.00
2013-11-06,1419.00,1436.00,1419.00,1431.00,393500,1431.00
2013-11-05,1442.00,1442.00,1409.00,1418.00,555400,1418.00
2013-11-04,1427.00,1445.00,1422.00,1443.00,955000,1443.00
2013-11-01,1435.00,1435.00,1417.00,1423.00,424200,1423.00
2013-10-31,1419.00,1435.00,1416.00,1435.00,795800,1435.00
2013-10-30,1421.00,1425.00,1409.00,1416.00,584800,1416.00
2013-10-29,1399.00,1415.00,1398.00,1414.00,1562700,1414.00
2013-10-28,1415.00,1423.00,1395.72,1399.00,532000,1399.00
2013-10-25,1404.00,1416.00,1398.00,1415.00,648400,1415.00
2013-10-24,1397.00,1415.70,1397.00,1405.00,571900,1405.00
2013-10-23,1391.00,1407.42,1383.00,1397.00,753800,1397.00
2013-10-22,1441.00,1456.00,1428.00,1455.00,859500,1428.00
2013-10-21,1410.00,1435.00,1406.68,1433.00,763900,1406.41
2013-10-18,1399.00,1407.00,1391.00,1402.00,687700,1375.98
2013-10-17,1391.00,1401.00,1381.00,1390.00,390800,1364.21
2013-10-16,1387.00,1404.00,1377.00,1398.00,448100,1372.06
2013-10-15,1404.00,1406.00,1392.00,1395.00,725900,1369.11
2013-10-14,1373.00,1407.00,1373.00,1396.00,811800,1370.09
2013-10-11,1367.00,1383.00,1357.00,1379.00,476400,1353.41
2013-10-10,1324.00,1364.00,1322.00,1361.00,1481300,1335.74
2013-10-09,1327.00,1337.00,1308.00,1322.00,845200,1297.47
2013-10-08,1353.00,1353.00,1332.00,1332.00,849900,1307.28
2013-10-07,1350.00,1358.00,1336.80,1355.00,397300,1329.86
2013-10-04,1352.00,1361.00,1350.00,1354.00,518000,1328.87
2013-10-03,1384.00,1388.00,1346.47,1356.00,1019900,1330.84
2013-10-02,1412.00,1412.00,1381.00,1382.00,898500,1356.35
2013-10-01,1403.00,1426.00,1398.00,1419.00,493000,1392.67
2013-09-30,1385.00,1401.00,1385.00,1399.00,600100,1373.04
2013-09-27,1407.00,1421.00,1396.69,1401.00,488900,1375.00
2013-09-26,1390.00,1404.00,1387.00,1404.00,473900,1377.95
2013-09-25,1382.00,1394.27,1377.00,1391.00,425700,1365.19
2013-09-24,1384.00,1395.00,1379.82,1395.00,346900,1369.11
2013-09-23,1395.00,1398.00,1379.00,1388.00,575600,1362.24
2013-09-20,1402.00,1408.24,1387.00,1393.00,966200,1367.15
2013-09-19,1418.00,1435.00,1399.66,1406.00,691700,1379.91
2013-09-18,1441.00,1441.00,1385.00,1412.00,1281100,1385.80
2013-09-17,1380.00,1396.00,1372.00,1376.00,657300,1350.47
2013-09-16,1378.00,1383.00,1366.00,1373.00,601300,1347.52
2013-09-13,1359.00,1374.78,1359.00,1363.00,347600,1337.71
2013-09-12,1354.00,1383.00,1354.00,1360.00,606400,1334.76
2013-09-11,1371.00,1371.00,1348.00,1359.00,529900,1333.78
2013-09-10,1349.00,1365.00,1341.05,1363.00,484000,1337.71
2013-09-09,1344.00,1351.00,1332.18,1343.00,324200,1318.08
2013-09-06,1324.00,1343.00,1317.00,1343.00,469800,1318.08
2013-09-05,1324.00,1339.00,1314.00,1328.00,1090400,1303.36
2013-09-04,1316.00,1322.00,1307.00,1319.00,407300,1294.52
2013-09-03,1306.00,1311.00,1294.00,1309.00,695600,1284.71
2013-09-02,1286.00,1315.00,1286.00,1307.00,337500,1282.75
2013-08-30,1296.00,1305.00,1280.00,1282.00,659600,1258.21
