Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,803.50,808.50,802.00,807.50,1121900,807.50
2013-11-18,804.00,810.58,803.50,808.00,1335300,808.00
2013-11-15,806.00,809.00,804.75,807.00,2274500,807.00
2013-11-14,806.50,812.50,803.50,806.50,1478300,806.50
2013-11-13,802.50,807.00,798.00,804.50,2531700,804.50
2013-11-12,806.00,808.00,802.00,806.00,1447500,806.00
2013-11-11,802.50,810.26,802.00,805.50,1444100,805.50
2013-11-08,799.00,804.00,792.00,801.50,1558700,801.50
2013-11-07,802.00,808.00,799.00,804.50,1950800,804.50
2013-11-06,802.50,810.50,801.50,805.00,2406200,805.00
2013-11-05,803.00,805.78,796.97,802.50,1689900,802.50
2013-11-04,804.50,810.50,799.50,801.00,1868400,801.00
2013-11-01,800.00,806.50,795.50,804.50,2584500,804.50
2013-10-31,798.00,799.00,780.50,797.00,1983900,797.00
2013-10-30,796.50,800.00,795.50,798.50,1235100,798.50
2013-10-29,798.50,800.50,797.00,797.50,1559400,797.50
2013-10-28,799.50,800.50,796.50,796.50,1683300,796.50
2013-10-25,800.00,801.00,797.00,798.00,1493500,798.00
2013-10-24,802.50,813.00,799.50,801.00,1866000,801.00
2013-10-23,795.50,807.50,794.50,803.00,1708600,803.00
2013-10-22,794.50,800.03,781.50,799.50,1451900,799.50
2013-10-21,791.00,800.00,787.00,797.50,1227300,797.50
2013-10-18,784.50,788.00,778.50,788.00,4671600,788.00
2013-10-17,779.00,784.00,776.00,780.00,2452900,780.00
2013-10-16,784.50,789.50,777.50,783.00,2345000,783.00
2013-10-15,790.00,804.50,786.50,788.00,3014600,788.00
2013-10-14,771.50,788.00,769.50,786.00,1461400,786.00
2013-10-11,765.50,776.00,758.50,771.50,1453100,771.50
2013-10-10,757.00,766.50,756.00,764.50,2160400,764.50
2013-10-09,741.00,756.50,737.50,755.50,2268600,755.50
2013-10-08,757.00,763.50,746.50,747.50,1894500,741.01
2013-10-07,757.50,764.00,754.50,761.00,776400,754.39
2013-10-04,761.00,766.24,754.00,761.00,1002100,754.39
2013-10-03,758.00,767.00,758.00,765.00,987500,758.36
2013-10-02,764.50,765.00,754.99,759.50,1384800,752.91
2013-10-01,769.00,769.00,762.50,766.50,1395400,759.85
2013-09-30,765.00,772.00,762.00,771.00,1512100,764.31
2013-09-27,785.00,785.00,773.00,775.50,1220500,768.77
2013-09-26,774.50,781.00,765.50,780.50,1061600,773.72
2013-09-25,768.50,779.50,765.00,773.00,1320000,766.29
2013-09-24,773.00,781.00,766.50,771.00,1105000,764.31
2013-09-23,772.00,776.50,769.50,776.00,1104700,769.26
2013-09-20,777.00,784.50,774.72,776.00,2161800,769.26
2013-09-19,781.00,784.50,775.50,779.00,1363600,772.24
2013-09-18,777.50,782.50,772.50,776.50,1129000,769.76
2013-09-17,784.00,789.50,778.00,778.00,1640200,771.25
2013-09-16,783.50,792.50,783.00,788.50,1339000,781.65
2013-09-13,777.00,781.50,776.50,780.50,1107700,773.72
2013-09-12,772.50,779.50,771.00,778.00,1348200,771.25
2013-09-11,771.50,774.50,768.55,773.00,1099500,766.29
2013-09-10,765.00,775.00,765.00,771.50,1248200,764.80
2013-09-09,763.00,765.95,756.69,764.50,960500,757.86
2013-09-06,766.50,769.50,757.16,769.00,1013700,762.32
2013-09-05,770.00,776.50,756.00,767.00,1295700,760.34
2013-09-04,761.50,772.00,755.00,769.50,1227500,762.82
2013-09-03,765.50,769.50,753.00,761.00,1256100,754.39
2013-09-02,750.50,765.50,750.50,765.50,916000,758.85
2013-08-30,766.50,767.00,749.00,750.00,1760800,743.49
2013-08-29,765.50,768.50,758.50,766.00,1285500,759.35
2013-08-28,768.00,768.50,759.00,766.00,1493700,759.35
2013-08-27,781.00,784.00,767.50,770.50,1714300,763.81
2013-08-26,786.00,786.00,786.00,786.00,000,779.18
2013-08-23,782.50,788.50,779.50,786.00,698400,779.18
2013-08-22,775.00,787.00,775.00,783.00,893400,776.20
2013-08-21,783.50,785.50,775.00,775.00,1162800,768.27
2013-08-20,781.00,784.50,775.50,784.00,935900,777.19
2013-08-19,778.50,786.50,777.50,784.50,975600,777.69
2013-08-16,780.50,787.50,776.50,779.50,2261800,772.73
2013-08-15,792.50,794.00,775.21,780.50,1332800,773.72
2013-08-14,791.50,805.50,788.50,792.50,1176700,785.62
2013-08-13,777.00,790.50,771.50,790.50,1541500,783.64
2013-08-12,785.50,790.50,782.00,785.00,1034700,778.18
2013-08-09,783.00,790.00,779.00,786.00,799700,779.18
2013-08-08,782.00,787.00,778.00,782.00,1136400,775.21
2013-08-07,784.50,796.50,780.00,782.50,1570500,775.71
2013-08-06,794.00,799.50,786.00,793.00,1422800,786.11
2013-08-05,799.50,801.50,790.00,796.50,1109400,789.58
2013-08-02,788.00,800.50,493.00,800.00,1626700,793.05
2013-08-01,788.50,799.00,775.00,787.50,1610200,780.66
2013-07-31,783.50,790.50,778.00,784.50,1386200,777.69
2013-07-30,777.00,785.50,776.00,783.00,1129400,776.20
2013-07-29,778.00,791.00,774.50,776.50,1210600,769.76
2013-07-26,787.00,790.00,774.66,778.00,1017500,771.25
2013-07-25,789.50,794.00,780.00,783.00,950600,776.20
2013-07-24,785.00,796.50,781.50,791.00,1216200,784.13
2013-07-23,791.00,791.00,781.50,785.50,885400,778.68
2013-07-22,787.50,790.50,782.00,787.50,724800,780.66
2013-07-19,795.50,796.00,786.50,790.00,2105800,783.14
2013-07-18,783.50,798.50,782.50,795.00,1436600,788.10
2013-07-17,773.50,792.50,773.00,788.00,2059000,781.16
2013-07-16,777.50,781.50,761.00,773.00,1834900,766.29
2013-07-15,777.00,786.50,776.25,778.50,999300,771.74
2013-07-12,771.50,782.00,771.50,776.50,1603100,769.76
2013-07-11,776.00,782.50,769.00,775.00,2123000,768.27
2013-07-10,765.50,771.00,764.00,768.50,1275600,761.83
2013-07-09,759.50,775.18,757.28,768.50,1363300,761.83
2013-07-08,757.50,764.00,746.00,755.50,1407800,748.94
2013-07-05,753.00,766.50,744.50,756.00,1358900,749.44
2013-07-04,733.50,753.50,733.50,752.50,981000,745.97
2013-07-03,734.50,735.50,720.00,729.50,1326200,723.17
2013-07-02,741.50,741.50,729.00,739.50,955500,733.08
2013-07-01,737.00,745.65,733.00,742.50,1225000,736.05
