Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,680.00,689.50,680.00,689.00,310100,689.00
2013-11-18,683.50,692.00,680.50,684.00,330600,684.00
2013-11-15,688.00,689.95,683.00,686.50,389800,686.50
2013-11-14,682.50,688.00,680.62,686.50,320400,686.50
2013-11-13,677.00,682.00,675.10,678.00,780900,678.00
2013-11-12,687.50,687.50,678.00,678.00,689300,678.00
2013-11-11,691.50,695.00,684.05,686.00,520200,686.00
2013-11-08,675.50,689.50,647.05,686.50,993000,686.50
2013-11-07,704.50,704.50,687.00,687.50,621100,687.50
2013-11-06,707.00,713.50,700.00,700.00,426300,700.00
2013-11-05,702.00,704.88,699.50,704.00,511200,704.00
2013-11-04,702.00,704.00,696.50,700.00,427800,700.00
2013-11-01,702.00,703.00,695.00,699.50,346800,699.50
2013-10-31,693.50,700.50,693.50,700.00,571200,700.00
2013-10-30,688.00,697.00,686.00,693.50,630200,693.50
2013-10-29,686.00,690.01,683.00,687.50,393900,687.50
2013-10-28,692.50,694.00,682.00,686.00,418700,686.00
2013-10-25,688.00,693.00,682.00,688.00,681800,688.00
2013-10-24,690.00,690.00,650.00,685.00,3952100,685.00
2013-10-23,707.00,723.00,707.00,712.00,751500,712.00
2013-10-22,720.00,721.50,705.00,706.50,542800,706.50
2013-10-21,717.00,720.50,709.36,720.00,639700,720.00
2013-10-18,705.50,720.00,703.00,711.50,886100,711.50
2013-10-17,688.50,701.50,688.50,701.50,467400,701.50
2013-10-16,695.00,700.00,689.00,691.50,855500,691.50
2013-10-15,689.50,693.00,687.50,693.00,579000,693.00
2013-10-14,685.50,688.50,682.00,685.50,251200,685.50
2013-10-11,683.00,694.00,682.50,687.50,380400,687.50
2013-10-10,667.50,683.50,667.50,683.50,453900,683.50
2013-10-09,675.00,675.00,664.50,668.00,539400,668.00
2013-10-08,674.00,684.00,674.00,676.50,503200,676.50
2013-10-07,701.00,703.50,672.50,674.50,879600,674.50
2013-10-04,694.50,706.00,694.50,705.00,699000,705.00
2013-10-03,700.00,705.50,690.00,698.00,1089300,698.00
2013-10-02,705.50,712.00,700.00,708.50,274100,708.50
2013-10-01,709.50,711.50,705.50,710.50,349300,710.50
2013-09-30,706.50,713.00,702.00,707.50,488700,707.50
2013-09-27,699.50,713.00,699.00,713.00,414500,713.00
2013-09-26,705.00,705.00,694.00,700.50,310100,700.50
2013-09-25,708.50,714.00,696.50,704.00,394400,704.00
2013-09-24,695.50,711.50,689.25,709.00,438700,709.00
2013-09-23,703.50,707.00,688.50,694.00,649100,694.00
2013-09-20,705.50,711.00,698.50,701.50,5612600,701.50
2013-09-19,715.00,718.50,702.00,704.50,544600,704.50
2013-09-18,713.00,716.00,703.50,706.50,306300,706.50
2013-09-17,720.50,725.50,706.00,709.50,327500,709.50
2013-09-16,720.00,730.00,717.50,721.00,381200,721.00
2013-09-13,702.50,720.00,700.90,715.00,326700,715.00
2013-09-12,727.00,728.50,700.00,705.00,848200,705.00
2013-09-11,721.00,732.50,716.00,729.00,763200,729.00
2013-09-10,718.00,731.50,712.50,715.50,602000,715.50
2013-09-09,696.50,713.50,696.50,713.00,482400,713.00
2013-09-06,703.50,707.00,694.50,704.50,442300,704.50
2013-09-05,700.00,706.50,695.00,703.50,685900,703.50
2013-09-04,690.50,700.00,686.50,698.50,559700,698.50
2013-09-03,690.50,697.00,688.00,690.00,883700,690.00
2013-09-02,677.50,693.99,676.00,692.50,478100,692.50
2013-08-30,677.50,677.50,670.50,675.00,496400,675.00
2013-08-29,663.00,675.50,658.50,672.50,620500,672.50
2013-08-28,662.00,662.50,650.50,662.50,768200,662.50
2013-08-27,664.50,668.00,660.00,662.00,495700,662.00
2013-08-26,664.50,664.50,664.50,664.50,000,664.50
2013-08-23,651.50,668.50,650.48,664.50,346200,664.50
2013-08-22,638.00,652.00,637.50,650.00,341700,650.00
2013-08-21,638.50,642.25,633.50,637.00,358700,637.00
2013-08-20,635.50,637.20,626.38,634.50,197200,634.50
2013-08-19,639.00,641.00,635.50,640.50,246600,640.50
2013-08-16,649.00,649.00,627.00,635.00,455600,635.00
2013-08-15,651.00,651.50,641.75,647.00,530900,647.00
2013-08-14,651.00,656.00,650.00,650.00,220800,650.00
2013-08-13,651.00,658.50,650.00,653.50,311900,653.50
2013-08-12,657.50,657.50,647.50,651.00,306800,651.00
2013-08-09,663.50,664.93,654.00,655.00,344500,655.00
2013-08-08,652.00,660.00,646.58,660.00,591000,660.00
2013-08-07,667.00,668.50,644.72,646.00,1286600,646.00
2013-08-06,675.00,685.11,658.00,665.00,11092400,665.00
2013-08-05,658.00,684.00,657.00,676.00,993800,676.00
2013-08-02,665.00,669.50,655.45,659.00,292300,659.00
2013-08-01,658.00,667.00,655.00,665.00,471200,665.00
2013-07-31,670.50,670.50,652.50,659.00,647100,659.00
2013-07-30,664.50,672.00,658.00,670.00,527500,670.00
2013-07-29,661.00,670.00,657.50,663.00,546300,663.00
2013-07-26,658.00,662.50,651.50,661.00,1865200,661.00
2013-07-25,654.00,657.50,647.39,654.50,839100,654.50
2013-07-24,647.50,659.50,643.00,653.00,584200,653.00
2013-07-23,645.50,646.53,638.61,645.00,404900,645.00
2013-07-22,648.00,648.50,639.08,645.50,856400,645.50
2013-07-19,643.00,659.00,633.16,647.50,449500,647.50
2013-07-18,602.00,645.00,590.14,638.00,874900,638.00
2013-07-17,591.00,604.50,586.50,600.50,518200,600.50
2013-07-16,595.00,597.77,582.50,589.00,551200,589.00
2013-07-15,570.00,604.14,568.00,593.00,1152100,593.00
2013-07-12,567.00,573.00,564.00,567.50,225400,567.50
2013-07-11,568.00,573.00,563.05,568.00,98800,568.00
2013-07-10,563.50,569.00,563.00,568.00,274300,568.00
2013-07-09,575.00,575.00,564.16,565.50,285000,565.50
2013-07-08,564.00,571.00,564.00,565.00,142000,565.00
2013-07-05,572.00,572.00,562.98,563.50,175400,563.50
2013-07-04,564.50,595.00,561.00,569.00,497000,569.00
2013-07-03,550.50,563.00,548.00,560.00,476900,560.00
2013-07-02,563.00,563.00,552.00,552.00,145500,552.00
2013-07-01,555.00,563.50,549.05,563.50,141700,563.50
