Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1385.00,1395.00,1385.00,1389.00,2161700,1363.00
2013-11-18,1394.00,1400.28,1384.00,1389.00,3912100,1363.00
2013-11-15,1401.00,1405.00,1389.00,1399.00,1721800,1372.81
2013-11-14,1414.00,1415.00,1391.81,1400.00,2579900,1373.79
2013-11-13,1405.00,1425.00,1392.00,1399.00,2683000,1372.81
2013-11-12,1393.00,1405.00,1379.00,1405.00,2406000,1378.70
2013-11-11,1401.00,1403.00,1387.00,1395.00,1888500,1368.89
2013-11-08,1392.00,1402.00,1380.00,1395.00,2234000,1368.89
2013-11-07,1405.00,1410.00,1397.00,1397.00,2434900,1370.85
2013-11-06,1405.00,1411.00,1396.62,1401.00,2911100,1374.78
2013-11-05,1417.00,1417.00,1395.18,1400.00,3597800,1373.79
2013-11-04,1411.00,1426.00,1407.00,1411.00,1854100,1384.59
2013-11-01,1420.00,1427.00,1411.73,1413.00,1717700,1386.55
2013-10-31,1428.00,1432.00,1405.00,1416.00,2875200,1389.49
2013-10-30,1444.00,1450.00,1421.00,1428.00,1977900,1401.27
2013-10-29,1449.00,1453.00,1437.00,1441.00,1583100,1414.03
2013-10-28,1445.00,1450.00,1436.00,1440.00,1415300,1413.05
2013-10-25,1436.00,1446.00,1428.25,1440.00,2439800,1413.05
2013-10-24,1430.00,1440.74,1411.15,1422.00,2241900,1395.38
2013-10-23,1438.00,1446.00,1422.00,1427.00,2596700,1400.29
2013-10-22,1434.00,1445.00,1426.00,1445.00,3485500,1417.95
2013-10-21,1457.00,1468.00,1443.00,1452.00,1687800,1424.82
2013-10-18,1440.00,1456.00,1434.75,1451.00,2538200,1423.84
2013-10-17,1422.00,1439.00,1419.00,1432.00,3768000,1405.20
2013-10-16,1440.00,1445.47,1418.00,1423.00,3399600,1396.36
2013-10-15,1442.00,1454.00,1439.00,1443.00,2189600,1415.99
2013-10-14,1450.00,1457.00,1433.00,1442.00,1299300,1415.01
2013-10-11,1447.00,1455.35,1431.00,1451.00,1316500,1423.84
2013-10-10,1463.00,1489.00,1442.00,1449.00,2780100,1421.88
2013-10-09,1435.00,1459.00,1435.00,1454.00,1652100,1426.78
2013-10-08,1451.00,1456.00,1433.00,1438.00,1961100,1411.08
2013-10-07,1456.00,1464.00,1439.88,1448.00,1902000,1420.90
