Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1471.00,1477.00,1456.00,1465.00,4800800,1465.00
2013-11-18,1458.50,1488.00,1457.00,1482.00,4280800,1482.00
2013-11-15,1459.00,1463.00,1449.00,1456.00,3634200,1456.00
2013-11-14,1465.00,1470.00,1448.50,1457.00,4237400,1457.00
2013-11-13,1473.50,1475.00,1429.00,1448.00,8810000,1448.00
2013-11-12,1505.50,1513.00,1476.00,1485.50,5611900,1485.50
2013-11-11,1491.50,1524.00,1486.50,1508.50,4955600,1508.50
2013-11-08,1460.00,1496.00,1456.50,1483.50,6435200,1483.50
2013-11-07,1487.50,1490.50,1455.00,1463.50,4337200,1463.50
2013-11-06,1503.50,1503.50,1479.00,1484.50,3844500,1484.50
2013-11-05,1516.00,1517.00,1490.00,1499.50,4150400,1499.50
2013-11-04,1505.00,1528.00,1505.00,1519.00,4068600,1519.00
2013-11-01,1500.00,1510.00,1485.50,1505.50,2508700,1505.50
2013-10-31,1506.50,1518.00,1496.50,1499.50,4105300,1499.50
2013-10-30,1532.50,1537.00,1497.50,1508.00,5537700,1508.00
2013-10-29,1490.00,1549.00,1490.00,1543.50,5291200,1543.50
2013-10-28,1525.00,1549.50,1522.00,1534.00,5829500,1534.00
2013-10-25,1511.50,1542.00,1511.00,1525.50,3812900,1525.50
2013-10-24,1503.00,1533.50,1494.50,1521.00,4264300,1521.00
2013-10-23,1508.00,1515.50,1493.00,1500.00,7407800,1500.00
2013-10-22,1493.50,1530.00,1490.00,1522.00,4728400,1522.00
2013-10-21,1489.50,1502.00,1484.00,1495.50,2312700,1495.50
2013-10-18,1481.50,1498.82,1478.00,1490.50,4056800,1490.50
2013-10-17,1492.00,1493.50,1476.50,1481.00,3989600,1481.00
2013-10-16,1467.00,1502.78,1466.00,1499.50,3904800,1499.50
2013-10-15,1472.00,1481.00,1461.79,1471.50,2861200,1471.50
2013-10-14,1480.00,1483.50,1461.50,1469.50,2343000,1469.50
2013-10-11,1480.00,1489.00,1469.00,1487.50,3160300,1487.50
2013-10-10,1443.00,1475.50,1433.50,1469.50,4371500,1469.50
2013-10-09,1433.50,1452.00,1431.50,1436.00,2874500,1436.00
2013-10-08,1449.00,1455.50,1427.00,1428.50,3049900,1428.50
2013-10-07,1445.50,1446.00,1435.50,1443.50,2757300,1443.50
2013-10-04,1460.50,1462.00,1438.00,1445.00,5304600,1445.00
2013-10-03,1447.50,1470.50,1445.00,1465.50,3903400,1465.50
2013-10-02,1467.00,1474.00,1453.45,1466.00,3298200,1466.00
2013-10-01,1480.00,1485.50,1462.50,1471.50,5980600,1471.50
2013-09-30,1479.00,1495.00,1478.50,1481.00,3508200,1481.00
2013-09-27,1507.00,1509.84,1487.24,1495.00,2803800,1495.00
2013-09-26,1522.00,1527.00,1499.00,1507.50,3517700,1507.50
2013-09-25,1530.00,1539.50,1509.00,1521.00,4262100,1521.00
2013-09-24,1529.50,1540.00,1519.00,1536.50,3501900,1536.50
2013-09-23,1530.50,1539.71,1516.50,1528.00,2366000,1528.00
2013-09-20,1551.00,1571.96,1528.50,1535.50,5099200,1535.50
2013-09-19,1550.00,1581.00,1536.00,1564.00,8606900,1564.00
2013-09-18,1496.00,1524.50,1496.00,1514.00,3900500,1514.00
2013-09-17,1503.00,1509.93,1482.00,1493.50,4464500,1493.50
2013-09-16,1523.50,1531.50,1508.94,1510.00,3720900,1510.00
2013-09-13,1509.00,1513.50,1499.46,1510.00,2390100,1510.00
2013-09-12,1515.50,1528.50,1508.00,1517.00,2896800,1517.00
2013-09-11,1507.50,1521.00,1500.50,1519.50,4475600,1519.50
2013-09-10,1476.00,1519.00,1471.00,1511.00,6466200,1511.00
2013-09-09,1470.50,1471.00,1444.50,1455.50,3341000,1455.50
2013-09-06,1467.50,1477.00,1452.50,1472.00,3680400,1472.00
2013-09-05,1455.00,1479.00,1450.00,1472.50,5672700,1472.50
2013-09-04,1449.50,1450.50,1425.50,1435.50,3225300,1435.50
2013-09-03,1462.00,1463.50,1438.00,1446.00,3105400,1446.00
2013-09-02,1455.50,1472.50,1454.50,1462.50,1731300,1462.50
2013-08-30,1464.50,1468.00,1438.00,1441.00,3210300,1441.00
2013-08-29,1447.00,1470.50,1433.00,1461.00,3529500,1461.00
2013-08-28,1434.00,1446.50,1427.37,1435.00,3438200,1435.00
2013-08-27,1476.50,1484.23,1431.50,1437.50,5785900,1437.50
2013-08-26,1492.50,1492.50,1492.50,1492.50,000,1492.50
2013-08-23,1486.50,1501.50,1469.50,1492.50,2240100,1492.50
2013-08-22,1468.00,1492.50,1467.50,1485.50,3698700,1485.50
2013-08-21,1480.00,1486.50,1460.00,1464.50,2635000,1464.50
2013-08-20,1510.00,1512.00,1463.50,1479.00,7030500,1479.00
2013-08-19,1552.50,1599.88,1518.72,1521.00,3607800,1521.00
2013-08-16,1542.00,1557.00,1516.00,1552.00,5421700,1552.00
2013-08-15,1579.50,1582.00,1538.00,1541.50,4491400,1541.50
