Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1822.00,1845.00,1813.00,1843.00,553700,1843.00
2013-11-18,1823.00,1841.00,1808.00,1828.00,917800,1828.00
2013-11-15,1845.00,1859.56,1814.00,1830.00,1267900,1830.00
2013-11-14,1826.00,1843.48,1819.00,1839.00,713300,1839.00
2013-11-13,1814.00,1831.00,1806.00,1825.00,941400,1825.00
2013-11-12,1796.00,1821.00,1788.50,1821.00,827800,1821.00
2013-11-11,1771.00,1805.00,1765.64,1798.00,550500,1798.00
2013-11-08,1745.00,1775.00,1745.00,1770.00,534200,1770.00
2013-11-07,1782.00,1782.00,1750.00,1750.00,595600,1750.00
2013-11-06,1797.00,1802.00,1774.00,1776.00,889200,1776.00
2013-11-05,1828.00,1836.38,1795.00,1796.00,618500,1796.00
2013-11-04,1858.00,1858.78,1816.00,1821.00,479400,1821.00
2013-11-01,1866.00,1871.00,1852.00,1861.00,375100,1861.00
2013-10-31,1875.00,1875.00,1856.00,1857.00,811100,1857.00
2013-10-30,1888.00,1898.00,1865.00,1876.00,575100,1876.00
2013-10-29,1865.00,1885.19,1861.00,1885.00,466600,1885.00
2013-10-28,1881.00,1887.00,1847.00,1866.00,831900,1866.00
2013-10-25,1853.00,1881.94,1853.00,1881.00,528700,1881.00
2013-10-24,1873.00,1877.74,1839.00,1860.00,506300,1860.00
2013-10-23,1859.00,1883.85,1859.00,1875.00,533200,1875.00
2013-10-22,1848.00,1864.21,1844.00,1864.00,602700,1864.00
2013-10-21,1830.00,1848.92,1823.00,1848.00,461300,1848.00
2013-10-18,1808.00,1829.10,1807.00,1828.00,622600,1828.00
2013-10-17,1804.00,1811.28,1790.00,1799.00,257000,1799.00
2013-10-16,1815.00,1815.00,1783.00,1807.00,356000,1807.00
2013-10-15,1795.00,1818.00,1776.00,1814.00,495000,1814.00
2013-10-14,1786.00,1814.00,1778.00,1808.00,303300,1808.00
2013-10-11,1771.00,1792.00,1754.00,1786.00,360300,1786.00
2013-10-10,1763.00,1774.00,1749.00,1773.00,483900,1773.00
2013-10-09,1738.00,1758.00,1737.00,1754.00,326000,1754.00
2013-10-08,1771.00,1771.00,1743.00,1744.00,616600,1744.00
2013-10-07,1766.00,1771.00,1755.00,1771.00,267400,1771.00
2013-10-04,1772.00,1786.00,1763.00,1767.00,313500,1767.00
2013-10-03,1785.00,1803.00,1778.00,1779.00,709800,1779.00
2013-10-02,1768.00,1795.00,1762.36,1784.00,372000,1784.00
2013-10-01,1763.00,1780.00,1761.00,1774.00,327600,1774.00
2013-09-30,1759.00,1779.64,1754.00,1763.00,473300,1763.00
2013-09-27,1799.00,1809.00,1768.00,1771.00,395700,1771.00
2013-09-26,1792.00,1805.00,1784.00,1794.00,277700,1794.00
2013-09-25,1808.00,1816.47,1790.00,1795.00,332200,1795.00
2013-09-24,1806.00,1820.72,1802.00,1811.00,202100,1811.00
2013-09-23,1813.00,1820.00,1800.00,1810.00,245100,1810.00
2013-09-20,1798.00,1830.00,1797.00,1820.00,932500,1820.00
2013-09-19,1800.00,1811.00,1792.00,1805.00,559300,1805.00
2013-09-18,1800.00,1819.00,1769.00,1786.00,1176800,1786.00
2013-09-17,1752.00,1834.75,1752.00,1792.00,1148500,1792.00
2013-09-16,1742.00,1763.00,1742.00,1758.00,307200,1758.00
2013-09-13,1735.00,1741.92,1723.00,1733.00,341800,1733.00
2013-09-12,1710.00,1738.00,1708.00,1736.00,300500,1736.00
2013-09-11,1713.00,1723.00,1709.00,1716.00,480500,1716.00
2013-09-10,1698.00,1714.00,1697.66,1712.00,499500,1712.00
2013-09-09,1705.00,1707.40,1686.00,1689.00,339600,1689.00
2013-09-06,1699.00,1711.00,1689.00,1704.00,618400,1704.00
2013-09-05,1700.00,1717.00,1681.86,1698.00,614300,1698.00
2013-09-04,1725.00,1729.00,1697.00,1698.00,392000,1698.00
2013-09-03,1717.00,1736.00,1708.00,1723.00,474900,1723.00
2013-09-02,1698.00,1722.00,1697.00,1718.00,405600,1718.00
2013-08-30,1712.00,1712.60,1687.00,1688.00,635900,1688.00
2013-08-29,1711.00,1717.00,1704.00,1713.00,375000,1713.00
2013-08-28,1707.00,1716.50,1700.54,1710.00,372200,1710.00
2013-08-27,1719.00,1735.00,1698.00,1708.00,485900,1708.00
2013-08-26,1718.00,1718.00,1718.00,1718.00,000,1718.00
2013-08-23,1708.00,1720.06,1703.00,1718.00,275900,1718.00
2013-08-22,1704.00,1716.00,1702.00,1707.00,374300,1707.00
2013-08-21,1698.00,1708.00,1695.00,1696.00,453300,1696.00
2013-08-20,1692.00,1702.00,1682.00,1697.00,417100,1697.00
2013-08-19,1709.00,1712.00,1695.00,1699.00,331100,1699.00
2013-08-16,1716.00,1727.00,1700.00,1710.00,479200,1710.00
2013-08-15,1762.00,1763.92,1710.00,1715.00,388100,1715.00
2013-08-14,1766.00,1775.00,1752.00,1763.00,222200,1763.00
2013-08-13,1764.00,1776.62,1752.47,1767.00,281200,1767.00
2013-08-12,1782.00,1782.80,1758.00,1763.00,285800,1763.00
