Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,818.50,826.00,816.78,821.00,683400,813.20
2013-11-18,812.50,824.50,812.00,821.00,742300,813.20
2013-11-15,813.50,816.50,805.66,814.50,1355300,806.76
2013-11-14,817.50,825.00,812.00,813.50,947700,805.77
2013-11-13,815.50,818.50,805.00,814.00,1619400,806.27
2013-11-12,813.50,823.00,809.00,821.00,1184400,813.20
2013-11-11,807.00,814.50,804.46,812.00,912400,804.29
2013-11-08,785.50,804.50,782.00,804.00,1573000,796.36
2013-11-07,794.00,814.44,788.00,791.00,1467600,783.49
2013-11-06,783.00,795.00,778.00,793.50,1368100,785.96
2013-11-05,786.00,786.50,770.00,780.00,1414400,772.59
2013-11-04,787.00,792.04,781.00,783.50,681500,776.06
2013-11-01,790.50,793.00,778.50,787.50,742600,780.02
2013-10-31,794.50,794.64,787.53,791.50,1020700,783.98
2013-10-30,795.00,799.22,787.97,791.50,722400,783.98
2013-10-29,797.00,799.50,792.54,798.00,634100,790.42
2013-10-28,794.50,797.20,790.00,795.00,451000,787.45
2013-10-25,791.50,795.50,789.05,791.00,587300,783.49
2013-10-24,787.50,795.00,785.50,790.00,1031200,782.49
2013-10-23,783.50,790.00,778.50,785.50,1055800,778.04
2013-10-22,782.50,788.00,777.00,780.50,1480800,773.08
2013-10-21,772.00,783.50,770.22,783.50,1028900,776.06
2013-10-18,771.00,778.50,767.00,771.50,2754500,764.17
2013-10-17,759.00,767.50,757.00,767.50,806200,760.21
2013-10-16,762.50,766.00,744.66,762.50,1070800,755.26
2013-10-15,762.00,762.00,752.50,755.00,1309300,747.83
2013-10-14,752.50,765.59,748.50,758.00,1124300,750.80
2013-10-11,749.00,755.25,744.50,753.50,882300,746.34
2013-10-10,743.00,753.50,742.00,746.00,1277600,738.91
2013-10-09,735.50,745.50,733.50,742.00,1316200,734.95
2013-10-08,740.00,748.00,737.00,737.00,1477300,730.00
2013-10-07,749.50,749.50,731.50,740.50,1672600,733.46
2013-10-04,740.00,759.00,735.00,745.00,1979200,737.92
2013-10-03,745.50,746.00,737.50,739.00,1081500,731.98
2013-10-02,735.50,744.00,733.50,739.50,1579200,732.47
2013-10-01,735.50,743.50,730.50,738.00,1287600,730.99
2013-09-30,735.00,755.50,733.00,736.50,1787300,729.50
2013-09-27,754.50,756.50,737.50,738.00,1922800,730.99
2013-09-26,758.50,765.50,752.50,755.00,968500,747.83
2013-09-25,765.50,766.34,755.00,755.50,1354600,748.32
2013-09-24,768.50,771.00,763.50,768.00,955800,760.70
2013-09-23,770.50,770.50,763.00,770.00,852400,762.68
2013-09-20,770.00,770.00,752.41,766.50,3218200,759.22
2013-09-19,784.00,799.50,783.50,784.00,1070500,776.55
2013-09-18,787.50,789.50,776.50,777.50,857800,770.11
2013-09-17,787.50,797.00,785.50,786.50,1238800,779.03
2013-09-16,798.00,800.50,785.50,786.00,1195400,778.53
2013-09-13,780.50,802.00,778.50,793.00,1167800,785.47
2013-09-12,779.50,787.64,779.50,782.50,1105600,775.07
2013-09-11,787.00,787.00,761.50,780.00,1575900,772.59
2013-09-10,780.00,803.50,776.00,781.50,2325800,774.08
2013-09-09,778.00,789.90,773.50,779.50,2379900,772.09
2013-09-06,799.00,807.00,798.50,807.00,1134800,799.33
2013-09-05,813.00,813.00,778.50,799.50,1940100,791.90
2013-09-04,819.00,819.09,805.00,812.50,605700,804.78
2013-09-03,817.00,826.00,815.00,819.50,524700,811.71
2013-09-02,805.50,822.50,805.50,817.50,631700,809.73
2013-08-30,814.50,816.00,804.00,805.00,976700,797.35
2013-08-29,797.50,815.50,793.00,814.00,973400,806.27
2013-08-28,802.50,804.50,794.50,797.00,609900,789.43
2013-08-27,821.00,826.00,804.50,804.50,743900,796.86
2013-08-26,821.50,821.50,821.50,821.50,000,813.70
2013-08-23,815.00,823.50,811.00,821.50,388200,813.70
2013-08-22,814.50,818.50,807.00,812.00,657200,804.29
2013-08-21,825.50,828.50,814.00,814.00,545400,806.27
2013-08-20,819.00,825.50,812.50,825.00,703900,817.16
2013-08-19,819.00,824.50,817.66,820.50,364800,812.70
2013-08-16,817.00,823.00,816.50,818.50,888100,810.72
2013-08-15,840.00,840.50,809.16,817.50,943700,809.73
2013-08-14,825.00,841.00,825.00,831.00,1099500,823.10
2013-08-13,814.00,825.00,814.00,824.50,648200,816.67
2013-08-12,820.50,823.00,813.00,814.50,512600,806.76
2013-08-09,827.50,828.00,811.50,820.00,993700,812.21
2013-08-08,822.50,829.50,819.84,824.50,517500,816.67
2013-08-07,824.00,833.00,822.50,823.50,1188900,815.68
2013-08-06,830.00,836.00,827.00,831.00,593100,823.10
2013-08-05,833.50,840.52,824.50,830.50,611100,822.61
2013-08-02,847.00,847.50,823.00,833.00,1074400,825.09
2013-08-01,839.50,849.00,834.50,846.50,671600,838.46
2013-07-31,832.00,842.00,828.50,839.00,870400,831.03
2013-07-30,828.50,837.50,828.50,831.50,652400,823.60
2013-07-29,830.00,835.50,822.50,828.00,678200,820.13
2013-07-26,838.50,842.50,827.00,829.50,613200,821.62
2013-07-25,853.50,854.00,831.50,835.50,1042400,827.56
2013-07-24,832.00,866.00,826.50,853.00,1945600,844.90
2013-07-23,846.50,848.50,822.00,823.50,1507900,815.68
2013-07-22,859.50,862.00,843.41,846.00,663500,837.96
2013-07-19,852.00,862.00,849.50,859.00,1901400,850.84
2013-07-18,844.00,857.00,830.50,851.50,1079500,843.41
2013-07-17,854.50,862.76,849.50,859.50,978300,851.33
2013-07-16,864.50,868.50,849.50,855.00,798100,846.88
2013-07-15,859.00,872.00,857.00,867.50,922100,859.26
2013-07-12,883.50,884.00,853.50,858.50,1204900,850.34
2013-07-11,883.00,889.50,878.50,883.00,861500,874.61
2013-07-10,880.50,882.00,870.50,878.50,870300,870.15
2013-07-09,867.00,883.50,863.46,881.00,1613700,872.63
2013-07-08,853.00,863.00,851.00,858.00,776100,849.85
2013-07-05,847.50,864.50,844.50,849.00,1274400,840.93
2013-07-04,821.50,852.50,821.50,847.00,1216500,838.95
2013-07-03,813.00,822.00,809.82,817.50,745100,809.73
2013-07-02,822.50,826.50,811.50,817.50,1502200,809.73
2013-07-01,829.50,832.10,814.00,822.00,1143400,814.19
2013-06-28,820.50,837.80,814.00,824.50,1461600,816.67
2013-06-27,810.00,827.22,808.70,820.50,1664300,812.70
2013-06-26,795.00,806.50,791.00,801.50,1257000,793.89
2013-06-25,808.00,820.00,801.00,813.50,1292800,787.15
2013-06-24,807.00,810.00,801.00,803.50,3094000,777.47
2013-06-21,800.50,816.50,797.34,808.00,3305600,781.83
2013-06-20,808.00,812.00,797.50,797.50,1846700,771.67
2013-06-19,836.00,836.00,812.50,818.50,1898700,791.99
2013-06-18,817.50,835.00,815.00,835.00,1448200,807.95
2013-06-17,820.50,824.50,814.50,819.50,947700,792.96
2013-06-14,825.50,846.50,816.50,818.00,1810500,791.50
2013-06-13,812.50,819.00,807.00,819.00,1199200,792.47
2013-06-12,800.00,828.50,799.50,821.00,2262900,794.41
2013-06-11,800.50,800.50,794.50,799.50,1839900,773.60
2013-06-10,806.50,812.50,800.16,801.50,1026900,775.54
2013-06-07,809.00,815.50,803.50,810.00,1205600,783.76
2013-06-06,815.50,825.50,809.50,809.50,1830500,783.28
2013-06-05,840.00,840.50,813.50,813.50,1463700,787.15
2013-06-04,831.00,837.00,825.00,832.00,1187200,805.05
2013-06-03,815.00,840.50,809.00,824.00,1962900,797.31
2013-05-31,838.50,843.50,813.86,816.50,2047300,790.05
2013-05-30,870.00,870.00,818.50,836.50,2264800,809.40
2013-05-29,878.00,878.00,842.00,849.00,1794800,821.50
2013-05-28,880.00,885.00,875.39,875.50,1151400,847.14
2013-05-27,875.50,875.50,875.50,875.50,000,847.14
2013-05-24,873.00,878.00,867.00,875.50,1195100,847.14
2013-05-23,850.50,876.00,844.50,871.00,2088600,842.79
2013-05-22,852.00,862.00,847.86,857.00,1449800,829.24
2013-05-21,855.50,859.75,849.00,852.00,1006200,824.40
2013-05-20,847.50,857.00,847.50,855.00,998600,827.31
2013-05-17,858.50,862.32,838.50,850.00,1235000,822.47
2013-05-16,873.00,876.50,860.00,861.50,820800,833.60
2013-05-15,868.00,876.00,863.50,874.00,748900,845.69
2013-05-14,865.00,870.00,863.50,867.00,547800,838.92
2013-05-13,861.00,869.87,860.50,864.50,774900,836.50
2013-05-10,855.00,865.50,855.00,862.50,742500,834.56
2013-05-09,841.50,863.00,838.50,857.50,1014300,829.72
2013-05-08,846.50,847.50,833.00,843.00,1396000,815.69
2013-05-07,850.00,857.00,841.00,842.00,998500,814.73
2013-05-06,845.00,845.00,845.00,845.00,000,817.63
2013-05-03,844.00,847.07,838.00,845.00,953200,817.63
2013-05-02,844.50,849.00,837.50,844.00,885100,816.66
2013-05-01,847.00,849.50,841.50,844.00,489400,816.66
2013-04-30,850.00,856.00,843.00,844.50,1180000,817.15
2013-04-29,853.00,857.50,842.50,850.00,840600,822.47
2013-04-26,852.50,855.00,842.00,851.50,776900,823.92
2013-04-25,857.50,860.00,851.50,854.50,819100,826.82
2013-04-24,888.00,888.00,855.00,859.00,1051900,831.18
2013-04-23,853.00,866.00,851.50,866.00,1230700,837.95
2013-04-22,840.50,857.08,840.50,853.00,1374500,825.37
2013-04-19,827.50,840.00,823.50,837.50,1068600,810.37
2013-04-18,830.50,833.00,822.71,824.00,873600,797.31
2013-04-17,843.50,847.00,829.00,829.00,889800,802.15
2013-04-16,851.00,852.50,838.00,838.00,764700,810.86
2013-04-15,848.50,854.61,841.00,852.00,913600,824.40
2013-04-12,843.50,849.00,836.00,847.00,863100,819.56
2013-04-11,842.50,848.00,834.50,842.00,1022500,814.73
2013-04-10,843.00,846.00,832.41,845.00,1459100,817.63
2013-04-09,857.50,857.50,833.50,838.50,1055400,811.34
2013-04-08,841.50,853.00,840.50,852.50,877200,824.89
2013-04-05,851.00,851.03,833.35,837.50,1188700,810.37
2013-04-04,861.50,863.00,847.50,850.50,1296200,822.95
2013-04-03,870.00,873.84,859.00,861.50,1314200,833.60
2013-04-02,849.50,870.50,849.24,870.50,2507900,842.30
2013-04-01,850.00,850.00,850.00,850.00,000,822.47
2013-03-29,850.00,850.00,850.00,850.00,000,822.47
2013-03-28,824.50,855.50,824.50,850.00,3772400,822.47
2013-03-27,834.00,834.00,814.00,825.00,1114200,798.28
2013-03-26,833.50,836.50,827.50,832.00,1196100,805.05
2013-03-25,846.50,851.00,831.00,833.00,1556800,806.02
2013-03-22,836.00,852.53,834.50,844.50,1901300,817.15
2013-03-21,835.50,839.49,829.77,838.00,1231600,810.86
2013-03-20,841.00,846.50,837.00,839.00,1065000,811.82
2013-03-19,830.00,842.00,830.00,838.00,1312400,810.86
2013-03-18,808.50,838.00,807.50,832.50,1261000,805.53
2013-03-15,843.00,843.50,811.00,818.00,6314600,791.50
2013-03-14,833.00,840.50,826.00,839.00,1362100,811.82
2013-03-13,819.00,831.50,810.00,829.00,1715900,802.15
2013-03-12,820.50,825.50,817.50,821.00,1134700,794.41
2013-03-11,829.50,834.09,819.50,823.50,1421100,796.83
2013-03-08,832.00,835.00,817.50,830.00,2009000,803.12
2013-03-07,833.00,838.50,831.24,832.00,871200,805.05
2013-03-06,840.00,840.50,832.50,834.00,762400,806.99
2013-03-05,833.00,842.50,831.00,840.00,998800,812.79
2013-03-04,825.50,832.00,822.00,831.50,1282500,804.57
2013-03-01,812.50,828.75,811.36,825.00,1763800,798.28
2013-02-28,808.50,815.00,805.00,812.50,1547800,786.18
2013-02-27,801.50,811.50,797.00,806.00,965900,779.89
2013-02-26,794.50,804.50,791.78,802.00,1049200,776.02
2013-02-25,807.50,808.50,796.05,800.50,931900,774.57
2013-02-22,806.50,815.50,804.00,807.50,965300,781.34
2013-02-21,806.00,806.50,791.00,804.50,1146600,778.44
2013-02-20,799.00,816.50,796.50,808.50,1318900,782.31
2013-02-19,785.50,800.50,782.10,799.50,1163200,773.60
2013-02-18,782.50,787.00,780.00,785.50,842200,760.06
2013-02-15,786.00,794.50,781.00,784.00,1536800,758.61
2013-02-14,796.00,804.00,793.50,801.50,1130700,775.54
2013-02-13,796.00,803.00,791.36,798.50,932500,772.64
2013-02-12,786.50,797.00,782.50,795.50,732600,769.73
2013-02-11,791.50,793.50,786.50,788.50,509800,762.96
2013-02-08,790.00,796.50,787.50,793.50,795200,767.80
2013-02-07,803.00,804.51,790.00,791.50,1281000,765.86
2013-02-06,797.00,814.50,793.50,804.50,1449700,778.44
2013-02-05,786.00,800.00,786.00,795.00,1183100,769.25
2013-02-04,804.00,807.50,787.00,787.00,1821500,761.51
2013-02-01,785.00,810.00,780.00,804.00,3695200,777.96
2013-01-31,818.00,820.00,807.50,812.50,1712900,786.18
2013-01-30,823.50,830.50,817.50,820.00,1344100,793.44
2013-01-29,824.50,825.00,819.50,823.50,1021900,796.83
2013-01-28,834.00,834.08,817.63,824.00,1264000,797.31
2013-01-25,825.00,834.00,824.00,834.00,834700,806.99
2013-01-24,825.00,832.00,824.00,826.50,1025200,799.73
2013-01-23,812.00,825.00,810.00,825.00,1421200,798.28
2013-01-22,805.00,822.50,800.00,812.00,1751500,785.70
2013-01-21,794.00,800.00,790.22,800.00,703900,774.09
2013-01-18,795.50,800.00,791.00,793.00,1241300,767.31
2013-01-17,796.50,803.00,788.00,793.50,1309400,767.80
2013-01-16,773.50,788.75,769.00,788.50,1457800,762.96
2013-01-15,760.00,769.00,759.00,769.00,916200,744.09
2013-01-14,769.50,771.00,755.25,759.00,2190000,734.42
2013-01-11,772.50,776.00,765.00,769.00,970500,744.09
2013-01-10,778.50,781.50,766.00,769.50,1342600,744.58
2013-01-09,782.00,783.64,774.53,779.50,879300,754.25
2013-01-08,791.00,794.50,780.00,782.50,1622900,757.15
