Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,894.00,903.50,883.00,890.00,3180100,890.00
2013-11-18,890.00,897.88,887.00,894.50,1623600,894.50
2013-11-15,889.00,899.00,887.78,897.00,2781200,897.00
2013-11-14,892.00,893.00,877.00,885.00,3066400,885.00
2013-11-13,895.00,900.50,867.00,880.50,3146000,880.50
2013-11-12,915.50,918.50,892.00,900.00,2095200,900.00
2013-11-11,904.50,930.00,901.00,915.50,1843400,915.50
2013-11-08,9.82,9.82,9.82,9.82,000,9.82
2013-11-07,9.82,9.82,9.82,9.82,000,9.82
2013-11-06,946.50,950.00,932.00,932.00,1535000,932.00
2013-11-05,951.50,952.00,933.76,941.50,1448100,941.50
2013-11-04,9.82,9.82,9.82,9.82,000,9.82
2013-11-01,9.82,9.82,9.82,9.82,000,9.82
2013-10-31,9.82,9.82,9.82,9.82,000,9.82
2013-10-30,9.82,9.82,9.82,9.82,000,9.82
2013-10-29,9.82,9.82,9.82,9.82,000,9.82
2013-10-28,9.82,9.82,9.82,9.82,000,9.82
2013-10-25,9.82,9.82,9.82,9.82,000,9.82
2013-10-24,9.82,9.82,9.82,9.82,000,9.82
2013-10-23,9.82,9.82,9.82,9.82,000,9.82
2013-10-22,9.82,9.82,9.82,9.82,000,9.82
2013-10-21,9.82,9.82,9.82,9.82,000,9.82
2013-10-18,9.82,9.82,9.82,9.82,000,9.82
2013-10-17,9.82,9.82,9.82,9.82,000,9.82
2013-10-16,9.82,9.82,9.82,9.82,000,9.82
2013-10-15,9.82,9.82,9.82,9.82,000,9.82
2013-10-14,9.82,9.82,9.82,9.82,000,9.82
2013-10-11,988.00,1002.00,982.50,997.00,1149400,997.00
2013-10-10,9.82,9.86,9.71,9.82,488000,9.82
2013-10-09,9.80,9.86,9.62,9.75,568400,9.75
2013-10-08,9.99,9.99,9.82,9.83,617000,9.83
2013-10-07,10.02,10.06,9.97,10.02,307900,10.02
2013-10-04,10.02,10.08,9.97,10.00,510200,10.00
2013-10-03,10.10,10.13,10.01,10.01,417400,10.01
2013-10-02,10.25,10.25,10.07,10.10,481000,10.10
2013-10-01,10.29,10.33,10.14,10.30,427200,10.30
2013-09-30,10.35,10.41,10.20,10.23,289300,10.23
2013-09-27,10.62,10.63,10.37,10.45,343300,10.45
2013-09-26,10.68,10.72,10.56,10.59,294700,10.59
2013-09-25,10.61,10.67,10.45,10.56,282700,10.56
2013-09-24,10.51,10.68,10.51,10.66,445200,10.66
2013-09-23,10.75,10.87,10.47,10.50,336500,10.50
2013-09-20,10.78,10.88,10.76,10.77,363900,10.77
2013-09-19,10.55,10.80,10.55,10.78,458500,10.78
2013-09-18,10.59,10.59,10.35,10.40,345200,10.40
2013-09-17,10.68,10.73,10.60,10.61,269900,10.61
2013-09-16,10.77,10.82,10.67,10.70,324500,10.70
2013-09-13,10.62,10.67,10.58,10.62,330500,10.62
2013-09-12,10.72,10.78,10.66,10.67,275900,10.67
2013-09-11,10.57,10.73,10.51,10.71,420900,10.71
2013-09-10,10.69,10.72,10.57,10.60,359500,10.60
2013-09-09,10.84,10.87,10.59,10.60,354700,10.60
2013-09-06,10.53,10.71,10.48,10.68,1010500,10.68
2013-09-05,10.28,10.37,10.17,10.30,254500,10.30
2013-09-04,10.44,10.44,10.26,10.28,459200,10.28
2013-09-03,10.27,10.52,10.25,10.42,924800,10.42
2013-09-02,10.14,10.34,10.08,10.17,502500,10.17
2013-08-30,10.17,10.26,10.07,10.11,547300,10.11
2013-08-29,10.27,10.27,10.06,10.20,487800,10.20
2013-08-28,10.21,10.44,10.21,10.23,882400,10.23
2013-08-27,10.22,10.27,10.04,10.19,765300,6.19
2013-08-26,10.24,10.24,10.24,10.24,000,6.22
2013-08-23,10.09,10.26,10.07,10.24,340800,6.22
2013-08-22,10.06,10.19,10.06,10.10,570100,6.14
2013-08-21,10.21,10.27,10.05,10.05,436700,6.10
2013-08-20,10.24,10.36,10.16,10.23,313600,6.21
2013-08-19,10.53,10.56,10.32,10.34,579700,6.28
2013-08-16,10.34,10.60,10.33,10.55,447200,6.41
2013-08-15,10.64,10.64,10.31,10.32,438400,6.27
2013-08-14,10.55,10.71,10.52,10.67,408100,6.48
2013-08-13,10.60,10.71,10.54,10.55,498800,6.41
2013-08-12,10.67,10.69,10.51,10.65,302900,6.47
2013-08-09,10.42,10.70,10.38,10.68,421900,6.49
2013-08-08,10.45,10.48,10.37,10.39,376000,6.31
2013-08-07,10.51,10.62,10.40,10.43,345500,6.34
2013-08-06,10.57,10.69,10.44,10.53,405000,6.40
2013-08-05,10.73,10.74,10.44,10.53,473300,6.40
2013-08-02,10.70,10.76,10.61,10.70,609700,6.50
2013-08-01,10.51,10.68,10.36,10.68,551200,6.49
2013-07-31,10.37,10.50,10.28,10.35,384000,6.29
2013-07-30,10.27,10.39,10.20,10.26,500800,6.23
2013-07-29,10.26,10.42,10.14,10.14,398500,6.16
2013-07-26,10.39,10.45,10.21,10.22,344100,6.21
2013-07-25,10.23,10.41,10.21,10.36,495500,6.29
2013-07-24,10.39,10.49,10.11,10.21,671600,6.20
2013-07-23,10.30,10.53,10.27,10.44,1172500,6.34
2013-07-22,11.03,11.22,11.03,11.15,259600,6.77
2013-07-19,11.06,11.14,11.00,11.05,284700,6.71
2013-07-18,11.06,11.14,10.93,11.14,269200,6.77
2013-07-17,11.01,11.12,10.93,11.02,311500,6.69
2013-07-16,11.04,11.13,10.92,10.95,479400,6.65
2013-07-15,10.87,11.00,10.65,11.00,497600,6.68
2013-07-12,11.19,11.25,10.98,11.01,461100,6.69
2013-07-11,11.05,11.26,10.98,11.24,620000,6.83
2013-07-10,10.69,10.90,10.62,10.88,548600,6.61
2013-07-09,10.75,10.75,10.63,10.68,365900,6.49
2013-07-08,10.65,10.74,10.58,10.64,435600,6.46
2013-07-05,10.73,10.73,10.47,10.50,478200,6.38
2013-07-04,10.72,10.81,10.56,10.72,554200,6.51
2013-07-03,10.70,10.85,10.51,10.65,990200,6.47
2013-07-02,10.41,10.43,10.23,10.32,530900,6.27
2013-07-01,10.12,10.60,10.12,10.48,772100,6.37
2013-06-28,10.17,10.21,10.00,10.01,496300,6.08
2013-06-27,10.15,10.26,10.14,10.18,513900,6.18
2013-06-26,10.14,10.18,10.05,10.17,495200,6.18
2013-06-25,10.11,10.20,10.00,10.12,530900,6.15
2013-06-24,10.27,10.40,10.03,10.04,607300,6.10
2013-06-21,10.18,10.38,10.17,10.26,625500,6.23
2013-06-20,10.27,10.32,10.16,10.23,569700,6.21
2013-06-19,10.47,10.53,10.33,10.42,410700,6.33
2013-06-18,10.25,10.47,10.22,10.40,489200,6.32
2013-06-17,10.44,10.45,10.25,10.31,473300,6.26
2013-06-14,10.38,10.55,10.20,10.48,613300,6.37
2013-06-13,9.97,10.36,9.96,10.36,569700,6.29
2013-06-12,10.20,10.29,10.13,10.16,340700,6.17
2013-06-11,10.19,10.30,10.06,10.18,561700,6.18
2013-06-10,10.02,10.15,9.92,10.11,566100,6.14
2013-06-07,10.10,10.10,9.99,10.02,352800,6.09
2013-06-06,10.37,10.39,10.07,10.07,421400,6.12
2013-06-05,10.47,10.58,10.33,10.38,486000,6.31
2013-06-04,10.63,10.68,10.53,10.56,412600,6.41
2013-06-03,10.40,10.81,10.40,10.65,685900,6.47
2013-05-31,10.43,10.58,10.36,10.44,479600,6.34
2013-05-30,10.15,10.66,10.14,10.43,835000,6.34
2013-05-29,10.32,10.47,10.21,10.31,561900,6.26
2013-05-28,10.37,10.46,10.31,10.42,599500,6.33
2013-05-27,10.26,10.26,10.26,10.26,000,6.23
2013-05-24,10.44,10.44,10.25,10.26,425800,6.23
2013-05-23,10.56,10.58,10.28,10.39,621900,6.31
2013-05-22,10.76,10.85,10.61,10.72,390200,6.51
2013-05-21,10.56,10.74,10.56,10.74,412000,6.52
2013-05-20,10.45,10.56,10.36,10.55,336900,6.41
2013-05-17,10.39,10.60,10.38,10.46,607100,6.35
2013-05-16,10.42,10.45,10.23,10.40,735600,6.32
2013-05-15,10.42,10.58,10.42,10.44,713800,6.34
2013-05-14,10.26,10.38,10.19,10.35,415400,6.29
2013-05-13,10.11,10.25,10.10,10.21,323700,6.20
2013-05-10,10.37,10.50,10.09,10.10,419200,6.14
2013-05-09,10.18,10.42,10.15,10.40,503100,6.32
2013-05-08,10.17,10.28,10.14,10.18,403100,6.18
2013-05-07,10.17,10.26,10.00,10.10,760500,6.14
