Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1707.00,1727.00,1699.00,1725.00,424200,1725.00
2013-11-18,1709.00,1719.00,1697.00,1718.00,398100,1718.00
2013-11-15,1726.00,1739.00,1718.00,1719.00,328200,1719.00
2013-11-14,1723.00,1746.00,1723.00,1729.00,740300,1729.00
2013-11-13,1733.00,1740.68,1699.28,1707.00,718600,1707.00
2013-11-12,1748.00,1748.00,1733.00,1735.00,391000,1735.00
2013-11-11,1760.00,1760.48,1734.00,1745.00,693600,1745.00
2013-11-08,1753.00,1756.00,1730.00,1744.00,754900,1744.00
2013-11-07,1791.00,1795.00,1744.48,1759.00,1424900,1759.00
2013-11-06,1808.00,1824.00,1791.00,1804.00,900700,1804.00
2013-11-05,1868.00,1868.00,1818.00,1822.00,662300,1822.00
2013-11-04,1842.00,1875.00,1842.00,1858.00,561100,1858.00
2013-11-01,1855.00,1864.00,1834.00,1840.00,592500,1840.00
2013-10-31,1865.00,1875.00,1836.00,1856.00,770400,1856.00
2013-10-30,1808.00,1857.00,1801.44,1848.00,829500,1848.00
2013-10-29,1788.00,1816.00,1783.00,1812.00,714600,1812.00
2013-10-28,1802.00,1810.00,1777.00,1790.00,433000,1790.00
2013-10-25,1802.00,1814.00,1793.00,1804.00,427800,1804.00
2013-10-24,1807.00,1815.00,1794.00,1815.00,378200,1815.00
2013-10-23,1775.00,1816.36,1775.00,1805.00,706200,1805.00
2013-10-22,1792.00,1799.00,1778.00,1782.00,455600,1782.00
2013-10-21,1800.00,1811.00,1790.60,1794.00,695600,1794.00
2013-10-18,1770.00,1801.00,1751.00,1791.00,1073600,1791.00
2013-10-17,1750.00,1770.00,1713.00,1749.00,1550600,1749.00
2013-10-16,1768.00,1788.00,1752.00,1778.00,1036100,1778.00
2013-10-15,1775.00,1783.00,1765.00,1772.00,624200,1772.00
2013-10-14,1709.00,1765.00,1704.00,1763.00,979600,1763.00
2013-10-11,1638.00,1684.00,1626.00,1678.00,745100,1678.00
2013-10-10,1597.00,1625.00,1591.00,1625.00,694400,1625.00
2013-10-09,1570.00,1601.00,1556.57,1586.00,672500,1586.00
2013-10-08,1636.00,1650.00,1577.00,1578.00,866500,1568.00
2013-10-07,1678.00,1679.00,1636.00,1640.00,593500,1629.61
