Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,357.65,358.49,354.35,356.95,15876100,356.95
2013-11-18,353.90,359.80,352.80,358.00,13315400,358.00
2013-11-15,357.05,357.90,352.73,354.50,18403600,354.50
2013-11-14,364.00,365.56,354.05,356.15,26297800,356.15
2013-11-13,363.20,366.25,362.55,364.70,13714400,364.70
2013-11-12,368.10,369.75,366.19,366.80,18023500,366.80
2013-11-11,367.05,369.30,366.95,368.00,16410900,368.00
2013-11-08,363.50,366.65,363.00,366.05,18299900,366.05
2013-11-07,363.15,366.50,362.85,364.60,17615800,364.60
2013-11-06,364.20,365.60,363.10,363.35,11345600,363.35
2013-11-05,363.25,364.55,360.30,363.00,12371700,363.00
2013-11-04,364.60,365.40,361.40,362.50,8341100,362.50
2013-11-01,364.30,364.67,362.35,363.40,12649300,363.40
2013-10-31,368.70,369.85,363.55,364.20,18648600,364.20
2013-10-30,369.20,371.30,367.70,369.00,13561500,369.00
2013-10-29,370.70,372.15,367.00,369.10,19257500,369.10
2013-10-28,371.00,372.70,369.90,371.40,7931500,371.40
2013-10-25,371.00,372.55,369.45,370.15,15226800,370.15
2013-10-24,370.00,371.45,368.60,371.00,22776100,371.00
2013-10-23,371.50,371.90,369.45,370.05,13170700,370.05
2013-10-22,372.00,374.88,370.10,371.45,24067100,371.45
2013-10-21,369.70,372.41,368.56,372.20,14881300,372.20
2013-10-18,368.55,371.10,367.35,369.15,22918700,369.15
2013-10-17,364.15,369.05,363.20,368.00,12641300,368.00
2013-10-16,363.35,366.71,361.90,365.50,10555900,365.50
2013-10-15,363.45,366.90,363.40,364.50,11210700,364.50
2013-10-14,358.30,362.00,358.30,361.55,7101100,361.55
2013-10-11,358.00,362.98,355.90,357.90,8403000,357.90
2013-10-10,355.50,358.43,353.43,355.70,11532100,355.70
2013-10-09,356.50,361.23,352.95,354.75,11759300,354.75
2013-10-08,362.10,362.35,359.54,360.50,10672700,355.87
2013-10-07,361.40,362.86,357.77,362.00,9117100,357.35
2013-10-04,365.90,365.90,360.10,361.50,10543100,356.86
2013-10-03,358.05,366.65,358.00,365.00,21045000,360.31
2013-10-02,353.00,358.05,342.40,358.00,34717400,353.40
2013-10-01,359.00,362.20,356.03,359.10,15308100,354.49
2013-09-30,360.45,365.20,358.55,359.00,15795900,354.39
2013-09-27,363.40,363.60,359.05,362.60,10138500,357.94
2013-09-26,360.90,363.27,360.45,362.45,9284100,357.79
2013-09-25,366.00,367.62,359.90,360.90,27377100,356.26
2013-09-24,375.65,377.05,372.15,374.00,10088700,369.20
2013-09-23,378.00,378.39,375.60,376.05,8177100,371.22
2013-09-20,375.55,378.30,375.41,376.25,17783100,371.42
2013-09-19,381.50,382.00,375.45,377.30,15632800,372.45
2013-09-18,372.10,378.64,371.00,378.30,15393000,373.44
2013-09-17,372.70,375.10,371.40,371.40,10983000,366.63
2013-09-16,375.60,376.25,370.85,372.10,8966800,367.32
2013-09-13,371.40,372.90,368.89,372.00,8086300,367.22
2013-09-12,371.05,374.50,370.80,371.75,16786400,366.98
2013-09-11,373.30,373.92,370.85,371.40,13407000,366.63
2013-09-10,368.90,373.73,368.00,372.05,14544300,367.27
2013-09-09,367.60,368.63,365.50,367.25,9680700,362.53
2013-09-06,367.65,370.20,365.20,367.00,8939200,362.29
2013-09-05,366.25,368.45,363.30,367.20,10188400,362.48
2013-09-04,370.00,370.00,362.60,366.05,12479600,361.35
2013-09-03,370.75,372.35,367.30,369.85,7950600,365.10
2013-09-02,369.50,371.80,369.25,370.15,5876500,365.40
2013-08-30,372.90,373.15,366.55,366.55,12238600,361.84
2013-08-29,372.70,373.58,369.90,372.00,13051200,367.22
2013-08-28,371.50,372.75,369.25,371.25,11963900,366.48
2013-08-27,372.15,375.21,368.30,372.80,15276300,368.01
2013-08-26,372.50,372.50,372.50,372.50,000,367.72
2013-08-23,367.35,374.75,364.95,372.50,11843500,367.72
2013-08-22,364.50,369.00,364.00,365.80,8552500,361.10
2013-08-21,366.95,368.25,362.90,363.20,8940300,358.54
2013-08-20,365.10,366.11,362.05,365.05,8646500,360.36
2013-08-19,368.35,369.35,364.10,366.30,6126100,361.60
2013-08-16,367.65,370.50,364.80,368.30,9394300,363.57
2013-08-15,373.90,374.56,363.56,367.00,10776600,362.29
2013-08-14,371.15,375.85,369.70,374.50,11906500,369.69
2013-08-13,372.35,374.35,368.20,370.85,10007700,366.09
2013-08-12,374.55,374.90,370.30,372.30,7203200,367.52
2013-08-09,370.50,375.85,370.40,375.00,11949100,370.18
2013-08-08,365.75,370.25,365.45,369.10,7270200,364.36
2013-08-07,371.50,372.35,365.05,365.05,11373300,360.36
2013-08-06,367.50,372.95,367.50,372.00,11249600,367.22
2013-08-05,371.80,373.09,367.15,368.15,6980000,363.42
2013-08-02,371.15,371.90,366.07,371.25,13443600,366.48
2013-08-01,368.00,372.00,367.75,370.25,10675300,365.49
2013-07-31,366.30,369.75,363.05,367.30,13175100,362.58
2013-07-30,363.00,369.25,362.24,366.65,9563900,361.94
2013-07-29,364.65,368.60,360.45,361.00,8761900,356.36
2013-07-26,367.25,386.40,362.25,363.15,8672500,358.49
2013-07-25,367.95,368.30,362.75,365.85,8895300,361.15
2013-07-24,368.50,374.02,366.45,367.75,10571400,363.03
2013-07-23,369.10,370.55,367.15,367.15,9089000,362.43
2013-07-22,369.85,370.67,366.10,368.05,8771400,363.32
2013-07-19,368.55,371.10,367.20,370.20,19697700,365.45
2013-07-18,361.40,368.20,359.55,368.20,19295200,363.47
2013-07-17,356.10,362.62,356.10,362.25,22925700,357.60
2013-07-16,353.25,356.55,351.96,355.50,16697000,350.93
2013-07-15,350.65,353.80,350.65,353.15,11829400,348.61
2013-07-12,350.90,355.27,348.60,349.55,13086800,345.06
2013-07-11,352.00,352.75,346.30,349.35,13728600,344.86
2013-07-10,348.20,351.05,345.00,349.50,18398300,345.01
2013-07-09,345.95,346.40,342.05,343.60,15457600,339.19
2013-07-08,344.30,345.60,339.20,343.00,15484100,338.59
2013-07-05,341.40,345.17,339.20,341.15,19218100,336.77
2013-07-04,333.90,340.05,331.20,339.90,13109800,335.53
2013-07-03,330.90,332.30,328.55,331.40,9811600,327.14
2013-07-02,333.90,335.15,329.70,333.35,8866900,329.07
2013-07-01,332.40,334.40,327.00,333.00,13150200,328.72
2013-06-28,336.00,338.00,330.30,331.40,17961700,327.14
2013-06-27,330.15,335.80,325.84,333.60,16914200,329.32
2013-06-26,328.65,333.26,325.80,327.60,20201500,323.39
2013-06-25,329.45,329.77,325.00,327.90,15937000,323.69
2013-06-24,332.00,333.80,325.94,326.00,18435200,321.81
2013-06-21,333.10,337.70,330.70,330.70,30811600,326.45
2013-06-20,340.35,341.95,331.05,331.30,17080000,327.05
2013-06-19,337.60,346.06,334.25,344.60,20289500,340.17
2013-06-18,336.45,339.65,335.03,335.90,16057700,331.59
2013-06-17,337.30,340.30,336.15,336.50,13620000,332.18
2013-06-14,340.55,342.91,335.55,336.50,18327300,332.18
2013-06-13,339.75,347.90,336.40,339.90,14153900,335.53
2013-06-12,343.70,346.85,342.10,342.55,13641400,338.15
2013-06-11,350.35,350.55,339.80,343.95,15042600,339.53
2013-06-10,346.35,351.25,344.20,350.00,12365100,345.50
2013-06-07,345.50,348.10,340.10,346.35,20272700,341.90
2013-06-06,349.70,354.05,344.80,344.80,19871000,340.37
