Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,385.00,389.20,384.90,388.20,1562800,388.20
2013-11-18,386.00,392.10,386.00,387.20,1591400,387.20
2013-11-15,381.50,390.10,380.40,388.40,1675500,388.40
2013-11-14,380.30,385.90,379.10,381.10,1077800,381.10
2013-11-13,382.70,383.10,373.30,377.70,941200,377.70
2013-11-12,382.40,383.70,380.00,382.30,1009500,382.30
2013-11-11,383.90,384.20,381.40,381.90,992900,381.90
2013-11-08,378.90,382.20,374.50,382.20,1126900,382.20
2013-11-07,384.70,384.90,378.50,379.70,904300,379.70
2013-11-06,377.90,387.80,377.40,383.60,1960400,383.60
2013-11-05,380.40,381.40,374.50,375.10,1352900,375.10
2013-11-04,380.00,381.10,375.30,379.20,1767700,379.20
2013-11-01,386.40,386.40,379.60,380.00,1093300,380.00
2013-10-31,386.00,389.60,383.80,385.00,1528500,385.00
2013-10-30,383.80,389.50,383.60,385.50,1540300,385.50
2013-10-29,381.70,384.30,380.60,384.00,997800,384.00
2013-10-28,385.70,387.30,380.80,381.80,1651400,381.80
2013-10-25,380.60,385.20,380.60,385.20,1272500,385.20
2013-10-24,381.00,385.10,380.30,382.60,1050400,382.60
2013-10-23,379.60,381.70,358.40,380.50,722400,380.50
2013-10-22,380.70,380.90,377.80,380.80,1237100,380.80
2013-10-21,380.70,383.10,378.60,382.20,1218100,382.20
2013-10-18,375.10,379.10,372.40,379.10,1486200,379.10
2013-10-17,367.20,374.70,365.30,373.20,2290300,373.20
2013-10-16,373.40,379.20,371.60,376.80,1887100,376.80
2013-10-15,371.90,375.90,371.60,375.00,1176500,375.00
2013-10-14,368.30,369.80,365.80,369.70,786900,369.70
2013-10-11,364.00,369.90,363.70,369.60,1150200,369.60
2013-10-10,360.00,366.40,360.00,365.00,1819100,365.00
2013-10-09,361.10,369.80,357.60,359.20,1111900,359.20
2013-10-08,368.80,369.80,360.30,361.90,1649200,361.90
2013-10-07,365.10,369.10,363.30,369.10,1203200,369.10
2013-10-04,369.20,370.30,365.00,368.30,1242300,368.30
2013-10-03,363.40,370.10,362.80,369.80,1307700,369.80
2013-10-02,367.30,368.40,363.20,364.80,1574300,364.80
2013-10-01,368.70,370.70,365.80,368.50,1384200,368.50
2013-09-30,363.10,368.50,361.80,367.70,2106900,367.70
2013-09-27,372.00,372.00,364.85,368.20,2130000,368.20
2013-09-26,362.00,370.40,360.10,370.40,5231900,370.40
2013-09-25,355.40,357.60,351.70,356.40,1794000,356.40
2013-09-24,357.90,360.30,354.90,356.50,1762100,356.50
2013-09-23,361.20,363.50,358.30,359.30,1586100,359.30
2013-09-20,360.40,364.70,359.30,360.90,1921100,360.90
2013-09-19,360.50,366.30,359.20,361.50,1710800,361.50
2013-09-18,356.70,358.20,353.00,357.10,1125700,357.10
2013-09-17,359.10,361.10,356.90,357.10,1150500,357.10
2013-09-16,358.20,361.60,357.30,358.80,1098200,358.80
2013-09-13,356.10,357.61,351.10,353.50,1701000,353.50
2013-09-12,361.00,364.42,355.40,356.00,2636900,356.00
2013-09-11,353.70,356.20,352.60,355.40,1840100,355.40
2013-09-10,348.30,355.50,347.70,354.40,2762400,354.40
2013-09-09,338.80,348.30,337.90,347.40,2595000,347.40
2013-09-06,333.40,338.90,333.40,338.20,1762100,338.20
2013-09-05,336.90,340.90,332.80,335.40,2795700,335.40
2013-09-04,339.80,340.89,329.20,334.60,3470100,334.60
2013-09-03,347.60,350.90,344.00,345.70,2039800,341.95
2013-09-02,345.50,352.50,345.50,348.30,1020900,344.52
2013-08-30,349.00,349.20,343.00,344.40,1545000,340.66
