Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2480.00,2498.00,2474.00,2495.00,1617100,2495.00
2013-11-18,2457.00,2493.82,2455.00,2491.00,1465900,2491.00
2013-11-15,2466.00,2473.00,2453.00,2465.00,1993000,2465.00
2013-11-14,2485.00,2492.00,2463.36,2464.00,3245600,2464.00
2013-11-13,2483.00,2495.28,2451.00,2459.00,2112600,2459.00
2013-11-12,2480.00,2500.46,2473.00,2487.00,1645100,2487.00
2013-11-11,2471.00,2485.00,2465.60,2478.00,1211800,2478.00
2013-11-08,2460.00,2474.00,2452.64,2464.00,2027100,2464.00
2013-11-07,2482.00,2503.00,2459.82,2468.00,3397700,2468.00
2013-11-06,2510.00,2533.65,2472.00,2479.00,6114800,2479.00
2013-11-05,2534.00,2537.00,2508.00,2535.00,2131600,2512.20
2013-11-04,2510.00,2534.00,2509.30,2530.00,1383700,2507.24
2013-11-01,2529.00,2529.00,2487.00,2507.00,2359000,2484.45
2013-10-31,2521.00,2535.34,2514.00,2525.00,2910500,2502.29
2013-10-30,2551.00,2551.00,2518.33,2523.00,1816100,2500.31
2013-10-29,2531.00,2549.64,2531.00,2548.00,2122000,2525.08
2013-10-28,2495.00,2521.00,2483.00,2520.00,1222100,2497.33
2013-10-25,2501.00,2510.00,2471.00,2493.00,3297600,2470.58
2013-10-24,2494.00,2518.00,2474.00,2509.00,1575100,2486.43
2013-10-23,2488.00,2511.53,2488.00,2496.00,1810800,2473.55
2013-10-22,2464.00,2502.44,2457.31,2484.00,1760400,2461.66
2013-10-21,2469.00,2469.00,2451.75,2466.00,1376700,2443.82
2013-10-18,2459.00,2472.00,2454.72,2466.00,2361500,2443.82
2013-10-17,2406.00,2448.19,2403.00,2444.00,2464700,2422.02
2013-10-16,2391.00,2409.64,2374.00,2399.00,2079000,2377.42
2013-10-15,2395.00,2419.00,2395.00,2403.00,2581200,2381.39
2013-10-14,2373.00,2390.82,2372.00,2383.00,1621000,2361.57
2013-10-11,2365.00,2384.32,2346.00,2376.00,2383100,2354.63
2013-10-10,2363.00,2363.00,2328.39,2353.00,2096600,2331.84
2013-10-09,2346.00,2358.00,2328.00,2351.00,1876900,2329.85
2013-10-08,2368.00,2373.60,2342.73,2349.00,2747700,2327.87
2013-10-07,2364.00,2372.00,2345.11,2372.00,1901700,2350.67
2013-10-04,2372.00,2377.00,2361.00,2366.00,2639600,2344.72
2013-10-03,2324.00,2370.00,2318.00,2367.00,3088400,2345.71
2013-10-02,2347.00,2349.00,2311.50,2319.00,3258100,2298.14
2013-10-01,2341.00,2358.06,2335.00,2358.00,5480800,2336.79
2013-09-30,2430.00,2453.15,2429.00,2440.00,2445900,2418.05
2013-09-27,2498.00,2504.00,2448.00,2457.00,2697200,2434.90
2013-09-26,2509.00,2521.00,2493.81,2505.00,1396300,2482.47
2013-09-25,2520.00,2526.00,2490.00,2505.00,2351600,2482.47
2013-09-24,2565.00,2571.00,2523.00,2524.00,3136500,2501.30
2013-09-23,2590.00,2599.76,2556.00,2566.00,1816000,2542.92
2013-09-20,2575.00,2602.00,2568.00,2585.00,3277100,2561.75
2013-09-19,2561.00,2603.00,2559.00,2588.00,4100800,2564.72
2013-09-18,2513.00,2513.00,2494.00,2505.00,1545700,2482.47
2013-09-17,2493.00,2520.68,2493.00,2513.00,2302000,2490.40
