Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,691.00,693.50,682.00,684.50,2226900,684.50
2013-11-18,689.50,695.89,687.00,691.50,1791500,691.50
2013-11-15,696.50,697.75,689.00,692.50,1628900,692.50
2013-11-14,695.00,697.50,687.00,692.50,1560200,692.50
2013-11-13,687.50,693.84,682.00,692.00,1757200,692.00
2013-11-12,687.50,688.50,682.50,688.50,1917100,688.50
2013-11-11,686.50,687.50,682.00,686.00,938900,686.00
2013-11-08,676.00,686.00,674.00,684.00,1803000,684.00
2013-11-07,689.00,693.09,678.00,680.50,1988600,680.50
2013-11-06,693.00,695.00,687.50,691.00,1883200,691.00
2013-11-05,694.00,696.00,685.00,691.00,2390000,691.00
2013-11-04,700.00,700.00,690.00,692.00,2397000,692.00
2013-11-01,707.00,707.97,698.50,702.00,1215600,702.00
2013-10-31,713.50,716.00,701.50,704.50,2135800,704.50
2013-10-30,717.50,721.50,710.00,714.00,1303300,714.00
2013-10-29,717.50,720.50,714.00,718.50,1206100,718.50
2013-10-28,720.00,722.00,706.00,713.00,2076400,713.00
2013-10-25,717.00,722.31,715.50,718.50,994500,718.50
2013-10-24,718.00,720.00,712.50,718.00,1347900,718.00
2013-10-23,701.50,722.50,701.50,716.50,2564100,716.50
2013-10-22,705.00,708.84,699.85,705.00,2261500,705.00
2013-10-21,710.00,714.50,706.50,707.50,1312300,707.50
2013-10-18,707.00,712.50,703.50,710.00,2423700,710.00
2013-10-17,703.00,706.95,699.12,700.00,1693600,700.00
2013-10-16,703.00,706.42,699.50,705.00,1428900,705.00
2013-10-15,706.00,707.50,697.00,703.50,1149500,703.50
2013-10-14,696.00,703.50,696.00,699.50,932400,699.50
2013-10-11,695.00,702.50,689.00,700.00,1239500,700.00
2013-10-10,692.00,697.00,687.00,695.00,1376000,695.00
2013-10-09,685.00,690.97,684.50,688.50,1028300,688.50
2013-10-08,697.00,697.53,685.50,685.50,1429900,685.50
2013-10-07,693.50,698.00,690.83,695.50,1194500,695.50
2013-10-04,692.50,698.00,691.00,696.00,907000,696.00
2013-10-03,703.50,707.00,693.00,694.50,1250900,694.50
2013-10-02,699.50,706.40,693.50,705.00,1815600,705.00
2013-10-01,691.00,700.00,689.95,700.00,2159700,700.00
2013-09-30,685.00,695.17,684.13,691.00,2755500,691.00
2013-09-27,693.50,696.50,688.50,689.50,1117300,689.50
2013-09-26,693.50,697.53,688.50,692.00,1218900,692.00
2013-09-25,703.00,704.00,692.00,695.50,1530000,695.50
2013-09-24,699.00,704.00,699.00,703.00,1076000,703.00
2013-09-23,701.00,701.50,695.22,701.00,1756600,701.00
2013-09-20,703.00,712.50,702.50,704.00,3194500,704.00
2013-09-19,700.00,713.50,695.00,707.50,4231800,707.50
2013-09-18,705.00,712.00,688.50,691.50,4969900,691.50
2013-09-17,688.50,706.50,688.50,703.00,3939200,703.00
2013-09-16,686.00,691.76,684.00,687.50,956900,687.50
2013-09-13,684.50,685.00,677.36,680.50,1228300,680.50
2013-09-12,678.00,690.00,678.00,684.00,1715100,684.00
2013-09-11,679.50,687.50,677.50,680.00,2048900,680.00
2013-09-10,677.50,683.02,675.74,680.00,1910200,680.00
2013-09-09,681.00,683.00,670.94,673.00,1670000,673.00
2013-09-06,682.00,685.50,673.36,680.50,2602300,680.50
2013-09-05,682.00,684.00,677.85,681.50,1464000,681.50
2013-09-04,683.00,686.50,678.00,680.00,1992500,680.00
2013-09-03,683.00,686.50,678.00,681.50,2110100,681.50
2013-09-02,683.00,686.52,680.50,682.50,1413600,682.50
2013-08-30,694.50,694.98,678.50,678.50,2171900,678.50
2013-08-29,682.50,694.00,680.32,693.00,1263400,693.00
2013-08-28,680.50,686.58,680.50,683.00,1457900,683.00
2013-08-27,691.00,692.43,680.50,681.00,1601600,681.00
2013-08-26,690.50,690.50,690.50,690.50,000,690.50
2013-08-23,688.00,690.50,684.50,690.50,915700,690.50
2013-08-22,685.50,693.00,684.50,686.50,1291500,686.50
2013-08-21,688.50,691.79,683.50,684.00,1287800,684.00
2013-08-20,681.00,691.00,681.00,688.00,1111600,688.00
2013-08-19,687.00,689.06,680.86,684.00,1727600,684.00
2013-08-16,688.50,693.00,683.00,686.50,1955000,686.50
2013-08-15,704.50,705.50,684.50,688.00,2262000,688.00
2013-08-14,707.00,711.00,701.50,705.00,1137700,705.00
2013-08-13,709.00,712.00,699.74,707.50,1827100,707.50
2013-08-12,714.50,714.50,702.50,708.00,1586000,708.00
2013-08-09,720.00,720.00,709.00,714.00,1797100,714.00
2013-08-08,717.00,722.00,716.50,717.50,1500600,717.50
2013-08-07,721.50,726.50,715.94,716.00,1756800,716.00
2013-08-06,727.00,733.94,720.50,724.50,1357000,724.50
2013-08-05,725.50,735.50,721.50,726.50,1216500,726.50
2013-08-02,724.50,730.50,722.50,725.00,1232800,725.00
2013-08-01,722.00,724.50,715.50,722.50,1271900,722.50
2013-07-31,721.00,728.00,719.50,721.50,1678900,721.50
2013-07-30,716.00,728.64,716.00,721.50,1263600,721.50
2013-07-29,717.50,727.54,708.36,714.00,1318800,714.00
2013-07-26,718.00,721.50,712.00,716.50,1154400,716.50
2013-07-25,712.00,721.87,708.00,717.50,2196000,717.50
2013-07-24,713.50,717.50,707.50,710.50,1535300,710.50
2013-07-23,720.00,721.50,713.00,713.00,1172700,713.00
2013-07-22,727.00,727.50,716.50,716.50,1488600,716.50
2013-07-19,717.00,729.00,717.00,727.50,2224700,727.50
2013-07-18,709.50,723.00,708.50,720.00,1399600,720.00
2013-07-17,718.00,720.00,707.50,710.00,3318900,710.00
2013-07-16,710.50,718.00,708.50,713.00,1554800,713.00
2013-07-15,706.50,715.00,706.50,711.50,1293800,711.50
2013-07-12,719.50,722.00,704.00,706.00,1396700,706.00
2013-07-11,715.50,719.50,707.00,719.50,1890000,719.50
2013-07-10,714.50,715.21,706.00,711.00,1667600,711.00
2013-07-09,709.00,717.50,707.00,716.00,1420200,716.00
2013-07-08,706.50,707.50,698.82,704.50,1734700,704.50
2013-07-05,701.00,709.00,694.50,702.50,1750100,702.50
2013-07-04,689.50,707.00,688.00,701.50,1929600,701.50
2013-07-03,692.00,698.00,683.78,686.00,1898600,686.00
2013-07-02,685.50,696.00,681.50,695.00,2026000,695.00
2013-07-01,685.00,689.81,681.50,685.00,1787000,685.00
2013-06-28,680.00,688.00,675.50,684.00,5888400,684.00
2013-06-27,674.00,684.50,671.50,680.00,2805000,680.00
2013-06-26,669.50,676.00,648.76,672.00,3670900,672.00
2013-06-25,657.50,669.00,656.00,665.50,4244700,665.50
2013-06-24,649.50,662.31,647.00,655.50,3961800,655.50
2013-06-21,666.00,688.38,649.00,649.00,7061000,649.00
2013-06-20,687.50,703.88,665.43,665.50,4065600,665.50
2013-06-19,709.00,725.88,691.00,692.00,3972300,692.00
2013-06-18,724.50,730.50,722.50,726.50,2576700,703.62
2013-06-17,731.50,738.10,724.50,724.50,4371000,701.68
2013-06-14,736.00,739.00,723.00,729.50,2443400,706.53
2013-06-13,722.00,734.18,721.50,730.50,2625800,707.49
2013-06-12,715.00,736.88,715.00,728.00,4694800,705.07
2013-06-11,732.00,740.50,714.85,732.00,3984300,708.95
2013-06-10,746.00,746.00,714.43,734.50,3180800,711.37
2013-06-07,740.00,752.50,731.50,749.00,4648600,725.41
2013-06-06,747.00,754.50,737.00,737.00,2316200,713.79
2013-06-05,754.00,758.00,746.00,746.00,2313500,722.51
2013-06-04,748.00,757.50,745.50,754.00,2451400,730.25
2013-06-03,754.00,759.50,748.00,755.50,2770800,731.71
2013-05-31,758.50,763.37,755.50,756.00,3110600,732.19
2013-05-30,755.50,765.32,753.00,758.50,2462600,734.61
2013-05-29,784.00,784.47,750.50,755.00,4269700,731.22
2013-05-28,790.50,793.00,779.85,787.00,3687600,762.21
2013-05-27,787.00,787.00,787.00,787.00,000,762.21
2013-05-24,793.50,793.50,784.00,787.00,2756700,762.21
2013-05-23,780.00,795.00,775.50,787.50,3514100,762.70
2013-05-22,785.00,786.50,779.50,781.50,3657800,756.89
2013-05-21,785.00,787.00,781.00,787.00,2380200,762.21
2013-05-20,782.00,785.00,774.00,784.50,3300100,759.79
2013-05-17,763.00,767.44,757.50,765.00,2519300,740.91
2013-05-16,762.50,768.00,758.50,761.50,4241900,737.52
2013-05-15,748.50,763.50,748.00,762.50,2840800,738.49
2013-05-14,775.00,789.50,758.50,760.50,6801000,736.55
2013-05-13,740.00,740.50,737.00,739.50,1432900,716.21
2013-05-10,743.50,748.50,734.68,738.50,2264800,715.24
2013-05-09,742.00,745.50,740.00,743.50,1237700,720.08
2013-05-08,741.00,748.50,739.66,744.00,1938600,720.57
2013-05-07,742.50,750.00,738.56,741.00,2422900,717.66
2013-05-06,740.50,740.50,740.50,740.50,000,717.18
2013-05-03,739.50,748.00,738.00,740.50,2817600,717.18
2013-05-02,744.50,748.50,735.40,739.00,2403600,715.73
2013-05-01,750.00,750.00,741.00,745.50,1448400,722.02
2013-04-30,741.50,746.00,740.00,740.50,3695500,717.18
2013-04-29,732.00,743.50,732.00,741.00,2266800,717.66
2013-04-26,730.00,739.50,726.00,732.50,2504700,709.43
2013-04-25,737.00,741.24,732.00,736.00,2520100,712.82
2013-04-24,745.50,749.00,736.82,738.50,2376300,715.24
2013-04-23,742.00,748.00,740.50,746.50,2295400,722.99
2013-04-22,743.50,744.50,738.50,742.00,2079100,718.63
2013-04-19,738.00,743.00,730.69,742.50,2130300,719.12
2013-04-18,745.50,745.50,736.36,736.50,2339400,713.31
2013-04-17,737.50,740.50,733.18,740.00,3343700,716.69
2013-04-16,737.00,738.50,729.50,731.50,2526100,708.46
2013-04-15,740.00,744.50,730.00,739.00,3319300,715.73
2013-04-12,720.00,725.38,717.06,721.00,1821200,698.29
2013-04-11,718.00,723.50,716.00,719.50,2313900,696.84
2013-04-10,710.50,719.50,706.36,717.50,2645000,694.90
2013-04-09,714.50,715.50,707.50,709.00,2350300,686.67
2013-04-08,706.50,709.31,702.50,706.00,1747500,683.77
2013-04-05,714.00,717.00,703.93,705.00,1660000,682.80
2013-04-04,713.00,717.00,709.00,711.00,2370000,688.61
2013-04-03,709.00,715.00,707.00,708.00,2325000,685.70
2013-04-02,711.50,717.50,705.50,706.50,1736700,684.25
2013-04-01,708.50,708.50,708.50,708.50,000,686.19
2013-03-29,708.50,708.50,708.50,708.50,000,686.19
2013-03-28,703.50,710.00,703.50,708.50,2077500,686.19
2013-03-27,709.00,709.00,696.15,704.00,2492300,681.83
2013-03-26,706.00,709.00,703.36,705.50,1915800,683.28
2013-03-25,705.00,705.00,685.00,703.50,2596900,681.34
2013-03-22,710.50,711.28,703.54,709.00,3986500,686.67
2013-03-21,700.00,714.00,696.50,709.00,3780300,686.67
2013-03-20,704.00,706.00,694.50,695.50,4844600,673.60
2013-03-19,684.00,699.91,683.86,695.50,5028700,673.60
2013-03-18,683.00,687.50,673.50,684.00,1943400,662.46
2013-03-15,703.50,703.50,684.43,689.00,7440800,667.30
2013-03-14,716.00,716.00,700.82,702.50,4714100,680.38
2013-03-13,715.00,719.50,713.00,714.50,1672300,692.00
2013-03-12,722.50,727.00,711.93,714.00,3000900,691.51
2013-03-11,712.50,726.00,712.00,723.50,3632100,700.71
2013-03-08,726.50,728.95,707.00,711.50,5244700,689.09
2013-03-07,745.00,749.50,725.00,726.00,3122800,703.14
2013-03-06,747.50,747.50,739.32,742.00,2168100,718.63
2013-03-05,749.00,750.50,741.50,747.50,2081200,723.96
2013-03-04,739.00,750.50,737.42,745.00,1806900,721.54
2013-03-01,739.00,740.50,732.00,739.00,1478600,715.73
2013-02-28,738.50,741.75,733.50,737.00,1932300,713.79
2013-02-27,730.50,738.00,728.50,736.00,1939700,712.82
2013-02-26,731.00,735.50,727.00,730.00,1910300,707.01
2013-02-25,740.00,743.50,731.00,735.50,1750200,712.34
2013-02-22,735.50,740.35,733.50,740.00,1726900,716.69
2013-02-21,735.00,736.50,730.00,733.00,2004300,709.92
2013-02-20,727.00,737.50,725.00,736.50,2474700,713.31
2013-02-19,722.00,726.15,719.50,725.50,1905000,702.65
2013-02-18,722.50,726.15,717.65,723.50,2289700,700.71
2013-02-15,718.00,723.50,711.68,720.00,2419100,697.32
2013-02-14,729.50,731.00,718.00,718.50,1862300,695.87
2013-02-13,728.50,734.00,723.50,729.50,1765900,706.53
2013-02-12,727.50,735.00,727.50,730.00,1440900,707.01
2013-02-11,727.50,734.83,720.52,728.00,2109100,705.07
2013-02-08,729.00,735.00,727.00,727.50,2227700,704.59
2013-02-07,736.00,743.50,726.00,726.00,2186600,703.14
2013-02-06,735.00,740.50,731.50,736.50,1806900,713.31
2013-02-05,731.00,742.00,730.00,733.00,2111700,709.92
2013-02-04,733.50,741.00,729.50,729.50,2373800,706.53
2013-02-01,735.00,742.00,730.50,731.50,3198500,708.46
2013-01-31,742.00,750.27,729.57,732.00,3902300,708.95
2013-01-30,743.00,752.04,740.00,740.00,2694500,716.69
2013-01-29,745.50,751.50,737.00,740.00,2400900,716.69
2013-01-28,747.50,749.00,739.12,743.00,1840300,719.60
2013-01-25,749.00,757.00,738.12,745.00,4293800,721.54
2013-01-24,720.00,749.00,719.50,747.50,6787400,723.96
2013-01-23,725.00,755.00,714.50,717.50,9326100,694.90
2013-01-22,721.00,723.44,712.00,717.00,3070600,694.42
2013-01-21,714.50,723.50,711.92,720.50,3846700,697.81
2013-01-18,712.00,717.00,709.00,711.00,3298300,688.61
2013-01-17,713.00,718.50,708.50,711.00,2827000,688.61
2013-01-16,697.50,715.00,695.50,712.00,5149300,689.58
2013-01-15,686.00,698.18,686.00,697.50,3457600,675.53
2013-01-14,698.00,698.50,685.00,685.00,2199600,663.43
2013-01-11,695.00,695.50,686.00,695.00,3192700,673.11
2013-01-10,690.00,700.91,688.50,692.50,5823100,670.69
2013-01-09,676.50,691.00,617.00,687.00,6729700,665.36
2013-01-08,676.00,681.50,675.00,675.00,2049600,653.74
2013-01-07,682.50,685.00,670.50,676.00,2332900,654.71
2013-01-04,689.00,691.12,680.35,684.50,2559400,662.94
2013-01-03,687.50,690.00,685.00,688.00,2039700,666.33
2013-01-02,680.50,686.50,677.00,685.50,2247700,663.91
2013-01-01,673.50,673.50,673.50,673.50,000,652.29
2012-12-31,673.00,675.29,669.00,673.50,421400,652.29
2012-12-28,677.00,679.50,669.00,674.50,1420900,653.26
2012-12-27,685.00,687.00,676.00,677.00,982200,655.68
2012-12-26,682.00,682.00,682.00,682.00,000,660.52
2012-12-25,682.00,682.00,682.00,682.00,000,660.52
2012-12-24,681.50,688.00,679.00,682.00,1055700,660.52
2012-12-21,675.50,693.94,674.50,682.00,4223600,660.52
2012-12-20,688.00,690.94,671.50,674.00,3367700,652.77
2012-12-19,693.00,705.44,686.00,688.00,2425000,666.33
2012-12-18,707.00,713.00,699.00,699.50,3080400,666.39
2012-12-17,703.50,708.00,699.00,704.50,2405000,671.15
2012-12-14,704.00,713.00,700.00,703.00,3348000,669.72
2012-12-13,690.50,704.00,689.00,701.00,2766100,667.82
2012-12-12,695.00,698.21,687.00,689.50,2140700,656.86
2012-12-11,691.00,696.00,688.00,692.50,1271100,659.72
2012-12-10,689.50,693.00,685.00,685.50,1861400,653.05
2012-12-07,692.00,693.00,684.51,689.50,1274900,656.86
2012-12-06,690.50,694.30,685.00,690.00,2083500,657.34
2012-12-05,685.50,693.23,684.00,689.00,2445100,656.39
2012-12-04,683.50,691.38,682.50,685.00,2506800,652.58
2012-12-03,684.00,688.50,681.00,685.00,2197100,652.58
2012-11-30,695.00,700.00,681.00,681.50,3245600,649.24
2012-11-29,690.00,695.00,684.00,693.50,2757100,660.67
