Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,232.80,233.01,231.40,232.05,52602800,228.52
2013-11-18,231.25,234.35,230.50,234.35,60413200,230.79
2013-11-15,231.80,234.25,230.15,231.35,58603800,227.83
2013-11-14,231.80,231.97,230.05,231.00,52599500,227.49
2013-11-13,229.80,231.00,227.99,229.40,83722900,225.91
2013-11-12,224.60,232.55,223.45,231.25,102271800,227.73
2013-11-11,227.65,228.66,226.05,227.35,53121600,223.89
2013-11-08,225.15,229.87,224.25,228.75,78281400,225.27
2013-11-07,230.00,232.62,227.60,227.80,59976100,224.33
2013-11-06,229.50,231.17,229.20,230.60,53745200,227.09
2013-11-05,230.00,230.05,227.33,228.25,47391400,224.78
2013-11-04,232.05,233.70,228.35,230.00,49178400,226.50
2013-11-01,230.00,232.62,228.50,232.50,100482000,228.96
2013-10-31,225.95,227.10,222.40,224.50,107437000,221.08
2013-10-30,225.80,227.73,225.20,226.10,50113100,222.66
2013-10-29,225.50,226.32,224.80,226.30,83151700,222.86
2013-10-28,227.15,227.15,225.00,225.50,76215200,222.07
2013-10-25,227.55,228.56,225.94,226.75,45423800,223.30
2013-10-24,229.90,230.00,227.53,228.90,43124100,225.42
2013-10-23,227.60,229.35,226.79,229.10,51987200,225.61
2013-10-22,227.90,229.25,226.58,227.95,49261800,224.48
2013-10-21,228.00,230.00,226.05,227.90,56745000,224.43
2013-10-18,229.50,230.10,227.35,227.70,90102500,224.24
2013-10-17,225.00,229.68,224.60,229.30,181473500,225.81
2013-10-16,221.25,225.39,218.80,225.00,89662500,221.58
2013-10-15,222.45,222.45,220.20,222.00,68764400,218.62
2013-10-14,220.50,222.50,220.20,221.55,48350100,218.18
2013-10-11,218.65,220.45,218.20,219.80,63975600,216.46
2013-10-10,216.10,217.90,215.10,217.40,77025000,214.09
2013-10-09,216.70,217.50,214.05,215.00,98526400,211.73
2013-10-08,218.10,219.65,216.30,218.45,116918300,215.13
2013-10-07,220.00,220.10,218.10,218.80,54328700,215.47
2013-10-04,220.35,223.20,219.65,221.50,54306500,218.13
2013-10-03,220.00,223.20,219.50,222.00,108967100,218.62
2013-10-02,217.50,218.95,216.75,218.95,56414100,215.62
2013-10-01,217.00,218.00,215.60,218.00,83846300,214.68
2013-09-30,215.10,217.40,214.25,216.00,91341100,212.71
2013-09-27,217.75,218.45,215.90,217.20,61997200,213.90
2013-09-26,216.70,219.21,216.10,218.50,78953600,215.18
2013-09-25,214.90,218.40,214.50,217.20,149724800,213.90
2013-09-24,209.45,213.30,209.30,213.10,90295900,209.86
2013-09-23,209.45,210.79,208.90,209.10,58912200,205.92
2013-09-20,208.00,210.09,208.00,208.50,132091200,205.33
2013-09-19,212.00,212.10,208.12,209.75,123202500,206.56
2013-09-18,212.25,212.80,210.70,211.35,105754400,208.13
2013-09-17,212.80,213.85,210.90,211.25,80448300,208.04
2013-09-16,213.00,214.15,211.70,213.90,72336900,210.65
2013-09-13,210.70,212.65,210.25,212.00,70625400,208.78
2013-09-12,209.25,210.10,208.10,210.10,77772400,206.90
2013-09-11,209.30,210.91,208.95,210.15,107100200,206.95
2013-09-10,211.40,211.55,204.00,207.90,112437300,204.74
2013-09-09,210.30,211.36,209.41,210.40,81548400,207.20
2013-09-06,209.00,210.80,208.10,210.75,104183200,207.54
2013-09-05,209.00,212.40,207.84,210.55,142223700,207.35
2013-09-04,205.00,207.16,204.45,207.00,155650600,203.85
2013-09-03,210.95,212.85,200.10,202.50,269382600,199.42
2013-09-02,215.00,216.10,211.18,213.20,166609000,209.96
2013-08-30,205.55,210.62,205.35,206.25,183299600,203.11
2013-08-29,207.00,208.89,202.70,204.75,371145100,201.64
2013-08-28,189.10,189.85,187.25,189.30,95230000,186.42
2013-08-27,190.35,192.25,190.00,190.10,95713100,187.21
2013-08-26,191.75,191.75,191.75,191.75,000,188.83
2013-08-23,189.85,192.04,189.40,191.75,51142600,188.83
2013-08-22,189.90,191.86,188.33,190.05,51343400,187.16
2013-08-21,190.65,191.80,189.85,190.00,79850500,187.11
2013-08-20,188.65,191.70,188.38,190.20,62118600,187.31
2013-08-19,191.75,192.53,189.35,189.85,55724700,186.96
2013-08-16,192.25,193.45,191.05,192.30,75519600,189.37
2013-08-15,195.15,196.25,191.90,192.85,59602800,189.92
2013-08-14,197.50,198.55,195.20,195.30,74606700,192.33
2013-08-13,196.85,198.25,196.00,197.70,37984200,194.69
2013-08-12,197.30,198.18,195.15,196.20,38417200,193.22
2013-08-09,196.90,205.71,195.85,196.70,86690500,193.71
2013-08-08,197.65,198.25,195.85,196.80,47797600,193.81
2013-08-07,197.55,199.60,197.43,197.70,63987000,194.69
2013-08-06,198.30,198.60,196.82,198.15,47724900,195.14
2013-08-05,200.00,200.80,197.20,198.00,32915500,194.99
2013-08-02,200.50,200.74,198.73,199.35,41753200,196.32
2013-08-01,198.35,200.21,197.90,200.20,70367900,197.15
2013-07-31,194.75,198.16,194.75,197.50,63337700,194.50
2013-07-30,195.00,197.06,194.20,195.10,41931800,192.13
2013-07-29,193.30,195.30,193.30,194.40,41910400,191.44
2013-07-26,193.45,194.35,191.38,192.55,36626200,189.62
2013-07-25,193.95,194.65,192.00,193.50,43303100,190.56
2013-07-24,195.00,195.20,192.35,193.60,65878300,190.65
2013-07-23,194.65,195.46,192.90,192.90,71457800,189.97
2013-07-22,194.00,194.85,192.00,194.00,52978900,191.05
2013-07-19,191.70,193.90,191.05,193.85,102329600,190.90
2013-07-18,191.55,193.07,190.60,191.35,94715500,188.44
2013-07-17,193.35,194.35,190.80,192.30,43185800,189.37
2013-07-16,196.00,201.65,193.45,193.45,125443200,190.51
2013-07-15,194.00,195.50,193.50,195.50,97217800,192.53
2013-07-12,192.45,194.87,192.35,193.80,53190600,190.85
2013-07-11,193.40,193.99,191.40,191.55,60412300,188.64
2013-07-10,193.90,194.25,188.89,192.50,63220400,189.57
2013-07-09,193.10,194.34,191.80,193.95,51484000,191.00
2013-07-08,193.45,193.50,191.40,191.90,58320400,188.98
2013-07-05,193.55,194.80,190.90,191.75,62638800,188.83
2013-07-04,187.95,193.90,187.63,193.90,62384800,190.95
2013-07-03,188.05,188.70,186.20,187.35,105890900,184.50
2013-07-02,189.50,190.35,186.40,189.90,49774300,187.01
2013-07-01,188.80,189.95,183.30,188.60,77221700,185.73
2013-06-28,187.50,188.95,183.30,187.85,153158300,184.99
2013-06-27,183.90,187.45,182.70,186.35,127961100,183.52
2013-06-26,180.60,183.45,179.60,183.35,116286100,180.56
2013-06-25,178.10,180.68,176.00,180.20,122593900,177.46
2013-06-24,175.30,178.37,174.60,175.90,135374500,173.22
2013-06-21,178.55,180.25,175.83,175.85,293637400,173.17
2013-06-20,179.45,186.06,177.00,177.75,104356400,175.05
2013-06-19,183.70,190.02,181.10,181.45,156166900,178.69
2013-06-18,181.30,186.55,180.50,184.35,125345900,181.55
2013-06-17,181.10,190.69,181.00,182.70,116056000,179.92
2013-06-14,180.00,182.01,178.80,180.05,111145000,177.31
2013-06-13,177.80,180.65,176.65,178.70,154485900,175.98
2013-06-12,184.65,191.09,180.25,181.00,167869800,178.25
2013-06-11,190.25,193.00,190.25,192.00,79069400,182.26
2013-06-10,190.50,192.55,189.67,191.75,77662700,182.03
2013-06-07,188.55,192.80,188.12,191.85,90633400,182.12
2013-06-06,188.35,190.45,187.70,188.15,69075800,178.61
2013-06-05,191.05,191.60,187.15,187.50,85842000,177.99
2013-06-04,189.90,192.30,189.45,192.05,126870200,182.31
2013-06-03,190.25,191.17,188.05,188.60,77083300,179.04
2013-05-31,192.80,193.95,190.50,191.95,133865600,182.22
2013-05-30,192.20,194.55,192.20,193.00,70476700,183.21
2013-05-29,197.00,197.00,192.40,192.95,98347800,183.17
2013-05-28,194.40,199.10,194.40,197.70,71019400,187.68
2013-05-27,194.55,194.55,194.55,194.55,000,184.69
2013-05-24,193.95,195.60,193.40,194.55,119501700,184.69
2013-05-23,194.50,195.77,191.33,193.55,155982600,183.74
2013-05-22,200.00,200.65,196.40,196.80,145915900,186.82
2013-05-21,197.75,199.95,196.00,199.90,127057900,189.76
2013-05-20,197.85,198.84,194.90,197.60,133947700,187.58
2013-05-17,197.20,199.00,196.70,197.70,81432000,187.68
2013-05-16,195.70,198.80,195.45,197.05,105181300,187.06
2013-05-15,193.60,195.95,192.60,195.20,77999000,185.30
2013-05-14,194.00,194.00,190.80,193.50,85553800,183.69
2013-05-13,194.60,194.80,193.15,193.50,66050400,183.69
2013-05-10,191.75,194.55,191.75,194.35,70875300,184.50
2013-05-09,192.55,192.85,191.22,192.40,86656000,182.64
2013-05-08,194.50,194.85,192.50,193.05,68815200,183.26
2013-05-07,194.00,194.95,192.75,194.35,64879200,184.50
2013-05-06,193.80,193.80,193.80,193.80,000,183.97
2013-05-03,193.30,194.59,191.84,193.80,91384900,183.97
2013-05-02,194.45,195.80,192.65,193.95,87092500,184.12
2013-05-01,196.80,197.72,195.70,196.05,52207500,186.11
2013-04-30,196.60,197.25,195.00,196.20,90343600,186.25
2013-04-29,197.05,197.45,195.70,196.85,87015200,186.87
2013-04-26,195.55,197.71,195.17,197.20,49691800,187.20
2013-04-25,195.00,199.10,194.50,196.40,110253200,186.44
2013-04-24,195.00,195.25,192.70,193.20,69525600,183.40
2013-04-23,193.95,195.25,192.65,195.05,73366800,185.16
2013-04-22,194.95,195.55,193.75,194.80,48202800,184.92
2013-04-19,193.80,195.55,192.25,193.25,122518000,183.45
2013-04-18,188.60,197.50,188.25,192.50,107800300,182.74
2013-04-17,191.25,191.30,187.90,189.25,59517400,179.65
2013-04-16,189.80,191.65,189.05,189.90,78082300,180.27
2013-04-15,190.15,191.75,188.70,191.00,48368400,181.32
2013-04-12,189.25,192.05,188.85,190.55,56633800,180.89
2013-04-11,189.10,190.90,188.80,189.80,51281300,180.18
2013-04-10,187.65,189.80,185.95,189.20,62201200,179.61
2013-04-09,187.00,189.20,186.20,187.50,80968700,177.99
2013-04-08,182.65,185.70,181.80,184.80,130945600,175.43
2013-04-05,184.70,185.70,181.65,182.60,80840800,173.34
2013-04-04,185.00,187.85,183.70,184.80,69340600,175.43
2013-04-03,185.00,190.05,185.00,186.15,136186900,176.71
2013-04-02,186.70,198.24,186.26,192.00,294282600,182.26
2013-04-01,186.60,186.60,186.60,186.60,000,177.14
2013-03-29,186.60,186.60,186.60,186.60,000,177.14
2013-03-28,185.45,187.90,185.25,186.60,100156800,177.14
2013-03-27,188.40,188.41,182.75,186.00,107614400,176.57
2013-03-26,187.40,188.15,185.25,187.75,65075200,178.23
2013-03-25,187.00,190.95,186.65,187.20,140049700,177.71
2013-03-22,183.00,184.90,182.90,183.45,68634300,174.15
2013-03-21,184.95,185.29,182.45,183.55,77403700,174.24
2013-03-20,187.00,187.50,185.07,185.80,114305600,176.38
2013-03-19,184.95,188.95,184.90,187.60,105203500,178.09
2013-03-18,180.05,186.14,180.05,184.95,102258100,175.57
2013-03-15,184.95,187.68,182.40,183.25,136427400,173.96
2013-03-14,180.05,185.10,180.05,184.55,116385600,175.19
2013-03-13,184.15,184.55,181.80,182.25,94575400,173.01
2013-03-12,185.35,186.07,183.80,185.00,79162800,175.62
