Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2208.00,2221.00,2198.00,2213.00,408300,2213.00
2013-11-18,2199.00,2219.00,2193.00,2216.00,386600,2216.00
2013-11-15,2211.00,2212.00,2195.00,2202.00,811600,2202.00
2013-11-14,2222.00,2233.00,2197.00,2200.00,352300,2200.00
2013-11-13,2194.00,2205.00,2191.00,2200.00,464700,2200.00
2013-11-12,2219.00,2226.00,2199.00,2200.00,366700,2200.00
2013-11-11,2212.00,2230.00,2204.00,2218.00,794000,2218.00
2013-11-08,2195.00,2205.00,2188.00,2205.00,644800,2205.00
2013-11-07,2193.00,2218.00,2186.00,2197.00,1149900,2197.00
2013-11-06,2190.00,2213.90,2159.00,2205.00,868300,2205.00
2013-11-05,2153.00,2189.00,2148.00,2188.00,1551400,2188.00
2013-11-04,2100.00,2190.11,2065.00,2173.00,3140300,2173.00
2013-11-01,2267.00,2273.00,2241.50,2256.00,969100,2256.00
2013-10-31,2305.00,2323.00,2253.00,2255.00,1121100,2255.00
2013-10-30,2325.00,2331.00,2283.00,2305.00,903800,2305.00
2013-10-29,2300.00,2325.00,2289.00,2320.00,344500,2320.00
2013-10-28,2319.00,2322.00,2294.00,2304.00,368300,2304.00
2013-10-25,2334.00,2370.38,2298.00,2318.00,551800,2318.00
2013-10-24,2344.00,2380.00,2336.00,2344.00,690700,2344.00
2013-10-23,2338.00,2372.00,2332.00,2343.00,661200,2343.00
2013-10-22,2320.00,2349.00,2300.00,2335.00,582600,2335.00
2013-10-21,2309.00,2334.00,2307.00,2327.00,388800,2327.00
2013-10-18,2274.00,2293.00,2263.00,2293.00,739300,2293.00
2013-10-17,2290.00,2310.00,2255.00,2268.00,626800,2268.00
2013-10-16,2344.00,2349.79,2329.00,2338.00,387300,2338.00
2013-10-15,2366.00,2381.00,2341.00,2357.00,450900,2357.00
2013-10-14,2307.00,2352.00,2301.00,2346.00,531700,2346.00
2013-10-11,2305.00,2330.00,2296.00,2313.00,449200,2313.00
2013-10-10,2245.00,2312.00,2242.00,2301.00,455400,2301.00
2013-10-09,2230.00,2244.00,2206.00,2233.00,397900,2233.00
