Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,365.00,366.40,358.80,361.30,6595200,361.30
2013-11-18,368.40,370.10,366.30,368.80,3361800,368.80
2013-11-15,372.50,376.15,366.40,367.50,10705500,367.50
2013-11-14,381.00,384.20,369.79,370.70,4380500,370.70
2013-11-13,383.60,384.40,375.50,378.90,2415900,378.90
2013-11-12,386.70,387.10,384.70,385.10,2314100,385.10
2013-11-11,385.20,389.10,383.90,388.00,2397900,388.00
2013-11-08,390.50,394.50,382.20,385.40,3235000,385.40
2013-11-07,395.40,398.20,392.50,394.40,1860500,394.40
2013-11-06,390.80,395.00,390.00,394.90,2119500,394.90
2013-11-05,395.50,397.28,387.10,389.90,1925600,389.90
2013-11-04,400.10,403.51,395.20,395.60,2211700,395.60
2013-11-01,400.60,402.50,394.93,399.10,3470900,399.10
2013-10-31,401.20,403.50,399.30,400.90,1918300,400.90
2013-10-30,400.00,405.20,398.70,401.20,2452600,401.20
2013-10-29,392.90,399.90,392.70,399.20,2652700,399.20
2013-10-28,392.50,393.62,389.90,392.20,1695100,392.20
2013-10-25,388.40,392.90,388.40,391.40,3872800,391.40
2013-10-24,398.60,398.90,385.80,388.60,5697800,388.60
2013-10-23,396.00,403.35,396.00,399.00,2090100,399.00
2013-10-22,404.40,405.10,399.40,400.20,2827100,396.50
2013-10-21,405.80,406.98,399.00,403.10,4197600,399.37
2013-10-18,408.00,408.00,400.00,403.50,6908900,399.77
2013-10-17,418.00,418.80,413.50,416.80,2105000,412.95
2013-10-16,421.20,423.80,417.40,419.70,2808200,415.82
2013-10-15,421.00,424.50,418.40,423.70,5657000,419.78
2013-10-14,411.10,422.30,410.70,419.90,2988600,416.02
2013-10-11,406.60,412.90,404.12,412.20,3883300,408.39
2013-10-10,403.00,406.00,401.20,405.80,4553600,402.05
2013-10-09,397.00,405.21,395.05,402.50,7269800,398.78
2013-10-08,404.50,407.50,393.81,397.00,6824100,393.33
2013-10-07,414.70,415.90,404.60,405.00,4442400,401.26
2013-10-04,414.40,415.20,407.30,407.80,3363800,404.03
2013-10-03,400.00,415.20,398.80,413.00,14543700,409.18
2013-10-02,413.70,415.86,411.10,411.30,4279300,407.50
2013-10-01,403.70,417.20,403.70,415.50,13968000,411.66
2013-09-30,401.10,410.70,400.00,403.00,5064300,399.27
2013-09-27,407.90,407.90,400.70,402.00,3906400,398.28
2013-09-26,395.00,409.42,393.76,406.90,6494800,403.14
2013-09-25,411.10,411.50,404.30,404.50,3353200,400.76
2013-09-24,412.70,415.00,410.40,411.00,2700700,407.20
2013-09-23,425.00,425.50,410.83,412.00,2336800,408.19
2013-09-20,417.40,427.70,417.40,422.20,4072500,418.30
2013-09-19,425.10,427.20,418.10,419.20,2865400,415.32
2013-09-18,425.10,426.00,420.50,422.00,1754400,418.10
2013-09-17,431.90,431.90,423.80,424.50,1902800,420.58
2013-09-16,433.00,435.50,431.20,431.20,3195000,427.21
2013-09-13,424.00,431.09,424.00,427.50,3143300,423.55
2013-09-12,419.10,429.90,417.10,424.10,4656100,420.18
2013-09-11,423.00,423.50,418.20,419.00,3406200,415.13
2013-09-10,416.70,424.50,416.10,422.50,3410800,418.59
2013-09-09,416.10,418.96,414.72,416.60,3029300,412.75
2013-09-06,414.60,417.65,411.00,416.20,2190200,412.35
2013-09-05,411.90,417.21,411.00,414.50,5259400,410.67
2013-09-04,414.80,415.50,404.73,410.20,4245400,406.41
2013-09-03,421.00,422.42,414.30,414.90,3007900,411.06
2013-09-02,416.10,422.30,416.10,421.20,2356800,417.31
2013-08-30,421.10,421.90,415.20,415.20,2431000,411.36
2013-08-29,417.50,422.00,417.34,421.00,2174100,417.11
2013-08-28,420.00,420.41,412.00,417.00,2930000,413.14
2013-08-27,433.60,435.20,421.70,422.60,2581800,418.69
2013-08-26,433.70,433.70,433.70,433.70,000,429.69
2013-08-23,429.90,436.55,427.30,433.70,2084600,429.69
2013-08-22,432.10,437.80,429.50,430.00,2715200,426.02
2013-08-21,436.50,437.50,431.10,432.00,2260100,428.01
2013-08-20,427.50,432.00,424.74,432.00,3051300,428.01
2013-08-19,421.90,429.60,419.30,428.10,3870200,424.14
2013-08-16,426.50,426.70,418.90,422.00,3386300,418.10
2013-08-15,438.50,439.10,424.50,426.60,4783500,422.66
2013-08-14,447.20,447.20,437.96,438.60,6089700,434.54
2013-08-13,445.80,447.50,437.10,440.10,3584600,436.03
2013-08-12,444.30,447.50,442.50,445.70,3888500,441.58
2013-08-09,448.50,449.48,442.70,444.40,3575400,440.29
2013-08-08,450.00,451.90,442.00,446.60,4605700,442.47
2013-08-07,456.70,457.70,449.80,449.80,4269900,445.64
2013-08-06,459.80,461.80,454.80,456.80,2819300,452.58
2013-08-05,469.00,472.90,454.10,459.90,3867800,455.65
2013-08-02,490.00,842.41,453.00,458.50,10983000,454.26
2013-08-01,487.40,494.60,485.80,494.50,3430900,489.93
2013-07-31,481.80,488.15,481.10,486.50,2886600,482.00
2013-07-30,470.70,484.20,470.70,483.60,2205300,479.13
2013-07-29,465.60,471.40,465.00,470.00,2639100,465.65
2013-07-26,471.70,474.20,462.10,464.50,1496700,460.21
2013-07-25,470.00,473.10,466.50,470.80,1408400,466.45
2013-07-24,464.30,471.30,464.30,470.10,1824700,465.75
2013-07-23,470.20,472.20,464.20,464.20,2313800,459.91
2013-07-22,465.90,470.90,465.90,468.40,1634800,464.07
2013-07-19,469.80,471.10,464.60,465.80,1890700,461.49
2013-07-18,464.60,473.80,463.21,471.30,2059300,466.94
2013-07-17,460.00,464.90,455.20,464.70,2119400,460.40
2013-07-16,464.60,464.80,454.10,458.70,1463600,454.46
2013-07-15,464.40,467.30,461.10,464.50,1817600,460.21
2013-07-12,463.70,467.00,463.17,464.20,2131100,459.91
2013-07-11,469.60,471.00,461.40,463.50,2748300,459.21
2013-07-10,465.60,470.60,462.40,465.90,2672200,461.59
2013-07-09,467.20,470.00,459.00,464.00,2141400,459.71
2013-07-08,460.50,468.80,460.00,466.40,1985600,462.09
2013-07-05,458.40,462.20,455.50,457.80,1474000,453.57
2013-07-04,454.00,459.50,452.10,458.30,1672700,454.06
2013-07-03,449.30,452.80,445.13,451.90,2289900,447.72
2013-07-02,457.00,457.00,446.50,452.30,3928300,448.12
2013-07-01,444.40,457.50,442.00,456.90,2188000,452.68
2013-06-28,442.90,444.20,439.30,440.90,3502700,436.82
2013-06-27,431.60,444.50,429.50,443.00,7238100,438.90
2013-06-26,427.20,431.80,426.10,431.50,2405100,427.51
2013-06-25,423.30,427.10,419.19,427.10,3174700,423.15
2013-06-24,428.70,430.60,414.60,415.20,3381200,411.36
2013-06-21,428.40,435.40,426.00,428.60,6678200,424.64
2013-06-20,434.50,435.80,423.00,426.00,4028700,422.06
2013-06-19,443.70,443.70,437.60,439.20,3384800,435.14
2013-06-18,441.90,445.50,441.20,443.50,4866100,439.40
2013-06-17,443.90,445.46,440.90,442.00,3708800,437.91
2013-06-14,442.80,450.40,440.67,443.30,4826300,439.20
2013-06-13,434.70,440.50,433.00,440.50,2739600,436.43
2013-06-12,437.00,439.00,434.60,438.30,2758900,434.25
2013-06-11,440.00,440.10,430.70,436.50,2693900,432.46
2013-06-10,437.60,441.70,436.11,439.00,2159400,434.94
2013-06-07,431.00,438.10,430.16,436.40,4477700,432.37
2013-06-06,432.40,434.30,428.30,429.60,3825600,425.63
2013-06-05,431.20,436.80,428.20,433.00,4114900,429.00
2013-06-04,436.70,439.30,431.60,432.00,3839500,428.01
2013-06-03,440.50,440.50,432.00,433.40,3608300,429.39
2013-05-31,433.80,444.70,428.60,442.70,46676400,438.61
2013-05-30,432.00,435.70,431.50,434.80,4998500,430.78
2013-05-29,448.90,448.90,432.60,433.40,3840500,429.39
2013-05-28,444.40,449.60,443.50,448.00,3889200,443.86
2013-05-27,440.50,440.50,440.50,440.50,000,436.43
2013-05-24,446.90,448.00,440.00,440.50,2741000,436.43
2013-05-23,446.00,448.40,443.50,445.30,4959700,441.18
2013-05-22,447.20,455.90,446.50,452.80,4580000,448.61
2013-05-21,447.90,450.20,443.20,446.60,3409100,442.47
2013-05-20,444.90,451.10,444.90,450.00,3880600,445.84
2013-05-17,446.80,448.10,441.00,445.00,5548600,440.89
2013-05-16,442.00,450.10,440.30,447.00,5903100,442.87
2013-05-15,431.10,437.20,428.65,435.90,4700700,431.87
2013-05-14,426.00,430.40,425.50,429.40,2464100,425.43
2013-05-13,425.40,428.50,424.64,427.20,3197400,423.25
2013-05-10,425.10,427.90,423.60,426.50,3828500,422.56
2013-05-09,424.10,427.20,423.10,425.30,3538600,421.37
2013-05-08,418.40,426.10,417.30,425.80,4268800,421.86
2013-05-07,425.40,425.90,410.70,418.80,4835200,414.93
2013-05-06,425.10,425.10,425.10,425.10,000,421.17
2013-05-03,420.70,426.30,416.30,425.10,4825100,421.17
2013-05-02,422.00,426.20,411.40,420.30,8219500,416.41
2013-05-01,428.80,428.81,419.00,423.60,6349500,419.68
2013-04-30,432.20,433.50,426.00,426.00,28273800,422.06
2013-04-29,432.00,437.00,427.00,430.50,6280200,426.52
2013-04-26,421.80,431.00,417.00,430.70,6135400,426.72
2013-04-25,420.70,423.96,415.00,422.50,4815000,418.59
2013-04-24,426.40,426.50,418.40,421.10,3418400,417.21
2013-04-23,413.00,426.70,413.00,426.70,7675200,422.76
2013-04-22,413.40,418.20,409.30,410.20,5311400,406.41
2013-04-19,400.00,414.90,397.60,409.10,13144100,405.32
2013-04-18,393.70,397.10,388.90,390.60,4548000,386.99
2013-04-17,387.80,394.20,386.00,389.90,5411600,386.30
