Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1346.00,1348.00,1323.89,1330.00,3426900,1330.00
2013-11-18,1351.00,1356.00,1344.00,1352.00,2028500,1352.00
2013-11-15,1348.00,1366.82,1335.00,1358.00,2449300,1358.00
2013-11-14,1324.00,1347.00,1324.00,1342.00,4198000,1342.00
2013-11-13,1341.00,1343.00,1304.00,1307.00,4963200,1307.00
2013-11-12,1360.00,1365.00,1346.00,1347.00,3298900,1347.00
2013-11-11,1370.00,1378.00,1358.00,1360.00,1648600,1360.00
2013-11-08,1358.00,1369.00,1346.00,1367.00,1877600,1367.00
2013-11-07,1369.00,1381.00,1355.00,1368.00,3055500,1368.00
2013-11-06,1349.00,1370.00,1349.00,1367.00,2059700,1367.00
2013-11-05,1351.00,1351.00,1336.00,1347.00,2571300,1347.00
2013-11-04,1331.00,1345.00,1327.00,1345.00,2710100,1345.00
2013-11-01,1329.00,1332.00,1315.00,1326.00,1620000,1326.00
2013-10-31,1338.00,1345.00,1305.00,1325.00,4018500,1325.00
2013-10-30,1332.00,1336.00,1324.00,1335.00,1701800,1335.00
2013-10-29,1332.00,1337.00,1319.00,1327.00,2566800,1327.00
2013-10-28,1348.00,1350.00,1320.00,1334.00,2480800,1334.00
2013-10-25,1319.00,1346.00,1319.00,1344.00,3005800,1344.00
2013-10-24,1342.00,1349.00,1315.00,1325.00,4125600,1325.00
2013-10-23,1308.00,1322.00,1304.00,1313.00,2461400,1313.00
2013-10-22,1305.00,1314.00,1301.00,1310.00,2500300,1310.00
2013-10-21,1284.00,1311.00,1284.00,1307.00,2140000,1307.00
2013-10-18,1286.00,1292.00,1274.00,1286.00,3332500,1286.00
2013-10-17,1289.00,1290.00,1271.00,1276.00,2858100,1276.00
2013-10-16,1275.00,1292.00,1254.00,1290.00,3958200,1290.00
2013-10-15,1254.00,1281.00,1254.00,1281.00,3886400,1281.00
2013-10-14,1235.00,1246.00,1235.00,1242.00,1210000,1242.00
2013-10-11,1240.00,1246.00,1236.00,1238.00,1677600,1238.00
2013-10-10,1214.00,1244.00,1209.00,1238.00,2948600,1238.00
2013-10-09,1220.00,1231.00,1211.00,1215.00,2128300,1215.00
2013-10-08,1260.00,1265.00,1234.00,1237.00,2202900,1237.00
2013-10-07,1250.00,1261.00,1238.41,1261.00,1773300,1261.00
2013-10-04,1255.00,1263.00,1245.50,1254.00,2146400,1254.00
2013-10-03,1263.00,1269.00,1253.00,1257.00,1755000,1257.00
2013-10-02,1262.00,1269.28,1244.00,1258.00,2084600,1258.00
2013-10-01,1271.00,1278.00,1262.00,1265.00,2627400,1265.00
2013-09-30,1266.00,1273.27,1256.50,1270.00,2702400,1270.00
2013-09-27,1289.00,1294.00,1276.00,1282.00,2085800,1282.00
2013-09-26,1284.00,1290.00,1275.00,1284.00,1893900,1284.00
2013-09-25,1293.00,1299.00,1274.00,1285.00,3500800,1285.00
2013-09-24,1270.00,1299.28,1265.00,1292.00,2516700,1292.00
2013-09-23,1297.00,1301.00,1261.82,1270.00,2044600,1270.00
2013-09-20,1278.00,1297.00,1278.00,1293.00,8045300,1293.00
2013-09-19,1302.00,1307.00,1277.00,1284.00,2974800,1284.00
2013-09-18,1299.00,1306.00,1285.00,1286.00,2330400,1286.00
2013-09-17,1297.00,1305.00,1286.73,1294.00,3628200,1294.00
2013-09-16,1310.00,1313.00,1287.64,1296.00,2605900,1296.00
2013-09-13,1287.00,1294.00,1282.00,1292.00,2083400,1292.00
2013-09-12,1278.00,1289.00,1266.00,1280.00,2384100,1280.00
2013-09-11,1281.00,1286.00,1266.00,1274.00,2296800,1274.00
2013-09-10,1253.00,1284.00,1245.00,1277.00,2509700,1277.00
2013-09-09,1252.00,1256.00,1245.00,1252.00,1662700,1252.00
2013-09-06,1245.00,1253.00,1239.00,1250.00,3036600,1250.00
2013-09-05,1248.00,1256.00,1236.00,1244.00,4148200,1244.00
2013-09-04,1244.00,1245.00,1227.00,1240.00,2665600,1240.00
2013-09-03,1245.00,1245.00,1216.00,1233.00,3582700,1233.00
2013-09-02,1230.00,1253.00,1215.00,1237.00,3063000,1237.00
2013-08-30,1254.00,1258.00,1190.22,1195.00,5436600,1195.00
2013-08-29,1172.00,1246.00,1172.00,1227.00,4587200,1227.00
2013-08-28,1192.00,1208.00,1175.00,1178.00,3347800,1178.00
2013-08-27,1209.00,1221.00,1191.00,1201.00,3999700,1201.00
2013-08-26,1221.00,1221.00,1221.00,1221.00,000,1221.00
2013-08-23,1192.00,1226.00,1189.00,1221.00,3430900,1221.00
2013-08-22,1193.00,1197.00,1182.00,1191.00,2388300,1191.00
2013-08-21,1172.00,1196.00,1167.00,1191.00,5747700,1191.00
2013-08-20,1164.00,1169.00,1148.00,1166.00,2378500,1166.00
2013-08-19,1165.00,1173.00,1158.00,1170.00,1270000,1170.00
2013-08-16,1172.00,1174.00,1151.00,1164.00,2327400,1164.00
2013-08-15,1187.00,1195.00,1163.00,1168.00,1861200,1168.00
2013-08-14,1188.00,1193.00,1179.00,1189.00,1681100,1189.00
2013-08-13,1179.00,1193.00,1172.00,1186.00,1725800,1186.00
2013-08-12,1192.00,1194.00,1173.00,1178.00,2299600,1178.00
2013-08-09,1186.00,1198.00,1183.00,1190.00,1347800,1190.00
2013-08-08,1179.00,1193.00,1174.00,1188.00,1907900,1188.00
2013-08-07,1195.00,1195.00,1169.00,1175.00,2278200,1175.00
2013-08-06,1191.00,1200.00,1184.00,1192.00,1966100,1192.00
2013-08-05,1196.00,1200.88,1190.00,1193.00,1756300,1193.00
2013-08-02,1200.00,1207.00,1191.00,1197.00,2585000,1197.00
2013-08-01,1194.00,1208.00,1187.00,1202.00,4154000,1202.00
2013-07-31,1170.00,1191.00,1168.00,1184.00,2843700,1184.00
2013-07-30,1199.00,1199.00,1168.00,1173.00,2112500,1173.00
2013-07-29,1225.00,1231.00,1177.50,1182.00,6773800,1182.00
2013-07-26,1183.00,1191.00,1162.00,1175.00,1571600,1175.00
2013-07-25,1178.00,1186.00,1155.00,1180.00,1831100,1180.00
2013-07-24,1180.00,1188.00,1172.00,1181.00,1179100,1181.00
2013-07-23,1191.00,1192.00,1174.00,1174.00,1514700,1174.00
2013-07-22,1200.00,1203.00,1180.00,1184.00,994800,1184.00
2013-07-19,1203.00,1212.00,1178.00,1200.00,3587900,1200.00
2013-07-18,1177.00,1212.00,1177.00,1210.00,4353300,1210.00
2013-07-17,1178.00,1189.42,1164.53,1168.00,2163600,1168.00
2013-07-16,1199.00,1205.00,1170.00,1172.00,2101700,1172.00
2013-07-15,1205.00,1213.00,1199.00,1200.00,1606300,1200.00
2013-07-12,1180.00,1207.27,1178.00,1200.00,2364500,1200.00
2013-07-11,1189.00,1196.00,1173.00,1176.00,1624500,1176.00
2013-07-10,1167.00,1183.00,1167.00,1173.00,1887700,1173.00
2013-07-09,1189.00,1198.00,1168.00,1171.00,1813400,1171.00
2013-07-08,1164.00,1186.64,1158.00,1179.00,1959100,1179.00
2013-07-05,1168.00,1186.00,1153.00,1155.00,1874700,1155.00
2013-07-04,1138.00,1170.00,1136.00,1168.00,2854200,1168.00
2013-07-03,1135.00,1142.00,1128.00,1131.00,1419200,1131.00
2013-07-02,1153.00,1155.00,1138.00,1143.00,1889300,1143.00
2013-07-01,1134.00,1154.00,1123.00,1152.00,2540100,1152.00
2013-06-28,1126.00,1133.00,1116.00,1122.00,2763500,1122.00
2013-06-27,1086.00,1131.00,1084.00,1128.00,3794500,1128.00
2013-06-26,1074.00,1084.00,1070.00,1079.00,2717100,1079.00
2013-06-25,1061.00,1074.00,1051.00,1072.00,4392200,1072.00
2013-06-24,1087.00,1092.00,1055.00,1056.00,2773600,1056.00
2013-06-21,1113.00,1122.00,1088.89,1089.00,4883200,1089.00
2013-06-20,1114.00,1121.00,1093.00,1106.00,3230500,1106.00
2013-06-19,1139.00,1140.00,1125.00,1134.00,2010100,1134.00
2013-06-18,1127.00,1140.00,1125.00,1135.00,3848400,1135.00
2013-06-17,1117.00,1127.00,1104.00,1125.00,2512900,1125.00
2013-06-14,1127.00,1134.00,1116.00,1120.00,1755800,1120.00
2013-06-13,1097.00,1131.00,1086.00,1128.00,4096400,1128.00
2013-06-12,1102.00,1128.00,1098.00,1109.00,3022700,1109.00
2013-06-11,1111.00,1113.00,1095.00,1102.00,2481900,1102.00
2013-06-10,1110.00,1126.00,1107.52,1110.00,2883900,1110.00
2013-06-07,1093.00,1115.00,1087.00,1113.00,2440400,1113.00
2013-06-06,1112.00,1130.00,1096.00,1100.00,3278600,1100.00
2013-06-05,1099.00,1112.00,1087.00,1101.00,3414400,1101.00
2013-06-04,1121.00,1131.00,1117.00,1120.00,1671300,1100.29
2013-06-03,1125.00,1130.28,1111.00,1112.00,2110500,1092.43
