Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3395.00,3413.00,3374.00,3398.00,228300,3398.00
2013-11-18,3387.00,3419.00,3363.50,3414.00,268800,3414.00
2013-11-15,3411.00,3416.00,3380.00,3400.00,618000,3400.00
2013-11-14,3399.00,3423.00,3378.00,3404.00,340000,3404.00
2013-11-13,3433.00,3443.00,3350.61,3363.00,502600,3363.00
2013-11-12,3436.00,3449.00,3418.00,3443.00,238300,3443.00
2013-11-11,3434.00,3451.00,3401.00,3430.00,298300,3430.00
2013-11-08,3435.00,3436.90,3396.00,3422.00,478800,3422.00
2013-11-07,3457.00,3486.00,3421.00,3449.00,496100,3449.00
2013-11-06,3455.00,3478.00,3443.00,3467.00,280900,3467.00
2013-11-05,3450.00,3464.00,3422.22,3459.00,400900,3437.20
2013-11-04,3446.00,3463.48,3435.00,3446.00,629400,3424.28
2013-11-01,3446.00,3469.00,3431.00,3446.00,234000,3424.28
2013-10-31,3450.00,3477.00,3420.00,3433.00,445900,3411.36
2013-10-30,3464.00,3477.00,3430.10,3453.00,319700,3431.24
2013-10-29,3424.00,3466.35,3418.00,3466.00,415200,3444.16
2013-10-28,3379.00,3422.00,3370.00,3422.00,360800,3400.43
2013-10-25,3344.00,3374.00,3329.00,3372.00,507600,3350.75
2013-10-24,3349.00,3364.00,3329.00,3345.00,475800,3323.92
2013-10-23,3329.00,3361.00,3312.71,3345.00,801600,3323.92
2013-10-22,3250.00,3478.52,3250.00,3359.00,1252200,3337.83
2013-10-21,3360.00,3379.00,3343.63,3372.00,608700,3350.75
2013-10-18,3291.00,3364.00,3274.00,3351.00,960900,3329.88
2013-10-17,3253.00,3280.00,3230.00,3274.00,390100,3253.37
2013-10-16,3242.00,3287.00,3218.00,3275.00,324000,3254.36
2013-10-15,3246.00,3277.00,3240.00,3251.00,382300,3230.51
2013-10-14,3209.00,3234.00,3202.00,3226.00,217800,3205.67
2013-10-11,3150.00,3223.00,3145.00,3210.00,622100,3189.77
2013-10-10,3003.00,3146.00,3002.00,3114.00,684400,3094.37
2013-10-09,2965.00,3004.00,2954.00,2992.00,422500,2973.14
2013-10-08,2976.00,2989.00,2960.00,2967.00,359300,2948.30
2013-10-07,2951.00,2974.00,2921.00,2974.00,331200,2955.26
2013-10-04,2987.00,2987.00,2959.00,2962.00,282100,2943.33
2013-10-03,2953.00,3008.00,2948.00,2981.00,376400,2962.21
2013-10-02,2978.00,2982.00,2944.00,2957.00,452900,2938.36
2013-10-01,2961.00,2994.00,2948.00,2993.00,518000,2974.14
2013-09-30,2996.00,3007.00,2956.00,2964.00,435400,2945.32
2013-09-27,3043.00,3043.00,3016.00,3030.00,404700,3010.90
2013-09-26,2951.00,3035.00,2939.00,3035.00,522900,3015.87
2013-09-25,2984.00,2985.75,2911.00,2937.00,652100,2918.49
2013-09-24,3022.00,3043.00,2983.00,2992.00,425800,2973.14
2013-09-23,3037.00,3037.00,3004.00,3004.00,264100,2985.07
2013-09-20,3003.00,3051.00,3000.00,3033.00,755700,3013.88
2013-09-19,3040.00,3047.00,2999.72,3008.00,624400,2989.04
2013-09-18,3091.00,3091.00,3007.00,3012.00,370500,2993.02
2013-09-17,3119.00,3123.00,3068.00,3089.00,465900,3069.53
2013-09-16,3169.00,3191.00,3126.00,3131.00,283400,3111.27
2013-09-13,3117.00,3137.00,3108.00,3137.00,278400,3117.23
2013-09-12,3105.00,3139.00,3082.00,3125.00,388000,3105.30
2013-09-11,3083.00,3121.00,3042.00,3121.00,843900,3101.33
2013-09-10,3134.00,3150.00,3087.00,3138.00,1086600,3118.22
2013-09-09,3170.00,3229.00,3170.00,3216.00,589300,3195.73
2013-09-06,3170.00,3208.00,3135.00,3167.00,664900,3147.04
